1,竹田 吉行,竹田 吉行.1,2,中尾 彩香,中尾 彩香.1,3,杉村 賢也,杉村 賢也.1,4,片橋 幸貴,片橋 幸貴.1,5,福田 雅一,福田 雅一.1,6,伏田 裕隆,伏田 裕隆.1
2.0,3.0,54.6,1.0,3.0,367.5,1.0,2.0,242.7,1.0,2.0,53.9,1.0,2.0,269.2,1.0,2.0,119.8
2.0,4.0,27.5,1.0,4.0,221.1,1.0,4.0,70.6,1.0,3.0,39.9,1.0,3.0,172.8,1.0,3.0,121.4
2.0,5.0,53.5,1.0,5.0,360.9,1.0,5.0,88.6,1.0,5.0,14.9,1.0,4.0,81.3,1.0,4.0,71.1
2.0,6.0,86.6,1.0,6.0,462.0,1.0,6.0,218.9,1.0,6.0,37.2,1.0,6.0,184.1,1.0,5.0,100.6
3.0,2.0,54.0,3.0,1.0,645.2,2.0,1.0,572.1,2.0,1.0,187.6,2.0,1.0,689.3,2.0,1.0,227.3
3.0,4.0,16.9,3.0,4.0,716.6,2.0,4.0,516.2,2.0,3.0,394.5,2.0,3.0,1040.0,2.0,3.0,390.9
3.0,5.0,32.2,3.0,5.0,992.1,2.0,5.0,664.0,2.0,5.0,230.5,2.0,4.0,627.5,2.0,4.0,281.3
3.0,6.0,80.2,3.0,6.0,1167.0,2.0,6.0,860.3,2.0,6.0,350.2,2.0,6.0,860.3,2.0,5.0,423.8
4.0,2.0,15.8,4.0,1.0,357.9,4.0,1.0,78.6,3.0,1.0,76.0,3.0,1.0,294.4,3.0,1.0,255.0
4.0,3.0,11.6,4.0,3.0,670.4,4.0,2.0,313.2,3.0,2.0,286.5,3.0,2.0,945.7,3.0,2.0,452.8
4.0,5.0,7.2,4.0,5.0,606.5,4.0,5.0,81.4,3.0,5.0,80.5,3.0,4.0,291.4,3.0,4.0,277.5
4.0,6.0,18.7,4.0,6.0,749.5,4.0,6.0,161.3,3.0,6.0,155.4,3.0,6.0,524.1,3.0,5.0,378.9
5.0,2.0,55.3,5.0,1.0,802.0,5.0,1.0,151.1,5.0,1.0,22.9,4.0,1.0,83.2,4.0,1.0,99.2
5.0,3.0,45.3,5.0,3.0,1295.0,5.0,2.0,458.9,5.0,2.0,108.8,4.0,2.0,350.6,4.0,2.0,246.7
5.0,4.0,20.4,5.0,4.0,958.9,5.0,4.0,153.1,5.0,3.0,70.5,4.0,3.0,226.7,4.0,3.0,225.2
5.0,6.0,65.5,5.0,6.0,1467.0,5.0,6.0,269.6,5.0,6.0,36.8,4.0,6.0,146.5,4.0,5.0,134.6
6.0,2.0,108.9,6.0,1.0,796.5,6.0,1.0,348.5,6.0,1.0,80.9,6.0,1.0,348.5,5.0,1.0,237.9
6.0,3.0,108.2,6.0,3.0,1442.0,6.0,2.0,847.6,6.0,2.0,241.9,6.0,2.0,851.8,5.0,2.0,497.5
6.0,4.0,50.2,6.0,4.0,1018.0,6.0,4.0,359.0,6.0,3.0,226.2,6.0,3.0,558.2,5.0,3.0,459.5
6.0,5.0,76.6,6.0,5.0,1418.0,6.0,5.0,414.1,6.0,5.0,91.4,6.0,4.0,289.6,5.0,4.0,224.9
