1,高濱 芳久,高濱 芳久.1,2,藤田 美代,藤田 美代.1,3,三原 司,三原 司.1,4,倉田 茂将,倉田 茂将.1,5,待鳥 雄紀,待鳥 雄紀.1,6,石川 哲秀,石川 哲秀.1
2.0,3.0,14.7,1.0,3.0,39.9,1.0,2.0,58.2,1.0,2.0,85.6,1.0,2.0,62.3,1.0,2.0,941.1
2.0,4.0,25.3,1.0,4.0,70.1,1.0,4.0,53.8,1.0,3.0,73.4,1.0,3.0,52.1,1.0,3.0,1116.0
2.0,5.0,19.6,1.0,5.0,51.7,1.0,5.0,37.5,1.0,5.0,55.3,1.0,4.0,66.8,1.0,4.0,1136.0
2.0,6.0,118.3,1.0,6.0,218.1,1.0,6.0,173.7,1.0,6.0,168.3,1.0,6.0,108.3,1.0,5.0,712.5
3.0,2.0,13.8,3.0,1.0,81.7,2.0,1.0,109.8,2.0,1.0,153.9,2.0,1.0,108.1,2.0,1.0,1248.0
3.0,4.0,14.3,3.0,4.0,163.9,2.0,4.0,173.7,2.0,3.0,143.6,2.0,3.0,131.7,2.0,3.0,2001.0
3.0,5.0,11.5,3.0,5.0,95.0,2.0,5.0,103.3,2.0,5.0,128.5,2.0,4.0,173.4,2.0,4.0,1727.0
3.0,6.0,72.3,3.0,6.0,428.9,2.0,6.0,414.8,2.0,6.0,278.3,2.0,6.0,211.5,2.0,5.0,1286.0
4.0,2.0,33.2,4.0,1.0,145.7,4.0,1.0,113.9,3.0,1.0,111.9,3.0,1.0,90.4,3.0,1.0,1356.0
4.0,3.0,27.5,4.0,3.0,202.4,4.0,2.0,163.1,3.0,2.0,146.6,3.0,2.0,140.2,3.0,2.0,1751.0
4.0,5.0,26.9,4.0,5.0,162.5,4.0,5.0,84.0,3.0,5.0,90.4,3.0,4.0,161.4,3.0,4.0,1704.0
4.0,6.0,107.9,4.0,6.0,479.5,4.0,6.0,285.9,3.0,6.0,352.2,3.0,6.0,284.6,3.0,5.0,1212.0
5.0,2.0,26.0,5.0,1.0,102.9,5.0,1.0,75.5,5.0,1.0,56.5,4.0,1.0,89.8,4.0,1.0,1273.0
5.0,3.0,20.3,5.0,3.0,128.5,5.0,2.0,109.1,5.0,2.0,81.5,4.0,2.0,141.3,4.0,2.0,1300.0
5.0,4.0,33.7,5.0,4.0,165.9,5.0,4.0,110.3,5.0,3.0,74.5,4.0,3.0,140.2,4.0,3.0,1637.0
5.0,6.0,73.6,5.0,6.0,283.4,5.0,6.0,214.4,5.0,6.0,90.6,4.0,6.0,144.1,4.0,5.0,670.8
6.0,2.0,264.9,6.0,1.0,510.5,6.0,1.0,568.0,6.0,1.0,276.5,6.0,1.0,207.7,5.0,1.0,750.6
6.0,3.0,268.3,6.0,3.0,1068.0,6.0,2.0,927.3,6.0,2.0,397.8,6.0,2.0,289.2,5.0,2.0,934.1
6.0,4.0,341.7,6.0,4.0,803.2,6.0,4.0,900.8,6.0,3.0,581.1,6.0,3.0,359.2,5.0,3.0,840.7
6.0,5.0,214.8,6.0,5.0,640.1,6.0,5.0,538.9,6.0,5.0,219.3,6.0,4.0,252.2,5.0,4.0,589.3
