1,別府 昌樹,別府 昌樹.1,2,高濱 芳久,高濱 芳久.1,3,渡 修平,渡 修平.1,4,鶴本 崇文,鶴本 崇文.1,5,前川 守嗣,前川 守嗣.1,6,渡邉 英児,渡邉 英児.1
2.0,3.0,21.6,1.0,3.0,92.1,1.0,2.0,110.8,1.0,2.0,51.6,1.0,2.0,694.4,1.0,2.0,231.7
2.0,4.0,13.0,1.0,4.0,51.6,1.0,4.0,42.0,1.0,3.0,48.8,1.0,3.0,729.3,1.0,3.0,220.9
2.0,5.0,63.2,1.0,5.0,207.7,1.0,5.0,170.5,1.0,5.0,81.2,1.0,4.0,341.1,1.0,4.0,113.2
2.0,6.0,30.9,1.0,6.0,108.7,1.0,6.0,56.1,1.0,6.0,28.5,1.0,6.0,452.6,1.0,5.0,547.4
3.0,2.0,25.6,3.0,1.0,191.9,2.0,1.0,204.9,2.0,1.0,108.1,2.0,1.0,953.4,2.0,1.0,361.2
3.0,4.0,10.6,3.0,4.0,186.7,2.0,4.0,148.2,2.0,3.0,196.4,2.0,3.0,1129.0,2.0,3.0,799.4
3.0,5.0,64.8,3.0,5.0,406.0,2.0,5.0,316.5,2.0,5.0,268.9,2.0,4.0,1097.0,2.0,4.0,478.7
3.0,6.0,18.4,3.0,6.0,268.6,2.0,6.0,207.5,2.0,6.0,121.6,2.0,6.0,1211.0,2.0,5.0,1551.0
4.0,2.0,14.3,4.0,1.0,123.5,4.0,1.0,55.5,3.0,1.0,75.7,3.0,1.0,1062.0,3.0,1.0,277.2
4.0,3.0,11.5,4.0,3.0,196.9,4.0,2.0,122.1,3.0,2.0,147.2,3.0,2.0,1186.0,3.0,2.0,637.3
4.0,5.0,27.9,4.0,5.0,357.9,4.0,5.0,135.3,3.0,5.0,157.9,3.0,4.0,998.5,3.0,4.0,237.8
4.0,6.0,11.5,4.0,6.0,173.3,4.0,6.0,45.9,3.0,6.0,61.6,3.0,6.0,1072.0,3.0,5.0,912.3
5.0,2.0,143.1,5.0,1.0,613.8,5.0,1.0,441.4,5.0,1.0,159.1,4.0,1.0,455.2,4.0,1.0,134.2
5.0,3.0,150.0,5.0,3.0,930.6,5.0,2.0,610.6,5.0,2.0,268.0,4.0,2.0,1007.0,4.0,2.0,359.0
5.0,4.0,64.3,5.0,4.0,649.8,5.0,4.0,353.5,5.0,3.0,268.0,4.0,3.0,1002.0,4.0,3.0,233.1
5.0,6.0,121.9,5.0,6.0,755.3,5.0,6.0,406.7,5.0,6.0,122.6,4.0,6.0,385.1,4.0,5.0,469.0
6.0,2.0,65.7,6.0,1.0,345.6,6.0,1.0,124.8,6.0,1.0,55.0,6.0,1.0,740.9,5.0,1.0,884.6
6.0,3.0,48.7,6.0,3.0,590.4,6.0,2.0,286.1,6.0,2.0,118.1,6.0,2.0,1463.0,5.0,2.0,1906.0
6.0,4.0,29.7,6.0,4.0,311.4,6.0,4.0,98.2,6.0,3.0,95.0,6.0,3.0,1344.0,5.0,3.0,1593.0
6.0,5.0,143.8,6.0,5.0,901.7,6.0,5.0,347.2,6.0,5.0,147.9,6.0,4.0,622.0,5.0,4.0,662.8
