1,松田 竜馬,松田 竜馬.1,2,青木　幸太郎,青木　幸太郎.1,3,岡瀬 正人,岡瀬 正人.1,4,中田 元泰,中田 元泰.1,5,宮野 仁,宮野 仁.1,6,森安 弘雅,森安 弘雅.1
2.0,3.0,14.8,1.0,3.0,52.8,1.0,2.0,118.1,1.0,2.0,21.4,1.0,2.0,590.1,1.0,2.0,1046.0
2.0,4.0,7.8,1.0,4.0,34.2,1.0,4.0,61.2,1.0,3.0,26.4,1.0,3.0,616.0,1.0,3.0,1337.0
2.0,5.0,49.7,1.0,5.0,166.8,1.0,5.0,191.7,1.0,5.0,48.6,1.0,4.0,411.4,1.0,4.0,676.6
2.0,6.0,45.4,1.0,6.0,140.3,1.0,6.0,306.6,1.0,6.0,37.3,1.0,6.0,781.8,1.0,5.0,2231.0
3.0,2.0,19.8,3.0,1.0,160.6,2.0,1.0,218.3,2.0,1.0,56.5,2.0,1.0,900.9,2.0,1.0,1764.0
3.0,4.0,10.2,3.0,4.0,178.9,2.0,4.0,245.2,2.0,3.0,108.9,2.0,3.0,1316.0,2.0,3.0,2739.0
3.0,5.0,40.4,3.0,5.0,480.0,2.0,5.0,552.4,2.0,5.0,187.2,2.0,4.0,1108.0,2.0,4.0,1311.0
3.0,6.0,54.4,3.0,6.0,530.6,2.0,6.0,648.0,2.0,6.0,132.4,2.0,6.0,1524.0,2.0,5.0,2674.0
4.0,2.0,6.7,4.0,1.0,65.7,4.0,1.0,95.5,3.0,1.0,69.0,3.0,1.0,1033.0,3.0,1.0,1841.0
4.0,3.0,7.9,4.0,3.0,126.9,4.0,2.0,198.4,3.0,2.0,145.1,3.0,2.0,1524.0,3.0,2.0,2982.0
4.0,5.0,27.6,4.0,5.0,308.2,4.0,5.0,324.6,3.0,5.0,225.5,3.0,4.0,1220.0,3.0,4.0,1271.0
4.0,6.0,18.3,4.0,6.0,238.9,4.0,6.0,288.2,3.0,6.0,167.9,3.0,6.0,1936.0,3.0,5.0,3473.0
5.0,2.0,118.8,5.0,1.0,489.7,5.0,1.0,505.9,5.0,1.0,91.8,4.0,1.0,477.9,4.0,1.0,764.1
5.0,3.0,118.9,5.0,3.0,834.0,5.0,2.0,850.9,5.0,2.0,178.5,4.0,2.0,941.2,4.0,2.0,1353.0
5.0,4.0,94.9,5.0,4.0,662.0,5.0,4.0,683.5,5.0,3.0,254.5,4.0,3.0,1027.0,4.0,3.0,1165.0
5.0,6.0,179.0,5.0,6.0,954.5,5.0,6.0,1062.0,5.0,6.0,143.2,4.0,6.0,938.6,4.0,5.0,1982.0
6.0,2.0,175.8,6.0,1.0,810.0,6.0,1.0,834.0,6.0,1.0,96.4,6.0,1.0,1589.0,5.0,1.0,3303.0
6.0,3.0,188.3,6.0,3.0,1150.0,6.0,2.0,1375.0,6.0,2.0,174.5,6.0,2.0,2632.0,5.0,2.0,3918.0
6.0,4.0,96.4,6.0,4.0,743.8,6.0,4.0,669.9,6.0,3.0,207.2,6.0,3.0,2216.0,5.0,3.0,3369.0
6.0,5.0,313.1,6.0,5.0,1612.0,6.0,5.0,1612.0,6.0,5.0,224.7,6.0,4.0,1497.0,5.0,4.0,2373.0
