1,大塚 雅治,大塚 雅治.1,2,丹下 将,丹下 将.1,3,木下 翔太,木下 翔太.1,4,梅木 敬太,梅木 敬太.1,5,加藤 奈月,加藤 奈月.1,6,牧原 崇,牧原 崇.1
2.0,3.0,12.6,1.0,3.0,16.6,1.0,2.0,13.1,1.0,2.0,218.1,1.0,2.0,838.7,1.0,2.0,531.8
2.0,4.0,39.6,1.0,4.0,49.1,1.0,4.0,25.5,1.0,3.0,194.5,1.0,3.0,614.1,1.0,3.0,476.1
2.0,5.0,87.9,1.0,5.0,119.0,1.0,5.0,49.4,1.0,5.0,544.5,1.0,4.0,1336.0,1.0,4.0,838.7
2.0,6.0,58.4,1.0,6.0,67.0,1.0,6.0,30.6,1.0,6.0,325.0,1.0,6.0,1091.0,1.0,5.0,2118.0
3.0,2.0,10.2,3.0,1.0,18.1,2.0,1.0,15.6,2.0,1.0,226.2,2.0,1.0,1173.0,2.0,1.0,688.5
3.0,4.0,23.8,3.0,4.0,22.7,2.0,4.0,21.7,2.0,3.0,114.2,2.0,3.0,493.9,2.0,3.0,271.6
3.0,5.0,50.8,3.0,5.0,56.2,2.0,5.0,46.1,2.0,5.0,490.1,2.0,4.0,1644.0,2.0,4.0,759.7
3.0,6.0,34.8,3.0,6.0,24.5,2.0,6.0,20.9,2.0,6.0,223.5,2.0,6.0,1358.0,2.0,5.0,1747.0
4.0,2.0,74.9,4.0,1.0,123.3,4.0,1.0,57.3,3.0,1.0,183.3,3.0,1.0,702.1,3.0,1.0,584.0
4.0,3.0,68.9,4.0,3.0,56.8,4.0,2.0,41.7,3.0,2.0,124.1,3.0,2.0,473.4,3.0,2.0,264.2
4.0,5.0,240.3,4.0,5.0,358.6,4.0,5.0,114.2,3.0,5.0,368.6,3.0,4.0,999.8,3.0,4.0,696.2
4.0,6.0,156.3,4.0,6.0,149.4,4.0,6.0,54.9,3.0,6.0,180.6,3.0,6.0,858.9,3.0,5.0,1213.0
5.0,2.0,212.1,5.0,1.0,342.8,5.0,1.0,129.0,5.0,1.0,624.8,4.0,1.0,1542.0,4.0,1.0,1157.0
5.0,3.0,184.3,5.0,3.0,198.0,5.0,2.0,105.2,5.0,2.0,700.1,4.0,2.0,1666.0,4.0,2.0,883.2
5.0,4.0,330.1,5.0,4.0,482.5,5.0,4.0,149.0,5.0,3.0,579.9,4.0,3.0,1281.0,4.0,3.0,883.2
5.0,6.0,480.6,5.0,6.0,389.3,5.0,6.0,127.6,5.0,6.0,628.0,4.0,6.0,1533.0,4.0,5.0,2231.0
6.0,2.0,211.6,6.0,1.0,204.5,6.0,1.0,77.9,6.0,1.0,369.2,6.0,1.0,1879.0,5.0,1.0,2603.0
6.0,3.0,171.2,6.0,3.0,105.0,6.0,2.0,55.4,6.0,2.0,312.8,6.0,2.0,1623.0,5.0,2.0,1999.0
6.0,4.0,278.6,6.0,4.0,236.4,6.0,4.0,99.1,6.0,3.0,275.8,6.0,3.0,1201.0,5.0,3.0,1655.0
6.0,5.0,590.9,6.0,5.0,452.0,6.0,5.0,147.9,6.0,5.0,620.2,6.0,4.0,2032.0,5.0,4.0,2251.0
