1,武藤 綾子,武藤 綾子.1,2,犬童 千秋,犬童 千秋.1,3,水口 由紀,水口 由紀.1,4,神里 琴音,神里 琴音.1,5,藤堂 里香,藤堂 里香.1,6,筒井 美琴,筒井 美琴.1
2.0,3.0,10.0,1.0,3.0,13.5,1.0,2.0,73.8,1.0,2.0,51.7,1.0,2.0,80.0,1.0,2.0,613.1
2.0,4.0,11.6,1.0,4.0,17.9,1.0,4.0,130.9,1.0,3.0,103.0,1.0,3.0,147.9,1.0,3.0,1310.0
2.0,5.0,15.3,1.0,5.0,19.2,1.0,5.0,126.3,1.0,5.0,62.7,1.0,4.0,131.5,1.0,4.0,1041.0
2.0,6.0,106.4,1.0,6.0,121.4,1.0,6.0,520.7,1.0,6.0,184.6,1.0,6.0,276.5,1.0,5.0,1230.0
3.0,2.0,22.4,3.0,1.0,32.5,2.0,1.0,82.1,2.0,1.0,61.8,2.0,1.0,97.1,2.0,1.0,786.8
3.0,4.0,37.4,3.0,4.0,45.0,2.0,4.0,107.6,2.0,3.0,103.5,2.0,3.0,145.0,2.0,3.0,1097.0
3.0,5.0,37.8,3.0,5.0,44.3,2.0,5.0,106.5,2.0,5.0,54.9,2.0,4.0,110.3,2.0,4.0,794.5
3.0,6.0,256.8,3.0,6.0,213.5,2.0,6.0,428.7,2.0,6.0,168.6,2.0,6.0,240.0,2.0,5.0,1109.0
4.0,2.0,26.3,4.0,1.0,38.2,4.0,1.0,200.6,3.0,1.0,227.5,3.0,1.0,273.7,3.0,1.0,1934.0
4.0,3.0,49.0,4.0,3.0,52.1,4.0,2.0,164.2,3.0,2.0,190.0,3.0,2.0,261.6,3.0,2.0,1747.0
4.0,5.0,42.5,4.0,5.0,39.3,4.0,5.0,209.9,3.0,5.0,227.2,3.0,4.0,407.7,3.0,4.0,2124.0
4.0,6.0,171.9,4.0,6.0,158.4,4.0,6.0,675.6,3.0,6.0,548.0,3.0,6.0,762.8,3.0,5.0,2443.0
5.0,2.0,39.1,5.0,1.0,49.0,5.0,1.0,213.7,5.0,1.0,57.5,4.0,1.0,120.6,4.0,1.0,1388.0
5.0,3.0,65.7,5.0,3.0,67.1,5.0,2.0,193.4,5.0,2.0,48.8,4.0,2.0,102.5,4.0,2.0,950.2
5.0,4.0,68.9,5.0,4.0,61.0,5.0,4.0,260.8,5.0,3.0,129.9,4.0,3.0,259.9,4.0,3.0,1825.0
5.0,6.0,215.0,5.0,6.0,188.9,5.0,6.0,824.8,5.0,6.0,102.5,4.0,6.0,188.1,4.0,5.0,1181.0
6.0,2.0,354.3,6.0,1.0,382.7,6.0,1.0,1249.0,6.0,1.0,412.4,6.0,1.0,547.0,5.0,1.0,1710.0
6.0,3.0,647.3,6.0,3.0,681.2,6.0,2.0,859.7,6.0,2.0,359.0,6.0,2.0,463.5,5.0,2.0,1554.0
6.0,4.0,479.3,6.0,4.0,459.0,6.0,4.0,958.6,6.0,3.0,697.3,6.0,3.0,875.9,5.0,3.0,2124.0
6.0,5.0,590.8,6.0,5.0,451.3,6.0,5.0,1337.0,6.0,5.0,304.5,6.0,4.0,500.7,5.0,4.0,1289.0
