1,西川 拓利,西川 拓利.1,2,藤原 碧生,藤原 碧生.1,3,村松 栄太,村松 栄太.1,4,坂本 雄紀,坂本 雄紀.1,5,西丸　侑太朗,西丸　侑太朗.1,6,中島 航,中島 航.1
2.0,3.0,22.3,1.0,3.0,31.2,1.0,2.0,174.0,1.0,2.0,59.9,1.0,2.0,74.8,1.0,2.0,883.7
2.0,4.0,14.1,1.0,4.0,12.1,1.0,4.0,252.2,1.0,3.0,184.7,1.0,3.0,189.6,1.0,3.0,1516.0
2.0,5.0,21.3,1.0,5.0,20.0,1.0,5.0,228.0,1.0,5.0,76.9,1.0,4.0,106.9,1.0,4.0,1059.0
2.0,6.0,78.2,1.0,6.0,63.5,1.0,6.0,476.8,1.0,6.0,143.1,1.0,6.0,141.5,1.0,5.0,1196.0
3.0,2.0,55.2,3.0,1.0,80.7,2.0,1.0,176.7,2.0,1.0,53.2,2.0,1.0,69.7,2.0,1.0,931.2
3.0,4.0,81.9,3.0,4.0,57.5,2.0,4.0,140.0,2.0,3.0,99.9,2.0,3.0,141.2,2.0,3.0,1024.0
3.0,5.0,83.8,3.0,5.0,64.3,2.0,5.0,140.3,2.0,5.0,38.4,2.0,4.0,61.0,2.0,4.0,380.1
3.0,6.0,206.7,3.0,6.0,138.7,2.0,6.0,276.6,2.0,6.0,66.0,2.0,6.0,81.7,2.0,5.0,532.6
4.0,2.0,31.1,4.0,1.0,19.6,4.0,1.0,296.8,3.0,1.0,332.3,3.0,1.0,302.9,3.0,1.0,1900.0
4.0,3.0,85.8,4.0,3.0,42.2,4.0,2.0,182.9,3.0,2.0,197.6,3.0,2.0,246.4,3.0,2.0,1267.0
4.0,5.0,54.6,4.0,5.0,18.1,4.0,5.0,203.7,3.0,5.0,200.8,3.0,4.0,321.5,3.0,4.0,1020.0
4.0,6.0,110.3,4.0,6.0,35.8,4.0,6.0,297.4,3.0,6.0,304.6,3.0,6.0,360.4,3.0,5.0,1267.0
5.0,2.0,45.8,5.0,1.0,43.1,5.0,1.0,288.4,5.0,1.0,64.4,4.0,1.0,96.8,4.0,1.0,1096.0
5.0,3.0,97.6,5.0,3.0,75.2,5.0,2.0,216.9,5.0,2.0,41.9,4.0,2.0,60.5,4.0,2.0,386.5
5.0,4.0,75.3,5.0,4.0,33.3,5.0,4.0,250.4,5.0,3.0,140.2,4.0,3.0,204.0,4.0,3.0,1059.0
5.0,6.0,132.9,5.0,6.0,70.5,5.0,6.0,361.3,5.0,6.0,57.8,4.0,6.0,85.4,4.0,5.0,555.0
6.0,2.0,234.9,6.0,1.0,213.1,6.0,1.0,906.8,6.0,1.0,202.8,6.0,1.0,228.5,5.0,1.0,1096.0
6.0,3.0,371.4,6.0,3.0,312.5,6.0,2.0,717.0,6.0,2.0,115.0,6.0,2.0,157.1,5.0,2.0,581.7
6.0,4.0,285.7,6.0,4.0,127.5,6.0,4.0,645.3,6.0,3.0,328.4,6.0,3.0,354.8,5.0,3.0,1142.0
6.0,5.0,271.0,6.0,5.0,142.5,6.0,5.0,604.5,6.0,5.0,120.3,6.0,4.0,183.5,5.0,4.0,547.3
