1,河合 三弘,河合 三弘.1,2,松井 賢治,松井 賢治.1,3,木山 誠一,木山 誠一.1,4,樋口 亮,樋口 亮.1,5,高橋 直哉,高橋 直哉.1,6,中渡 修作,中渡 修作.1
2.0,3.0,38.7,1.0,3.0,60.2,1.0,2.0,336.8,1.0,2.0,27.1,1.0,2.0,109.5,1.0,2.0,1621.0
2.0,4.0,7.3,1.0,4.0,10.7,1.0,4.0,366.0,1.0,3.0,172.5,1.0,3.0,499.2,1.0,3.0,3451.0
2.0,5.0,14.1,1.0,5.0,20.2,1.0,5.0,503.9,1.0,5.0,33.4,1.0,4.0,129.4,1.0,4.0,1465.0
2.0,6.0,62.5,1.0,6.0,93.5,1.0,6.0,911.9,1.0,6.0,92.3,1.0,6.0,303.1,1.0,5.0,2098.0
3.0,2.0,76.4,3.0,1.0,180.2,2.0,1.0,410.4,2.0,1.0,29.1,2.0,1.0,118.2,2.0,1.0,1716.0
3.0,4.0,85.9,3.0,4.0,104.5,2.0,4.0,291.5,2.0,3.0,148.8,2.0,3.0,370.6,2.0,3.0,3821.0
3.0,5.0,128.9,3.0,5.0,128.3,2.0,5.0,429.7,2.0,5.0,30.4,2.0,4.0,97.9,2.0,4.0,1180.0
3.0,6.0,284.3,3.0,6.0,423.4,2.0,6.0,917.1,2.0,6.0,83.0,2.0,6.0,276.0,2.0,5.0,2244.0
4.0,2.0,10.6,4.0,1.0,17.3,4.0,1.0,454.6,3.0,1.0,386.7,3.0,1.0,858.2,3.0,1.0,4223.0
4.0,3.0,60.3,4.0,3.0,65.5,4.0,2.0,397.2,3.0,2.0,303.3,3.0,2.0,604.5,3.0,2.0,6056.0
4.0,5.0,20.6,4.0,5.0,19.1,4.0,5.0,463.1,3.0,5.0,377.1,3.0,4.0,1069.0,3.0,4.0,4168.0
4.0,6.0,67.7,4.0,6.0,70.6,4.0,6.0,933.1,3.0,6.0,564.1,3.0,6.0,2006.0,3.0,5.0,6419.0
5.0,2.0,35.2,5.0,1.0,48.6,5.0,1.0,1006.0,5.0,1.0,38.3,4.0,1.0,120.2,4.0,1.0,1472.0
5.0,3.0,171.1,5.0,3.0,114.5,5.0,2.0,862.8,5.0,2.0,35.1,4.0,2.0,83.0,4.0,2.0,1150.0
5.0,4.0,45.1,5.0,4.0,34.8,5.0,4.0,798.4,5.0,3.0,267.9,4.0,3.0,547.7,4.0,3.0,2918.0
5.0,6.0,152.5,5.0,6.0,141.7,5.0,6.0,1763.0,5.0,6.0,67.6,4.0,6.0,181.0,4.0,5.0,1395.0
6.0,2.0,296.9,6.0,1.0,554.3,6.0,1.0,2276.0,6.0,1.0,195.6,6.0,1.0,746.5,5.0,1.0,2567.0
6.0,3.0,684.4,6.0,3.0,1049.0,6.0,2.0,2377.0,6.0,2.0,183.6,6.0,2.0,682.9,5.0,2.0,2944.0
6.0,4.0,307.1,6.0,4.0,301.1,6.0,4.0,2360.0,6.0,3.0,647.1,6.0,3.0,2111.0,5.0,3.0,5177.0
6.0,5.0,423.4,6.0,5.0,395.3,6.0,5.0,2720.0,6.0,5.0,180.9,6.0,4.0,579.4,5.0,4.0,1957.0
