1,永田 啓二,永田 啓二.1,2,大上 卓人,大上 卓人.1,3,佐竹 太一,佐竹 太一.1,4,平池 仁志,平池 仁志.1,5,加藤 翔馬,加藤 翔馬.1,6,齋藤 真之,齋藤 真之.1
2.0,3.0,3.7,1.0,3.0,15.8,1.0,2.0,55.5,1.0,2.0,180.6,1.0,2.0,140.4,1.0,2.0,1144.0
2.0,4.0,7.5,1.0,4.0,33.8,1.0,4.0,95.7,1.0,3.0,301.6,1.0,3.0,284.2,1.0,3.0,1793.0
2.0,5.0,7.3,1.0,5.0,24.0,1.0,5.0,91.1,1.0,5.0,314.5,1.0,4.0,555.3,1.0,4.0,1634.0
2.0,6.0,31.8,1.0,6.0,81.8,1.0,6.0,174.3,1.0,6.0,349.1,1.0,6.0,698.6,1.0,5.0,2923.0
3.0,2.0,9.4,3.0,1.0,67.8,2.0,1.0,106.1,2.0,1.0,293.2,2.0,1.0,258.2,2.0,1.0,1525.0
3.0,4.0,23.1,3.0,4.0,216.3,2.0,4.0,314.6,2.0,3.0,568.2,2.0,3.0,569.6,2.0,3.0,2395.0
3.0,5.0,22.2,3.0,5.0,156.7,2.0,5.0,225.2,2.0,5.0,580.1,2.0,4.0,949.4,2.0,4.0,3016.0
3.0,6.0,57.5,3.0,6.0,314.2,2.0,6.0,373.0,2.0,6.0,691.3,2.0,6.0,1070.0,2.0,5.0,3301.0
4.0,2.0,25.7,4.0,1.0,176.6,4.0,1.0,321.0,3.0,1.0,663.6,3.0,1.0,679.9,3.0,1.0,2697.0
4.0,3.0,46.8,4.0,3.0,377.9,4.0,2.0,426.5,3.0,2.0,959.0,3.0,2.0,884.9,3.0,2.0,3160.0
4.0,5.0,57.2,4.0,5.0,368.5,4.0,5.0,468.3,3.0,5.0,1030.0,3.0,4.0,1659.0,3.0,4.0,4545.0
4.0,6.0,93.9,4.0,6.0,586.2,4.0,6.0,740.7,3.0,6.0,1371.0,3.0,6.0,1697.0,3.0,5.0,4309.0
5.0,2.0,25.3,5.0,1.0,142.9,5.0,1.0,348.3,5.0,1.0,463.7,4.0,1.0,929.5,4.0,1.0,1981.0
5.0,3.0,42.2,5.0,3.0,268.5,5.0,2.0,421.6,5.0,2.0,559.1,4.0,2.0,1134.0,4.0,2.0,4046.0
5.0,4.0,86.8,5.0,4.0,516.4,5.0,4.0,744.0,5.0,3.0,855.2,4.0,3.0,1693.0,4.0,3.0,4706.0
5.0,6.0,146.0,5.0,6.0,677.9,5.0,6.0,888.4,5.0,6.0,538.6,4.0,6.0,1259.0,4.0,5.0,4071.0
6.0,2.0,143.9,6.0,1.0,535.6,6.0,1.0,910.3,6.0,1.0,730.9,6.0,1.0,1843.0,5.0,1.0,3687.0
6.0,3.0,216.9,6.0,3.0,899.2,6.0,2.0,1005.0,6.0,2.0,1041.0,6.0,2.0,1923.0,5.0,2.0,3858.0
6.0,4.0,264.3,6.0,4.0,1200.0,6.0,4.0,1576.0,6.0,3.0,1442.0,6.0,3.0,2387.0,5.0,3.0,4309.0
6.0,5.0,299.0,6.0,5.0,923.0,6.0,5.0,1348.0,6.0,5.0,1032.0,6.0,4.0,2485.0,5.0,4.0,4122.0
