1,佐藤 博亮,佐藤 博亮.1,2,原田 幸哉,原田 幸哉.1,3,高倉 和士,高倉 和士.1,4,森高 一真,森高 一真.1,5,前田 将太,前田 将太.1,6,山口 達也,山口 達也.1
2.0,3.0,14.2,1.0,3.0,59.5,1.0,2.0,69.4,1.0,2.0,156.1,1.0,2.0,154.2,1.0,2.0,1216.0
2.0,4.0,19.0,1.0,4.0,67.7,1.0,4.0,35.7,1.0,3.0,105.6,1.0,3.0,100.9,1.0,3.0,743.3
2.0,5.0,23.2,1.0,5.0,76.0,1.0,5.0,31.7,1.0,5.0,94.2,1.0,4.0,147.6,1.0,4.0,908.3
2.0,6.0,55.8,1.0,6.0,186.3,1.0,6.0,71.2,1.0,6.0,162.9,1.0,6.0,178.6,1.0,5.0,733.9
3.0,2.0,15.3,3.0,1.0,118.7,2.0,1.0,132.5,2.0,1.0,282.3,2.0,1.0,278.2,2.0,1.0,1792.0
3.0,4.0,11.6,3.0,4.0,149.5,2.0,4.0,126.0,2.0,3.0,266.6,2.0,3.0,272.4,2.0,3.0,1753.0
3.0,5.0,11.0,3.0,5.0,137.4,2.0,5.0,135.2,2.0,5.0,210.8,2.0,4.0,283.2,2.0,4.0,1716.0
3.0,6.0,28.9,3.0,6.0,339.5,2.0,6.0,251.6,2.0,6.0,381.4,2.0,6.0,447.6,2.0,5.0,1966.0
4.0,2.0,28.1,4.0,1.0,184.9,4.0,1.0,64.7,3.0,1.0,150.7,3.0,1.0,142.3,3.0,1.0,1046.0
4.0,3.0,20.8,4.0,3.0,210.3,4.0,2.0,112.7,3.0,2.0,237.3,3.0,2.0,241.5,3.0,2.0,1929.0
4.0,5.0,24.4,4.0,5.0,178.1,4.0,5.0,51.0,3.0,5.0,104.7,3.0,4.0,159.2,3.0,4.0,1103.0
4.0,6.0,47.1,4.0,6.0,390.2,4.0,6.0,100.0,3.0,6.0,185.9,3.0,6.0,235.8,3.0,5.0,1083.0
5.0,2.0,33.9,5.0,1.0,219.5,5.0,1.0,61.6,5.0,1.0,115.7,4.0,1.0,193.5,4.0,1.0,1137.0
5.0,3.0,23.3,5.0,3.0,212.8,5.0,2.0,125.9,5.0,2.0,137.7,4.0,2.0,201.2,4.0,2.0,1947.0
5.0,4.0,34.8,5.0,4.0,226.3,5.0,4.0,61.0,5.0,3.0,109.6,4.0,3.0,162.9,4.0,3.0,1147.0
5.0,6.0,54.4,5.0,6.0,462.4,5.0,6.0,104.2,5.0,6.0,115.7,4.0,6.0,178.3,4.0,5.0,950.9
6.0,2.0,149.8,6.0,1.0,779.0,6.0,1.0,277.6,6.0,1.0,357.8,6.0,1.0,434.6,5.0,1.0,1044.0
6.0,3.0,96.1,6.0,3.0,880.6,6.0,2.0,478.2,6.0,2.0,544.5,6.0,2.0,657.6,5.0,2.0,1753.0
6.0,4.0,120.3,6.0,4.0,820.0,6.0,4.0,256.7,6.0,3.0,408.3,6.0,3.0,460.8,5.0,3.0,971.4
6.0,5.0,122.3,6.0,5.0,743.3,6.0,5.0,234.5,6.0,5.0,286.7,6.0,4.0,389.9,5.0,4.0,843.9
