1,花田 凱成,花田 凱成.1,2,小池 公生,小池 公生.1,3,中渡 修作,中渡 修作.1,4,松尾 宣邦,松尾 宣邦.1,5,池田 剛規,池田 剛規.1,6,鳥飼 眞,鳥飼 眞.1
2.0,3.0,15.2,1.0,3.0,23.3,1.0,2.0,83.3,1.0,2.0,280.2,1.0,2.0,179.7,1.0,2.0,131.5
2.0,4.0,29.6,1.0,4.0,53.0,1.0,4.0,155.2,1.0,3.0,425.9,1.0,3.0,235.4,1.0,3.0,236.8
2.0,5.0,22.9,1.0,5.0,33.9,1.0,5.0,103.1,1.0,5.0,302.7,1.0,4.0,367.4,1.0,4.0,479.4
2.0,6.0,16.8,1.0,6.0,23.0,1.0,6.0,81.7,1.0,6.0,268.8,1.0,6.0,172.9,1.0,5.0,297.6
3.0,2.0,21.6,3.0,1.0,42.0,2.0,1.0,87.2,2.0,1.0,305.7,2.0,1.0,199.1,2.0,1.0,141.1
3.0,4.0,56.9,3.0,4.0,57.0,2.0,4.0,89.4,2.0,3.0,293.2,2.0,3.0,192.9,2.0,3.0,156.3
3.0,5.0,37.4,3.0,5.0,35.0,2.0,5.0,62.6,2.0,5.0,220.2,2.0,4.0,278.2,2.0,4.0,275.8
3.0,6.0,30.3,3.0,6.0,29.1,2.0,6.0,53.8,2.0,6.0,183.6,2.0,6.0,122.1,2.0,5.0,178.3
4.0,2.0,68.1,4.0,1.0,120.5,4.0,1.0,165.3,3.0,1.0,404.8,3.0,1.0,254.6,3.0,1.0,308.4
4.0,3.0,98.6,4.0,3.0,99.3,4.0,2.0,124.8,3.0,2.0,301.4,3.0,2.0,197.4,3.0,2.0,213.6
4.0,5.0,98.1,4.0,5.0,93.1,4.0,5.0,90.2,3.0,5.0,215.9,3.0,4.0,269.9,3.0,4.0,347.7
4.0,6.0,91.0,4.0,6.0,82.9,4.0,6.0,91.7,3.0,6.0,210.2,3.0,6.0,162.2,3.0,5.0,311.2
5.0,2.0,47.0,5.0,1.0,75.4,5.0,1.0,134.4,5.0,1.0,294.1,4.0,1.0,455.1,4.0,1.0,509.2
5.0,3.0,62.9,5.0,3.0,61.6,5.0,2.0,90.0,5.0,2.0,233.3,4.0,2.0,308.4,4.0,2.0,356.2
5.0,4.0,108.3,5.0,4.0,97.6,5.0,4.0,116.8,5.0,3.0,213.2,4.0,3.0,300.1,4.0,3.0,425.2
5.0,6.0,68.1,5.0,6.0,52.1,5.0,6.0,82.5,5.0,6.0,161.7,4.0,6.0,209.4,4.0,5.0,389.0
6.0,2.0,44.5,6.0,1.0,65.2,6.0,1.0,161.9,6.0,1.0,399.6,6.0,1.0,221.9,5.0,1.0,323.1
6.0,3.0,71.8,6.0,3.0,57.6,6.0,2.0,85.5,6.0,2.0,240.3,6.0,2.0,145.3,5.0,2.0,198.5
6.0,4.0,159.2,6.0,4.0,111.1,6.0,4.0,177.7,6.0,3.0,341.3,6.0,3.0,209.1,5.0,3.0,317.6
6.0,5.0,102.2,6.0,5.0,74.9,6.0,5.0,101.7,6.0,5.0,224.4,6.0,4.0,211.8,5.0,4.0,353.9
