1,川野 芽唯,川野 芽唯.1,2,永井 聖美,永井 聖美.1,3,藤原 菜希,藤原 菜希.1,4,小池 礼乃,小池 礼乃.1,5,片岡 恵里,片岡 恵里.1,6,戸敷 晃美,戸敷 晃美.1
2.0,3.0,6.6,1.0,3.0,66.8,1.0,2.0,42.7,1.0,2.0,169.1,1.0,2.0,279.5,1.0,2.0,607.5
2.0,4.0,12.6,1.0,4.0,107.4,1.0,4.0,43.9,1.0,3.0,142.9,1.0,3.0,187.3,1.0,3.0,504.9
2.0,5.0,16.2,1.0,5.0,138.0,1.0,5.0,45.9,1.0,5.0,173.3,1.0,4.0,378.9,1.0,4.0,925.5
2.0,6.0,37.8,1.0,6.0,245.8,1.0,6.0,89.6,1.0,6.0,296.8,1.0,6.0,373.8,1.0,5.0,777.4
3.0,2.0,6.3,3.0,1.0,131.8,2.0,1.0,108.9,2.0,1.0,325.2,2.0,1.0,506.9,2.0,1.0,957.2
3.0,4.0,7.6,3.0,4.0,404.8,2.0,4.0,255.3,2.0,3.0,601.7,2.0,3.0,923.2,2.0,3.0,1485.0
3.0,5.0,9.2,3.0,5.0,451.6,2.0,5.0,296.2,2.0,5.0,646.1,2.0,4.0,1405.0,2.0,4.0,2030.0
3.0,6.0,22.4,3.0,6.0,695.6,2.0,6.0,443.6,2.0,6.0,945.2,2.0,6.0,1340.0,2.0,5.0,2146.0
4.0,2.0,22.3,4.0,1.0,325.2,4.0,1.0,112.5,3.0,1.0,231.5,3.0,1.0,278.8,3.0,1.0,650.5
4.0,3.0,20.6,4.0,3.0,628.8,4.0,2.0,246.6,3.0,2.0,574.6,3.0,2.0,851.2,3.0,2.0,1319.0
4.0,5.0,33.5,4.0,5.0,927.8,4.0,5.0,193.9,3.0,5.0,482.0,3.0,4.0,1042.0,3.0,4.0,1559.0
4.0,6.0,59.8,4.0,6.0,1042.0,4.0,6.0,320.5,3.0,6.0,712.7,3.0,6.0,1033.0,3.0,5.0,1405.0
5.0,2.0,35.7,5.0,1.0,393.8,5.0,1.0,138.9,5.0,1.0,307.8,4.0,1.0,583.1,4.0,1.0,1563.0
5.0,3.0,30.1,5.0,3.0,742.2,5.0,2.0,331.8,5.0,2.0,602.2,4.0,2.0,1259.0,4.0,2.0,2282.0
5.0,4.0,61.4,5.0,4.0,1195.0,5.0,4.0,318.2,5.0,3.0,558.0,4.0,3.0,1235.0,4.0,3.0,2171.0
5.0,6.0,71.6,5.0,6.0,1432.0,5.0,6.0,351.2,5.0,6.0,512.5,4.0,6.0,1175.0,4.0,5.0,2041.0
6.0,2.0,104.0,6.0,1.0,779.9,6.0,1.0,309.7,6.0,1.0,662.0,6.0,1.0,573.7,5.0,1.0,993.9
6.0,3.0,88.5,6.0,3.0,1382.0,6.0,2.0,614.0,6.0,2.0,1082.0,6.0,2.0,1225.0,5.0,2.0,1798.0
6.0,4.0,145.8,6.0,4.0,1296.0,6.0,4.0,617.0,6.0,3.0,1146.0,6.0,3.0,1034.0,5.0,3.0,1572.0
6.0,5.0,148.2,6.0,5.0,1993.0,6.0,5.0,586.7,6.0,5.0,857.0,6.0,4.0,1451.0,5.0,4.0,2009.0
