1,山本 兼士,山本 兼士.1,2,伊藤 紘章,伊藤 紘章.1,3,近藤 稔也,近藤 稔也.1,4,福田 宗平,福田 宗平.1,5,中村 泰平,中村 泰平.1,6,富永 正人,富永 正人.1
2.0,3.0,51.6,1.0,3.0,109.4,1.0,2.0,203.1,1.0,2.0,56.2,1.0,2.0,55.8,1.0,2.0,256.3
2.0,4.0,27.2,1.0,4.0,59.8,1.0,4.0,133.7,1.0,3.0,88.2,1.0,3.0,72.6,1.0,3.0,545.4
2.0,5.0,33.3,1.0,5.0,62.5,1.0,5.0,123.4,1.0,5.0,18.7,1.0,4.0,27.2,1.0,4.0,473.6
2.0,6.0,101.4,1.0,6.0,124.9,1.0,6.0,245.8,1.0,6.0,59.4,1.0,6.0,47.1,1.0,5.0,445.5
3.0,2.0,61.8,3.0,1.0,201.3,2.0,1.0,291.2,2.0,1.0,119.6,2.0,1.0,121.1,2.0,1.0,552.1
3.0,4.0,43.9,3.0,4.0,252.0,2.0,4.0,248.6,2.0,3.0,308.1,2.0,3.0,343.4,2.0,3.0,661.7
3.0,5.0,35.5,3.0,5.0,236.8,2.0,5.0,273.5,2.0,5.0,93.7,2.0,4.0,114.9,2.0,4.0,1199.0
3.0,6.0,130.8,3.0,6.0,584.3,2.0,6.0,612.1,2.0,6.0,212.7,2.0,6.0,146.5,2.0,5.0,756.2
4.0,2.0,27.2,4.0,1.0,88.8,4.0,1.0,187.8,3.0,1.0,199.9,3.0,1.0,164.5,3.0,1.0,1636.0
4.0,3.0,40.1,4.0,3.0,232.5,4.0,2.0,226.6,3.0,2.0,309.2,3.0,2.0,381.3,3.0,2.0,647.4
4.0,5.0,16.4,4.0,5.0,101.6,4.0,5.0,144.9,3.0,5.0,148.7,3.0,4.0,166.6,3.0,4.0,1343.0
4.0,6.0,44.6,4.0,6.0,264.6,4.0,6.0,354.3,3.0,6.0,361.4,3.0,6.0,219.4,3.0,5.0,899.9
5.0,2.0,32.4,5.0,1.0,106.7,5.0,1.0,185.5,5.0,1.0,14.5,4.0,1.0,23.1,4.0,1.0,775.8
5.0,3.0,34.4,5.0,3.0,281.2,5.0,2.0,282.9,5.0,2.0,43.2,4.0,2.0,53.8,4.0,2.0,1011.0
5.0,4.0,23.3,5.0,4.0,126.3,5.0,4.0,184.4,5.0,3.0,69.3,4.0,3.0,100.6,4.0,3.0,1216.0
5.0,6.0,48.3,5.0,6.0,213.2,5.0,6.0,294.0,5.0,6.0,16.3,4.0,6.0,29.4,4.0,5.0,267.0
6.0,2.0,128.1,6.0,1.0,320.2,6.0,1.0,526.2,6.0,1.0,140.3,6.0,1.0,92.4,5.0,1.0,443.3
6.0,3.0,186.7,6.0,3.0,833.2,6.0,2.0,918.2,6.0,2.0,219.4,6.0,2.0,136.5,5.0,2.0,737.6
6.0,4.0,94.6,6.0,4.0,489.0,6.0,4.0,671.5,6.0,3.0,310.3,6.0,3.0,215.8,5.0,3.0,848.9
6.0,5.0,120.3,6.0,5.0,409.0,6.0,5.0,520.1,6.0,5.0,68.2,6.0,4.0,73.9,5.0,4.0,266.2
