1,仲本 舜,仲本 舜.1,2,小川 広大,小川 広大.1,3,下河 雅史,下河 雅史.1,4,谷村 啓司,谷村 啓司.1,5,出畑 孝成,出畑 孝成.1,6,村本 大成,村本 大成.1
2.0,3.0,13.3,1.0,3.0,27.5,1.0,2.0,33.0,1.0,2.0,57.5,1.0,2.0,851.1,1.0,2.0,112.8
2.0,4.0,24.0,1.0,4.0,46.8,1.0,4.0,37.4,1.0,3.0,60.7,1.0,3.0,994.4,1.0,3.0,159.1
2.0,5.0,226.2,1.0,5.0,283.7,1.0,5.0,166.5,1.0,5.0,167.1,1.0,4.0,1195.0,1.0,4.0,143.8
2.0,6.0,46.5,1.0,6.0,71.1,1.0,6.0,65.0,1.0,6.0,56.3,1.0,6.0,975.1,1.0,5.0,525.8
3.0,2.0,14.2,3.0,1.0,37.8,2.0,1.0,42.5,2.0,1.0,60.0,2.0,1.0,1141.0,2.0,1.0,165.4
3.0,4.0,19.8,3.0,4.0,34.3,2.0,4.0,29.8,2.0,3.0,41.5,2.0,3.0,1167.0,2.0,3.0,129.6
3.0,5.0,162.0,3.0,5.0,243.7,2.0,5.0,215.5,2.0,5.0,246.1,2.0,4.0,1395.0,2.0,4.0,133.9
3.0,6.0,37.6,3.0,6.0,46.5,2.0,6.0,40.0,2.0,6.0,49.2,2.0,6.0,1128.0,2.0,5.0,616.1
4.0,2.0,33.0,4.0,1.0,60.5,4.0,1.0,46.5,3.0,1.0,74.5,3.0,1.0,1304.0,3.0,1.0,194.6
4.0,3.0,32.4,4.0,3.0,43.8,4.0,2.0,32.9,3.0,2.0,52.9,3.0,2.0,1339.0,3.0,2.0,125.3
4.0,5.0,253.6,4.0,5.0,339.3,4.0,5.0,199.2,3.0,5.0,263.6,3.0,4.0,1339.0,3.0,4.0,157.1
4.0,6.0,53.0,4.0,6.0,62.3,4.0,6.0,46.3,3.0,6.0,53.9,3.0,6.0,1339.0,3.0,5.0,669.6
5.0,2.0,489.9,5.0,1.0,727.8,5.0,1.0,548.8,5.0,1.0,354.9,4.0,1.0,1339.0,4.0,1.0,125.0
5.0,3.0,369.2,5.0,3.0,687.9,5.0,2.0,587.3,5.0,2.0,473.7,4.0,2.0,1499.0,4.0,2.0,106.2
5.0,4.0,423.7,5.0,4.0,702.3,5.0,4.0,494.7,5.0,3.0,478.2,4.0,3.0,1181.0,4.0,3.0,125.8
5.0,6.0,590.8,5.0,6.0,692.6,5.0,6.0,480.5,5.0,6.0,258.8,4.0,6.0,1091.0,4.0,5.0,303.4
6.0,2.0,86.7,6.0,1.0,158.1,6.0,1.0,120.7,6.0,1.0,58.7,6.0,1.0,1620.0,5.0,1.0,858.4
6.0,3.0,65.2,6.0,3.0,95.4,6.0,2.0,62.2,6.0,2.0,51.0,6.0,2.0,1499.0,5.0,2.0,810.0
6.0,4.0,80.3,6.0,4.0,107.6,6.0,4.0,91.2,6.0,3.0,61.7,6.0,3.0,1414.0,5.0,3.0,896.7
6.0,5.0,376.1,6.0,5.0,502.2,6.0,5.0,374.7,6.0,5.0,148.3,6.0,4.0,1240.0,5.0,4.0,683.2
