1,江夏 満,江夏 満.1,2,森 弘行,森 弘行.1,3,熊本 英一,熊本 英一.1,4,堂原 洋史,堂原 洋史.1,5,山口 修路,山口 修路.1,6,花本 夏樹,花本 夏樹.1
2.0,3.0,13.2,1.0,3.0,154.1,1.0,2.0,101.0,1.0,2.0,356.5,1.0,2.0,171.8,1.0,2.0,166.6
2.0,4.0,29.5,1.0,4.0,245.8,1.0,4.0,93.5,1.0,3.0,238.0,1.0,3.0,120.4,1.0,3.0,150.4
2.0,5.0,17.7,1.0,5.0,296.8,1.0,5.0,63.2,1.0,5.0,200.6,1.0,4.0,191.0,1.0,4.0,226.3
2.0,6.0,13.1,1.0,6.0,187.2,1.0,6.0,113.9,1.0,6.0,287.4,1.0,6.0,136.7,1.0,5.0,153.1
3.0,2.0,15.0,3.0,1.0,352.2,2.0,1.0,256.0,2.0,1.0,762.6,2.0,1.0,441.0,2.0,1.0,458.2
3.0,4.0,21.4,3.0,4.0,736.8,2.0,4.0,473.7,2.0,3.0,1205.0,2.0,3.0,770.8,2.0,3.0,964.3
3.0,5.0,13.3,3.0,5.0,913.6,2.0,5.0,453.0,2.0,5.0,1280.0,2.0,4.0,1087.0,2.0,4.0,1471.0
3.0,6.0,13.7,3.0,6.0,1160.0,2.0,6.0,744.3,2.0,6.0,1471.0,2.0,6.0,995.3,2.0,5.0,955.8
4.0,2.0,48.3,4.0,1.0,779.1,4.0,1.0,132.9,3.0,1.0,278.5,3.0,1.0,182.7,3.0,1.0,353.6
4.0,3.0,36.5,4.0,3.0,1009.0,4.0,2.0,312.6,3.0,2.0,736.8,3.0,2.0,482.1,3.0,2.0,1028.0
4.0,5.0,37.9,4.0,5.0,1243.0,4.0,5.0,170.6,3.0,5.0,352.8,3.0,4.0,369.0,3.0,4.0,960.1
4.0,6.0,36.9,4.0,6.0,1561.0,4.0,6.0,381.0,3.0,6.0,718.5,3.0,6.0,439.2,3.0,5.0,637.2
5.0,2.0,28.4,5.0,1.0,688.8,5.0,1.0,104.6,5.0,1.0,309.0,4.0,1.0,394.8,4.0,1.0,681.2
5.0,3.0,23.1,5.0,3.0,1048.0,5.0,2.0,274.8,5.0,2.0,791.9,4.0,2.0,1082.0,4.0,2.0,1631.0
5.0,4.0,40.4,5.0,4.0,1287.0,5.0,4.0,186.9,5.0,3.0,432.2,4.0,3.0,578.6,4.0,3.0,1202.0
5.0,6.0,19.7,5.0,6.0,949.6,5.0,6.0,269.3,5.0,6.0,483.2,4.0,6.0,799.2,4.0,5.0,909.8
6.0,2.0,13.6,6.0,1.0,562.8,6.0,1.0,279.8,6.0,1.0,608.6,6.0,1.0,300.1,5.0,1.0,372.1
6.0,3.0,11.5,6.0,3.0,1331.0,6.0,2.0,772.1,6.0,2.0,1595.0,6.0,2.0,1033.0,5.0,2.0,1090.0
6.0,4.0,24.0,6.0,4.0,1437.0,6.0,4.0,629.8,6.0,3.0,1142.0,6.0,3.0,628.0,5.0,3.0,783.3
6.0,5.0,11.5,6.0,5.0,1107.0,6.0,5.0,446.9,6.0,5.0,728.1,6.0,4.0,859.3,5.0,4.0,925.3
