1,西山 貴浩,西山 貴浩.1,2,定松 勇樹,定松 勇樹.1,3,白神 優,白神 優.1,4,宮之原　輝紀,宮之原　輝紀.1,5,平本 真之,平本 真之.1,6,重成 一人,重成 一人.1
2.0,3.0,8.5,1.0,3.0,44.1,1.0,2.0,184.4,1.0,2.0,53.4,1.0,2.0,217.9,1.0,2.0,848.4
2.0,4.0,5.8,1.0,4.0,30.7,1.0,4.0,202.9,1.0,3.0,141.7,1.0,3.0,370.1,1.0,3.0,1410.0
2.0,5.0,13.6,1.0,5.0,53.3,1.0,5.0,275.7,1.0,5.0,68.3,1.0,4.0,249.9,1.0,4.0,1043.0
2.0,6.0,17.6,1.0,6.0,65.8,1.0,6.0,303.8,1.0,6.0,68.2,1.0,6.0,285.4,1.0,5.0,1639.0
3.0,2.0,17.7,3.0,1.0,147.5,2.0,1.0,309.9,2.0,1.0,98.7,2.0,1.0,408.4,2.0,1.0,1212.0
3.0,4.0,20.7,3.0,4.0,219.3,2.0,4.0,429.5,2.0,3.0,321.6,2.0,3.0,983.7,2.0,3.0,2581.0
3.0,5.0,34.6,3.0,5.0,298.3,2.0,5.0,591.1,2.0,5.0,180.1,2.0,4.0,590.4,2.0,4.0,1681.0
3.0,6.0,40.9,3.0,6.0,312.8,2.0,6.0,597.4,2.0,6.0,163.6,2.0,6.0,660.6,2.0,5.0,2191.0
4.0,2.0,9.3,4.0,1.0,84.9,4.0,1.0,416.6,3.0,1.0,392.9,3.0,1.0,944.4,3.0,1.0,2489.0
4.0,3.0,21.6,4.0,3.0,213.3,4.0,2.0,565.0,3.0,2.0,575.7,3.0,2.0,1489.0,3.0,2.0,3747.0
4.0,5.0,20.5,4.0,5.0,178.1,4.0,5.0,759.6,3.0,5.0,705.4,3.0,4.0,1683.0,3.0,4.0,3872.0
4.0,6.0,22.2,4.0,6.0,172.6,4.0,6.0,769.2,3.0,6.0,648.9,3.0,6.0,1712.0,3.0,5.0,4136.0
5.0,2.0,28.4,5.0,1.0,203.5,5.0,1.0,625.3,5.0,1.0,104.0,4.0,1.0,309.0,4.0,1.0,1131.0
5.0,3.0,50.9,5.0,3.0,459.2,5.0,2.0,1105.0,5.0,2.0,151.4,4.0,2.0,436.9,4.0,2.0,1476.0
5.0,4.0,40.3,5.0,4.0,334.2,5.0,4.0,1336.0,5.0,3.0,392.6,4.0,3.0,993.5,4.0,3.0,2953.0
5.0,6.0,56.7,5.0,6.0,395.2,5.0,6.0,1214.0,5.0,6.0,122.2,4.0,6.0,323.9,4.0,5.0,986.5
6.0,2.0,75.4,6.0,1.0,327.7,6.0,1.0,891.2,6.0,1.0,177.4,6.0,1.0,679.6,5.0,1.0,2002.0
6.0,3.0,126.7,6.0,3.0,695.2,6.0,2.0,1431.0,6.0,2.0,248.8,6.0,2.0,869.0,5.0,2.0,2270.0
6.0,4.0,90.3,6.0,4.0,501.0,6.0,4.0,1861.0,6.0,3.0,621.7,6.0,3.0,1550.0,5.0,3.0,3829.0
6.0,5.0,144.3,6.0,5.0,668.5,6.0,5.0,2032.0,6.0,5.0,218.0,6.0,4.0,562.7,5.0,4.0,1091.0
