1,庄司 孝輔,庄司 孝輔.1,2,吉武 真也,吉武 真也.1,3,若林 将,若林 将.1,4,牧 宏次,牧 宏次.1,5,森野 正弘,森野 正弘.1,6,中野 希一,中野 希一.1
2.0,3.0,32.9,1.0,3.0,143.3,1.0,2.0,40.0,1.0,2.0,454.5,1.0,2.0,70.5,1.0,2.0,1524.0
2.0,4.0,79.4,1.0,4.0,281.1,1.0,4.0,20.8,1.0,3.0,163.6,1.0,3.0,22.3,1.0,3.0,1078.0
2.0,5.0,46.9,1.0,5.0,188.6,1.0,5.0,8.7,1.0,5.0,176.1,1.0,4.0,66.4,1.0,4.0,1642.0
2.0,6.0,231.4,1.0,6.0,710.7,1.0,6.0,57.2,1.0,6.0,524.2,1.0,6.0,83.5,1.0,5.0,1269.0
3.0,2.0,20.0,3.0,1.0,201.8,2.0,1.0,117.1,2.0,1.0,720.1,2.0,1.0,198.3,2.0,1.0,2206.0
3.0,4.0,15.8,3.0,4.0,473.8,2.0,4.0,214.9,2.0,3.0,805.7,2.0,3.0,228.2,2.0,3.0,3216.0
3.0,5.0,6.0,3.0,5.0,261.5,2.0,5.0,121.8,2.0,5.0,907.9,2.0,4.0,495.4,2.0,4.0,2897.0
3.0,6.0,57.2,3.0,6.0,872.4,2.0,6.0,420.2,2.0,6.0,1671.0,2.0,6.0,564.7,2.0,5.0,2942.0
4.0,2.0,93.2,4.0,1.0,531.5,4.0,1.0,53.1,3.0,1.0,166.0,3.0,1.0,28.5,3.0,1.0,1360.0
4.0,3.0,41.7,4.0,3.0,817.9,4.0,2.0,161.5,3.0,2.0,473.8,3.0,2.0,112.5,3.0,2.0,3012.0
4.0,5.0,52.4,4.0,5.0,893.0,4.0,5.0,34.8,3.0,5.0,97.5,3.0,4.0,59.5,3.0,4.0,1833.0
4.0,6.0,213.4,4.0,6.0,1476.0,4.0,6.0,159.3,3.0,6.0,444.9,3.0,6.0,93.1,3.0,5.0,1153.0
5.0,2.0,38.8,5.0,1.0,379.5,5.0,1.0,15.4,5.0,1.0,200.8,4.0,1.0,154.2,4.0,1.0,2730.0
5.0,3.0,11.8,5.0,3.0,344.7,5.0,2.0,63.7,5.0,2.0,558.9,4.0,2.0,444.4,4.0,2.0,3036.0
5.0,4.0,39.2,5.0,4.0,854.7,5.0,4.0,28.2,5.0,3.0,133.5,4.0,3.0,119.5,4.0,3.0,2372.0
5.0,6.0,63.2,5.0,6.0,1286.0,5.0,6.0,55.6,5.0,6.0,500.0,4.0,6.0,360.7,4.0,5.0,2372.0
6.0,2.0,563.9,6.0,1.0,1976.0,6.0,1.0,316.0,6.0,1.0,1341.0,6.0,1.0,265.5,5.0,1.0,1506.0
6.0,3.0,308.8,6.0,3.0,2232.0,6.0,2.0,691.3,6.0,2.0,1897.0,6.0,2.0,630.4,5.0,2.0,2853.0
6.0,4.0,549.2,6.0,4.0,2464.0,6.0,4.0,478.6,6.0,3.0,1204.0,6.0,3.0,267.0,5.0,3.0,1045.0
6.0,5.0,365.9,6.0,5.0,2599.0,6.0,5.0,232.5,6.0,5.0,1022.0,6.0,4.0,586.5,5.0,4.0,2181.0
