1,赤峰 和也,赤峰 和也.1,2,宮武 英司,宮武 英司.1,3,溝口　海義也,溝口　海義也.1,4,石田 豪,石田 豪.1,5,角浜 修,角浜 修.1,6,池田 雷太,池田 雷太.1
2.0,3.0,9.2,1.0,3.0,14.5,1.0,2.0,13.7,1.0,2.0,233.0,1.0,2.0,713.3,1.0,2.0,488.4
2.0,4.0,27.1,1.0,4.0,41.5,1.0,4.0,24.7,1.0,3.0,176.2,1.0,3.0,437.5,1.0,3.0,535.0
2.0,5.0,79.8,1.0,5.0,92.4,1.0,5.0,48.0,1.0,5.0,426.4,1.0,4.0,643.2,1.0,4.0,1032.0
2.0,6.0,63.6,1.0,6.0,66.4,1.0,6.0,47.0,1.0,6.0,420.3,1.0,6.0,1079.0,1.0,5.0,1590.0
3.0,2.0,9.9,3.0,1.0,19.1,2.0,1.0,17.0,2.0,1.0,295.7,2.0,1.0,865.4,2.0,1.0,579.8
3.0,4.0,18.9,3.0,4.0,24.5,2.0,4.0,19.7,2.0,3.0,133.1,2.0,3.0,520.8,2.0,3.0,399.0
3.0,5.0,42.9,3.0,5.0,67.9,2.0,5.0,55.4,2.0,5.0,413.0,2.0,4.0,934.1,2.0,4.0,891.7
3.0,6.0,46.8,3.0,6.0,37.0,2.0,6.0,32.7,2.0,6.0,323.3,2.0,6.0,1131.0,2.0,5.0,1279.0
4.0,2.0,66.5,4.0,1.0,119.4,4.0,1.0,49.4,3.0,1.0,194.8,3.0,1.0,452.7,3.0,1.0,550.0
4.0,3.0,59.1,4.0,3.0,74.4,4.0,2.0,38.6,3.0,2.0,132.1,3.0,2.0,514.0,3.0,2.0,396.3
4.0,5.0,173.0,4.0,5.0,220.0,4.0,5.0,69.4,3.0,5.0,266.3,3.0,4.0,563.1,3.0,4.0,672.6
4.0,6.0,173.6,4.0,6.0,193.5,4.0,6.0,60.7,3.0,6.0,263.3,3.0,6.0,672.6,3.0,5.0,934.1
5.0,2.0,220.4,5.0,1.0,361.0,5.0,1.0,111.6,5.0,1.0,692.3,4.0,1.0,1279.0,4.0,1.0,1435.0
5.0,3.0,138.9,5.0,3.0,212.0,5.0,2.0,113.2,5.0,2.0,520.8,4.0,2.0,1089.0,4.0,2.0,1368.0
5.0,4.0,273.7,5.0,4.0,417.3,5.0,4.0,129.4,5.0,3.0,355.6,4.0,3.0,657.5,4.0,3.0,891.7
5.0,6.0,467.0,5.0,6.0,414.4,5.0,6.0,149.3,5.0,6.0,657.5,4.0,6.0,1188.0,4.0,5.0,1634.0
6.0,2.0,177.5,6.0,1.0,195.2,6.0,1.0,116.6,6.0,1.0,722.1,6.0,1.0,1634.0,5.0,1.0,1657.0
6.0,3.0,164.6,6.0,3.0,135.9,6.0,2.0,88.3,6.0,2.0,594.4,6.0,2.0,1528.0,5.0,2.0,1657.0
6.0,4.0,408.7,6.0,4.0,312.2,6.0,4.0,138.1,6.0,3.0,478.4,6.0,3.0,1032.0,5.0,3.0,1079.0
6.0,5.0,600.5,6.0,5.0,470.8,6.0,5.0,199.5,6.0,5.0,840.7,6.0,4.0,1528.0,5.0,4.0,1569.0
