1,峰重 力也,峰重 力也.1,2,日笠 勝弘,日笠 勝弘.1,3,粟田 祥,粟田 祥.1,4,齋藤 真之,齋藤 真之.1,5,出畑 孝成,出畑 孝成.1,6,永田 啓二,永田 啓二.1
2.0,3.0,14.3,1.0,3.0,51.4,1.0,2.0,128.7,1.0,2.0,144.8,1.0,2.0,791.0,1.0,2.0,16.0
2.0,4.0,20.2,1.0,4.0,41.7,1.0,4.0,187.1,1.0,3.0,330.3,1.0,3.0,918.3,1.0,3.0,32.0
2.0,5.0,108.2,1.0,5.0,226.2,1.0,5.0,347.3,1.0,5.0,531.2,1.0,4.0,976.3,1.0,4.0,41.7
2.0,6.0,7.8,1.0,6.0,17.0,1.0,6.0,88.1,1.0,6.0,100.1,1.0,6.0,469.1,1.0,5.0,129.4
3.0,2.0,36.7,3.0,1.0,109.7,2.0,1.0,198.8,2.0,1.0,201.4,2.0,1.0,1072.0,2.0,1.0,26.6
3.0,4.0,58.6,3.0,4.0,209.2,2.0,4.0,327.4,2.0,3.0,348.4,2.0,3.0,1337.0,2.0,3.0,68.1
3.0,5.0,161.9,3.0,5.0,364.8,2.0,5.0,558.6,2.0,5.0,820.9,2.0,4.0,1970.0,2.0,4.0,71.8
3.0,6.0,22.0,3.0,6.0,81.9,2.0,6.0,136.6,2.0,6.0,153.2,2.0,6.0,985.1,2.0,5.0,285.9
4.0,2.0,42.9,4.0,1.0,123.5,4.0,1.0,382.9,3.0,1.0,637.4,3.0,1.0,1165.0,3.0,1.0,79.8
4.0,3.0,84.5,4.0,3.0,223.9,4.0,2.0,455.3,3.0,2.0,588.9,3.0,2.0,1290.0,3.0,2.0,104.0
4.0,5.0,313.2,4.0,5.0,873.9,4.0,5.0,1117.0,3.0,5.0,967.5,3.0,4.0,1970.0,3.0,4.0,181.2
4.0,6.0,29.2,4.0,6.0,91.2,4.0,6.0,259.8,3.0,6.0,398.4,3.0,6.0,1570.0,3.0,5.0,541.8
5.0,2.0,268.2,5.0,1.0,428.3,5.0,1.0,763.1,5.0,1.0,860.0,4.0,1.0,1260.0,4.0,1.0,89.3
5.0,3.0,278.5,5.0,3.0,550.1,5.0,2.0,918.3,5.0,2.0,1190.0,4.0,2.0,1693.0,4.0,2.0,103.0
5.0,4.0,641.2,5.0,4.0,1371.0,5.0,4.0,1693.0,5.0,3.0,1072.0,4.0,3.0,1836.0,4.0,3.0,217.6
5.0,6.0,206.4,5.0,6.0,438.7,5.0,6.0,895.6,5.0,6.0,641.2,4.0,6.0,1444.0,4.0,5.0,372.4
6.0,2.0,9.7,6.0,1.0,28.4,6.0,1.0,103.4,6.0,1.0,113.7,6.0,1.0,477.3,5.0,1.0,283.6
6.0,3.0,16.6,6.0,3.0,61.5,6.0,2.0,132.1,6.0,2.0,140.5,6.0,2.0,840.0,5.0,2.0,395.5
6.0,4.0,20.3,6.0,4.0,61.0,6.0,4.0,190.1,6.0,3.0,305.2,6.0,3.0,1128.0,5.0,3.0,615.7
6.0,5.0,89.8,6.0,5.0,270.9,6.0,5.0,561.5,6.0,5.0,501.7,6.0,4.0,1042.0,5.0,4.0,471.1
