1,松田　大志郎,松田　大志郎.1,2,長尾 章平,長尾 章平.1,3,森永 隆,森永 隆.1,4,末永 由楽,末永 由楽.1,5,麻生 慎介,麻生 慎介.1,6,山ノ内　雅人,山ノ内　雅人.1
2.0,3.0,7.9,1.0,3.0,58.2,1.0,2.0,92.0,1.0,2.0,93.4,1.0,2.0,128.7,1.0,2.0,543.5
2.0,4.0,9.4,1.0,4.0,75.7,1.0,4.0,81.8,1.0,3.0,128.4,1.0,3.0,146.5,1.0,3.0,630.8
2.0,5.0,13.8,1.0,5.0,89.4,1.0,5.0,90.2,1.0,5.0,73.6,1.0,4.0,137.5,1.0,4.0,601.3
2.0,6.0,30.8,1.0,6.0,154.2,1.0,6.0,167.0,1.0,6.0,108.3,1.0,6.0,171.5,1.0,5.0,762.1
3.0,2.0,12.0,3.0,1.0,165.1,2.0,1.0,188.2,2.0,1.0,235.6,2.0,1.0,318.7,2.0,1.0,876.7
3.0,4.0,10.9,3.0,4.0,348.9,2.0,4.0,345.1,2.0,3.0,510.5,2.0,3.0,645.3,2.0,3.0,1586.0
3.0,5.0,14.2,3.0,5.0,386.4,2.0,5.0,373.8,2.0,5.0,382.9,2.0,4.0,632.1,2.0,4.0,1461.0
3.0,6.0,31.8,3.0,6.0,592.5,2.0,6.0,571.0,2.0,6.0,442.1,2.0,6.0,744.9,2.0,5.0,1802.0
4.0,2.0,15.0,4.0,1.0,233.4,4.0,1.0,205.8,3.0,1.0,273.4,3.0,1.0,341.5,3.0,1.0,903.2
4.0,3.0,18.0,4.0,3.0,410.6,4.0,2.0,389.8,3.0,2.0,510.3,3.0,2.0,744.3,3.0,2.0,1775.0
4.0,5.0,19.4,4.0,5.0,485.4,4.0,5.0,308.8,3.0,5.0,405.2,3.0,4.0,744.3,3.0,4.0,1276.0
4.0,6.0,33.5,4.0,6.0,601.7,4.0,6.0,441.3,3.0,6.0,491.8,3.0,6.0,787.3,3.0,5.0,1975.0
5.0,2.0,22.8,5.0,1.0,307.1,5.0,1.0,248.0,5.0,1.0,112.4,4.0,1.0,195.8,4.0,1.0,768.4
5.0,3.0,25.9,5.0,3.0,519.7,5.0,2.0,486.4,5.0,2.0,237.7,4.0,2.0,396.0,4.0,2.0,1325.0
5.0,4.0,34.4,5.0,4.0,642.2,5.0,4.0,424.1,5.0,3.0,320.5,4.0,3.0,593.6,4.0,3.0,1216.0
5.0,6.0,45.8,5.0,6.0,837.1,5.0,6.0,609.6,5.0,6.0,156.5,4.0,6.0,283.0,4.0,5.0,966.3
6.0,2.0,85.2,6.0,1.0,685.9,6.0,1.0,588.7,6.0,1.0,249.7,6.0,1.0,463.6,5.0,1.0,1027.0
6.0,3.0,94.7,6.0,3.0,1050.0,6.0,2.0,1220.0,6.0,2.0,466.1,6.0,2.0,929.5,5.0,2.0,1918.0
6.0,4.0,87.8,6.0,4.0,1036.0,6.0,4.0,1009.0,6.0,3.0,568.5,6.0,3.0,1128.0,5.0,3.0,2106.0
6.0,5.0,105.1,6.0,5.0,1285.0,6.0,5.0,1083.0,6.0,5.0,295.5,6.0,4.0,565.7,5.0,4.0,1029.0
