1,林 恵祐,林 恵祐.1,2,森岡 まき,森岡 まき.1,3,尾崎 雄二,尾崎 雄二.1,4,北中 元樹,北中 元樹.1,5,坂元 浩仁,坂元 浩仁.1,6,森 竜也,森 竜也.1
2.0,3.0,20.2,1.0,3.0,33.5,1.0,2.0,58.9,1.0,2.0,140.4,1.0,2.0,36.7,1.0,2.0,981.9
2.0,4.0,38.4,1.0,4.0,56.5,1.0,4.0,100.0,1.0,3.0,110.2,1.0,3.0,42.8,1.0,3.0,1276.0
2.0,5.0,15.9,1.0,5.0,27.0,1.0,5.0,43.5,1.0,5.0,58.7,1.0,4.0,76.3,1.0,4.0,1418.0
2.0,6.0,110.5,1.0,6.0,131.0,1.0,6.0,192.3,1.0,6.0,218.2,1.0,6.0,106.8,1.0,5.0,888.0
3.0,2.0,25.0,3.0,1.0,72.1,2.0,1.0,83.5,2.0,1.0,200.6,2.0,1.0,50.3,2.0,1.0,1674.0
3.0,4.0,33.9,3.0,4.0,105.1,2.0,4.0,126.5,2.0,3.0,184.0,2.0,3.0,58.2,2.0,3.0,1571.0
3.0,5.0,16.8,3.0,5.0,43.7,2.0,5.0,50.7,2.0,5.0,99.5,2.0,4.0,112.3,2.0,4.0,1963.0
3.0,6.0,118.2,3.0,6.0,134.5,2.0,6.0,193.4,2.0,6.0,402.0,2.0,6.0,119.1,2.0,5.0,895.8
4.0,2.0,62.4,4.0,1.0,145.2,4.0,1.0,152.8,3.0,1.0,187.7,3.0,1.0,71.1,3.0,1.0,1760.0
4.0,3.0,49.2,4.0,3.0,122.8,4.0,2.0,160.8,3.0,2.0,211.8,3.0,2.0,72.2,3.0,2.0,405.2
4.0,5.0,34.2,4.0,5.0,89.2,4.0,5.0,79.2,3.0,5.0,82.8,3.0,4.0,86.8,3.0,4.0,1524.0
4.0,6.0,180.4,4.0,6.0,392.7,4.0,6.0,322.1,3.0,6.0,323.1,3.0,6.0,157.1,3.0,5.0,920.0
5.0,2.0,21.0,5.0,1.0,49.7,5.0,1.0,52.6,5.0,1.0,79.7,4.0,1.0,99.6,4.0,1.0,2220.0
5.0,3.0,21.6,5.0,3.0,50.2,5.0,2.0,48.4,5.0,2.0,87.9,4.0,2.0,101.4,4.0,2.0,2375.0
5.0,4.0,41.9,5.0,4.0,86.6,5.0,4.0,75.4,5.0,3.0,65.5,4.0,3.0,79.2,4.0,3.0,405.2
5.0,6.0,76.5,5.0,6.0,118.3,5.0,6.0,145.2,5.0,6.0,111.1,4.0,6.0,120.7,4.0,5.0,773.6
6.0,2.0,317.1,6.0,1.0,540.3,6.0,1.0,561.1,6.0,1.0,470.6,6.0,1.0,199.4,5.0,1.0,810.5
6.0,3.0,322.1,6.0,3.0,646.3,6.0,2.0,529.1,6.0,2.0,529.1,6.0,2.0,194.8,5.0,2.0,704.3
6.0,4.0,429.1,6.0,4.0,1122.0,6.0,4.0,611.5,6.0,3.0,447.9,6.0,3.0,231.5,5.0,3.0,830.2
6.0,5.0,257.2,6.0,5.0,397.3,6.0,5.0,445.9,6.0,5.0,259.8,6.0,4.0,227.9,5.0,4.0,729.4
