1,石倉 洋行,石倉 洋行.1,2,奥平 拓也,奥平 拓也.1,3,樫葉 次郎,樫葉 次郎.1,4,藤丸 光一,藤丸 光一.1,5,坂井 康嗣,坂井 康嗣.1,6,熊本 英一,熊本 英一.1
2.0,3.0,16.9,1.0,3.0,90.9,1.0,2.0,139.1,1.0,2.0,37.7,1.0,2.0,162.2,1.0,2.0,859.1
2.0,4.0,9.0,1.0,4.0,63.4,1.0,4.0,104.1,1.0,3.0,56.5,1.0,3.0,194.3,1.0,3.0,1087.0
2.0,5.0,18.5,1.0,5.0,109.5,1.0,5.0,121.0,1.0,5.0,41.8,1.0,4.0,101.2,1.0,4.0,786.3
2.0,6.0,46.2,1.0,6.0,209.2,1.0,6.0,275.6,1.0,6.0,105.1,1.0,6.0,179.3,1.0,5.0,886.5
3.0,2.0,28.0,3.0,1.0,149.4,2.0,1.0,177.3,2.0,1.0,95.8,2.0,1.0,317.0,2.0,1.0,1338.0
3.0,4.0,17.8,3.0,4.0,182.6,2.0,4.0,200.5,2.0,3.0,210.8,2.0,3.0,575.1,2.0,3.0,1906.0
3.0,5.0,35.8,3.0,5.0,180.5,2.0,5.0,253.0,2.0,5.0,144.0,2.0,4.0,382.3,2.0,4.0,1637.0
3.0,6.0,73.3,3.0,6.0,285.2,2.0,6.0,378.2,2.0,6.0,232.7,2.0,6.0,543.6,2.0,5.0,1364.0
4.0,2.0,7.0,4.0,1.0,123.2,4.0,1.0,169.7,3.0,1.0,158.7,3.0,1.0,273.4,3.0,1.0,1831.0
4.0,3.0,12.1,4.0,3.0,227.0,4.0,2.0,353.2,3.0,2.0,318.4,3.0,2.0,659.6,3.0,2.0,1880.0
4.0,5.0,7.8,4.0,5.0,183.6,4.0,5.0,235.1,3.0,5.0,205.8,3.0,4.0,417.9,3.0,4.0,1761.0
4.0,6.0,29.3,4.0,6.0,406.9,4.0,6.0,463.9,3.0,6.0,478.2,3.0,6.0,521.2,3.0,5.0,1338.0
5.0,2.0,35.5,5.0,1.0,214.1,5.0,1.0,180.2,5.0,1.0,90.9,4.0,1.0,152.1,4.0,1.0,915.6
5.0,3.0,45.6,5.0,3.0,303.8,5.0,2.0,325.9,5.0,2.0,192.5,4.0,2.0,357.7,4.0,2.0,1420.0
5.0,4.0,19.8,5.0,4.0,249.8,5.0,4.0,223.7,5.0,3.0,195.7,4.0,3.0,376.1,4.0,3.0,1761.0
5.0,6.0,56.9,5.0,6.0,393.1,5.0,6.0,291.7,5.0,6.0,210.5,4.0,6.0,436.3,4.0,5.0,934.1
6.0,2.0,139.1,6.0,1.0,584.7,6.0,1.0,682.2,6.0,1.0,327.4,6.0,1.0,331.3,5.0,1.0,1122.0
6.0,3.0,189.3,6.0,3.0,864.4,6.0,2.0,886.5,6.0,2.0,641.3,6.0,2.0,568.0,5.0,2.0,1325.0
6.0,4.0,112.7,6.0,4.0,728.7,6.0,4.0,629.7,6.0,3.0,764.7,6.0,3.0,543.6,5.0,3.0,1364.0
6.0,5.0,148.6,6.0,5.0,744.2,6.0,5.0,500.6,6.0,5.0,446.0,6.0,4.0,463.9,5.0,4.0,1140.0
