1,高野 哲史,高野 哲史.1,2,宮地 秀祈,宮地 秀祈.1,3,胡本 悟志,胡本 悟志.1,4,坂野　さくら,坂野　さくら.1,5,木村 亮太,木村 亮太.1,6,國崎 良春,國崎 良春.1
2.0,3.0,17.1,1.0,3.0,300.4,1.0,2.0,542.1,1.0,2.0,111.2,1.0,2.0,203.2,1.0,2.0,170.5
2.0,4.0,15.2,1.0,4.0,321.1,1.0,4.0,489.9,1.0,3.0,192.9,1.0,3.0,374.9,1.0,3.0,318.9
2.0,5.0,10.8,1.0,5.0,318.9,1.0,5.0,575.6,1.0,5.0,63.7,1.0,4.0,162.4,1.0,4.0,123.6
2.0,6.0,11.2,1.0,6.0,256.5,1.0,6.0,467.5,1.0,6.0,44.5,1.0,6.0,110.3,1.0,5.0,133.5
3.0,2.0,22.9,3.0,1.0,774.6,2.0,1.0,705.4,2.0,1.0,326.1,2.0,1.0,499.2,2.0,1.0,356.3
3.0,4.0,27.9,3.0,4.0,1549.0,2.0,4.0,1128.0,2.0,3.0,861.1,2.0,3.0,1333.0,2.0,3.0,1254.0
3.0,5.0,24.1,3.0,5.0,1316.0,2.0,5.0,1201.0,2.0,5.0,412.5,2.0,4.0,885.2,2.0,4.0,932.2
3.0,6.0,24.1,3.0,6.0,1637.0,2.0,6.0,1259.0,2.0,6.0,311.6,2.0,6.0,513.0,2.0,5.0,885.2
4.0,2.0,17.5,4.0,1.0,726.5,4.0,1.0,900.4,3.0,1.0,578.8,3.0,1.0,1140.0,3.0,1.0,810.3
4.0,3.0,35.0,4.0,3.0,1736.0,4.0,2.0,1727.0,3.0,2.0,1086.0,3.0,2.0,1870.0,3.0,2.0,1699.0
4.0,5.0,19.5,4.0,5.0,1327.0,4.0,5.0,1775.0,3.0,5.0,861.1,3.0,4.0,1848.0,3.0,4.0,1620.0
4.0,6.0,12.9,4.0,6.0,1071.0,4.0,6.0,1541.0,3.0,6.0,639.7,3.0,6.0,1456.0,3.0,5.0,1826.0
5.0,2.0,20.4,5.0,1.0,702.3,5.0,1.0,1136.0,5.0,1.0,85.4,4.0,1.0,203.5,4.0,1.0,176.0
5.0,3.0,36.6,5.0,3.0,1805.0,5.0,2.0,1316.0,5.0,2.0,221.0,4.0,2.0,492.2,4.0,2.0,592.9
5.0,4.0,27.2,5.0,4.0,1620.0,5.0,4.0,1727.0,5.0,3.0,370.9,4.0,3.0,887.7,4.0,3.0,861.1
5.0,6.0,15.2,5.0,6.0,1249.0,5.0,6.0,1859.0,5.0,6.0,89.7,4.0,6.0,209.1,4.0,5.0,325.8
6.0,2.0,17.9,6.0,1.0,481.7,6.0,1.0,1012.0,6.0,1.0,67.0,6.0,1.0,164.8,5.0,1.0,233.0
6.0,3.0,38.6,6.0,3.0,1132.0,6.0,2.0,1423.0,6.0,2.0,215.5,6.0,2.0,461.3,5.0,2.0,718.2
6.0,4.0,19.0,6.0,4.0,1032.0,6.0,4.0,2149.0,6.0,3.0,292.9,6.0,3.0,734.9,5.0,3.0,1093.0
6.0,5.0,20.2,6.0,5.0,929.5,6.0,5.0,1987.0,6.0,5.0,104.0,6.0,4.0,264.9,5.0,4.0,378.0
