1,下河 雅史,下河 雅史.1,2,野長瀬　正孝,野長瀬　正孝.1,3,西村 歩,西村 歩.1,4,鈴木 秀茉,鈴木 秀茉.1,5,玄馬 徹,玄馬 徹.1,6,溝口　海義也,溝口　海義也.1
2.0,3.0,8.4,1.0,3.0,26.3,1.0,2.0,92.3,1.0,2.0,89.7,1.0,2.0,409.7,1.0,2.0,50.0
2.0,4.0,10.6,1.0,4.0,34.9,1.0,4.0,146.0,1.0,3.0,235.9,1.0,3.0,776.2,1.0,3.0,109.7
2.0,5.0,29.3,1.0,5.0,87.0,1.0,5.0,239.4,1.0,5.0,220.7,1.0,4.0,726.5,1.0,4.0,117.0
2.0,6.0,7.9,1.0,6.0,20.3,1.0,6.0,93.2,1.0,6.0,70.4,1.0,6.0,344.6,1.0,5.0,248.7
3.0,2.0,16.6,3.0,1.0,64.8,2.0,1.0,121.4,2.0,1.0,128.8,2.0,1.0,432.5,2.0,1.0,65.7
3.0,4.0,31.2,3.0,4.0,175.7,2.0,4.0,202.8,2.0,3.0,341.4,2.0,3.0,810.3,2.0,3.0,114.7
3.0,5.0,93.9,3.0,5.0,254.7,2.0,5.0,331.4,2.0,5.0,344.6,2.0,4.0,916.0,2.0,4.0,152.5
3.0,6.0,26.1,3.0,6.0,66.9,2.0,6.0,106.5,2.0,6.0,111.6,2.0,6.0,512.1,2.0,5.0,343.0
4.0,2.0,24.6,4.0,1.0,96.5,4.0,1.0,273.6,3.0,1.0,373.3,3.0,1.0,1189.0,3.0,1.0,204.8
4.0,3.0,55.6,4.0,3.0,199.3,4.0,2.0,279.8,3.0,2.0,436.3,3.0,2.0,1100.0,3.0,2.0,182.5
4.0,5.0,121.3,4.0,5.0,301.0,4.0,5.0,597.1,3.0,5.0,877.9,3.0,4.0,2020.0,3.0,4.0,438.9
4.0,6.0,33.6,4.0,6.0,97.7,4.0,6.0,238.6,3.0,6.0,327.7,3.0,6.0,1229.0,3.0,5.0,737.4
5.0,2.0,102.2,5.0,1.0,258.3,5.0,1.0,705.7,5.0,1.0,296.1,4.0,1.0,737.4,4.0,1.0,174.3
5.0,3.0,193.5,5.0,3.0,363.2,5.0,2.0,655.5,5.0,2.0,335.9,4.0,2.0,833.2,4.0,2.0,198.5
5.0,4.0,225.8,5.0,4.0,503.3,5.0,4.0,1017.0,5.0,3.0,715.9,4.0,3.0,1474.0,4.0,3.0,498.2
5.0,6.0,132.6,5.0,6.0,308.5,5.0,6.0,730.1,5.0,6.0,224.1,4.0,6.0,604.4,4.0,5.0,517.5
6.0,2.0,20.0,6.0,1.0,49.1,6.0,1.0,176.8,6.0,1.0,97.2,6.0,1.0,456.6,5.0,1.0,466.7
6.0,3.0,42.9,6.0,3.0,81.3,6.0,2.0,158.0,6.0,2.0,111.6,6.0,2.0,477.3,5.0,2.0,483.5
6.0,4.0,49.1,6.0,4.0,100.2,6.0,4.0,238.2,6.0,3.0,269.1,6.0,3.0,1003.0,5.0,3.0,945.4
6.0,5.0,116.8,6.0,5.0,252.9,6.0,5.0,485.1,6.0,5.0,232.6,6.0,4.0,726.5,5.0,4.0,624.9
