1,平池 仁志,平池 仁志.1,2,武井　莉里佳,武井　莉里佳.1,3,島田 賢人,島田 賢人.1,4,大賀 広幸,大賀 広幸.1,5,平瀬 城啓,平瀬 城啓.1,6,盛本 真輔,盛本 真輔.1
2.0,3.0,37.3,1.0,3.0,28.1,1.0,2.0,23.8,1.0,2.0,111.7,1.0,2.0,1063.0,1.0,2.0,971.2
2.0,4.0,49.7,1.0,4.0,36.6,1.0,4.0,12.9,1.0,3.0,48.1,1.0,3.0,924.5,1.0,3.0,745.2
2.0,5.0,190.2,1.0,5.0,172.1,1.0,5.0,79.2,1.0,5.0,249.8,1.0,4.0,1125.0,1.0,4.0,822.7
2.0,6.0,148.0,1.0,6.0,114.3,1.0,6.0,43.1,1.0,6.0,127.9,1.0,6.0,1438.0,1.0,5.0,2299.0
3.0,2.0,27.2,3.0,1.0,32.4,2.0,1.0,32.8,2.0,1.0,125.0,2.0,1.0,1130.0,2.0,1.0,960.8
3.0,4.0,17.8,3.0,4.0,17.7,2.0,4.0,16.7,2.0,3.0,57.0,2.0,3.0,887.9,2.0,3.0,528.5
3.0,5.0,120.2,3.0,5.0,82.8,2.0,5.0,95.5,2.0,5.0,255.9,2.0,4.0,1030.0,2.0,4.0,581.0
3.0,6.0,60.7,3.0,6.0,43.9,2.0,6.0,37.4,2.0,6.0,119.7,2.0,6.0,1130.0,2.0,5.0,1830.0
4.0,2.0,61.4,4.0,1.0,57.5,4.0,1.0,13.4,3.0,1.0,43.0,3.0,1.0,978.3,3.0,1.0,645.1
4.0,3.0,29.3,4.0,3.0,28.5,4.0,2.0,14.4,3.0,2.0,48.2,3.0,2.0,964.3,3.0,2.0,502.8
4.0,5.0,215.4,4.0,5.0,126.3,4.0,5.0,53.3,3.0,5.0,155.9,3.0,4.0,851.4,3.0,4.0,359.6
4.0,6.0,85.0,4.0,6.0,69.5,4.0,6.0,19.1,3.0,6.0,58.5,3.0,6.0,1478.0,3.0,5.0,2260.0
5.0,2.0,436.0,5.0,1.0,408.2,5.0,1.0,228.5,5.0,1.0,365.0,4.0,1.0,1038.0,4.0,1.0,908.9
5.0,3.0,387.6,5.0,3.0,231.3,5.0,2.0,215.4,5.0,2.0,400.3,4.0,2.0,1116.0,4.0,2.0,675.9
5.0,4.0,566.4,5.0,4.0,296.3,5.0,4.0,181.2,5.0,3.0,327.3,4.0,3.0,924.5,4.0,3.0,427.7
5.0,6.0,825.2,5.0,6.0,513.4,5.0,6.0,277.0,5.0,6.0,367.5,4.0,6.0,1386.0,4.0,5.0,2135.0
6.0,2.0,375.7,6.0,1.0,288.9,6.0,1.0,125.4,6.0,1.0,212.6,6.0,1.0,2187.0,5.0,1.0,2445.0
6.0,3.0,242.1,6.0,3.0,155.0,6.0,2.0,96.5,6.0,2.0,193.6,6.0,2.0,1908.0,5.0,2.0,2562.0
6.0,4.0,332.1,6.0,4.0,180.3,6.0,4.0,69.4,6.0,3.0,147.8,6.0,3.0,1747.0,5.0,3.0,2802.0
6.0,5.0,893.8,6.0,5.0,579.8,6.0,5.0,271.7,6.0,5.0,380.5,6.0,4.0,1881.0,5.0,4.0,2468.0
