1,松田　大志郎,松田　大志郎.1,2,渡 修平,渡 修平.1,3,竹下 大樹,竹下 大樹.1,4,川上 剛,川上 剛.1,5,竹田 吉行,竹田 吉行.1,6,川北 浩貴,川北 浩貴.1
2.0,3.0,33.7,1.0,3.0,417.9,1.0,2.0,122.6,1.0,2.0,180.3,1.0,2.0,803.0,1.0,2.0,824.7
2.0,4.0,39.3,1.0,4.0,488.7,1.0,4.0,19.9,1.0,3.0,56.5,1.0,3.0,318.7,1.0,3.0,309.3
2.0,5.0,82.0,1.0,5.0,894.6,1.0,5.0,36.2,1.0,5.0,102.8,1.0,4.0,417.4,1.0,4.0,262.8
2.0,6.0,90.8,1.0,6.0,913.3,1.0,6.0,31.7,1.0,6.0,61.5,1.0,6.0,435.2,1.0,5.0,531.2
3.0,2.0,20.8,3.0,1.0,718.2,2.0,1.0,427.9,2.0,1.0,640.1,2.0,1.0,1553.0,2.0,1.0,1738.0
3.0,4.0,4.9,3.0,4.0,1507.0,2.0,4.0,566.6,2.0,3.0,1112.0,2.0,3.0,2637.0,2.0,3.0,2317.0
3.0,5.0,11.4,3.0,5.0,2026.0,2.0,5.0,751.7,2.0,5.0,1181.0,2.0,4.0,2549.0,2.0,4.0,2731.0
3.0,6.0,10.6,3.0,6.0,1900.0,2.0,6.0,652.3,2.0,6.0,884.3,2.0,6.0,2487.0,2.0,5.0,2833.0
4.0,2.0,27.0,4.0,1.0,899.9,4.0,1.0,41.6,3.0,1.0,78.2,3.0,1.0,368.2,3.0,1.0,446.0
4.0,3.0,8.1,4.0,3.0,1748.0,4.0,2.0,296.4,3.0,2.0,515.1,3.0,2.0,1888.0,3.0,2.0,1810.0
4.0,5.0,19.6,4.0,5.0,2283.0,4.0,5.0,89.1,3.0,5.0,185.6,3.0,4.0,842.9,3.0,4.0,672.4
4.0,6.0,13.2,4.0,6.0,2317.0,4.0,6.0,66.1,3.0,6.0,129.4,3.0,6.0,770.7,3.0,5.0,1233.0
5.0,2.0,102.3,5.0,1.0,2233.0,5.0,1.0,139.0,5.0,1.0,235.0,4.0,1.0,523.0,4.0,1.0,331.1
5.0,3.0,42.6,5.0,3.0,3437.0,5.0,2.0,733.7,5.0,2.0,859.4,4.0,2.0,2371.0,4.0,2.0,2266.0
5.0,4.0,55.7,5.0,4.0,4134.0,5.0,4.0,216.3,5.0,3.0,451.2,4.0,3.0,971.3,4.0,3.0,739.0
5.0,6.0,59.4,5.0,6.0,3476.0,5.0,6.0,231.2,5.0,6.0,300.8,4.0,6.0,755.4,4.0,5.0,944.3
6.0,2.0,111.1,6.0,1.0,1618.0,6.0,1.0,111.5,6.0,1.0,134.4,6.0,1.0,666.6,5.0,1.0,916.0
6.0,3.0,37.8,6.0,3.0,2833.0,6.0,2.0,703.3,6.0,2.0,740.8,6.0,2.0,2039.0,5.0,2.0,2999.0
6.0,4.0,35.9,6.0,4.0,3557.0,6.0,4.0,158.7,6.0,3.0,245.7,6.0,3.0,1163.0,5.0,3.0,1618.0
6.0,5.0,66.8,6.0,5.0,3686.0,6.0,5.0,250.3,6.0,5.0,344.1,6.0,4.0,962.1,5.0,4.0,1259.0
