1,青木　幸太郎,青木　幸太郎.1,2,藤丸 光一,藤丸 光一.1,3,宮地 秀祈,宮地 秀祈.1,4,井川 大作,井川 大作.1,5,下田 哲也,下田 哲也.1,6,森安 弘雅,森安 弘雅.1
2,3,7.5,1,3,39.9,1,2,85.3,1,2,欠場,1,2,38.9,1,2,144.3
2,4,欠場,1,4,欠場,1,4,欠場,1,3,欠場,1,3,58.2,1,3,233.6
2,5,6.4,1,5,29.6,1,5,63.6,1,5,欠場,1,4,欠場,1,4,欠場
2,6,12.1,1,6,47.7,1,6,112.1,1,6,欠場,1,6,39.7,1,5,142.5
3,2,12.9,3,1,112.8,2,1,167.9,2,1,欠場,2,1,76.6,2,1,233.9
3,4,欠場,3,4,欠場,2,4,欠場,2,3,欠場,2,3,175.6,2,3,465.3
3,5,10.5,3,5,175.0,2,5,245.6,2,5,欠場,2,4,欠場,2,4,欠場
3,6,19.5,3,6,267.1,2,6,325.0,2,6,欠場,2,6,106.9,2,5,298.7
4,2,欠場,4,1,欠場,4,1,欠場,3,1,欠場,3,1,115.4,3,1,425.6
4,3,欠場,4,3,欠場,4,2,欠場,3,2,欠場,3,2,228.4,3,2,596.4
4,5,欠場,4,5,欠場,4,5,欠場,3,5,欠場,3,4,欠場,3,4,欠場
4,6,欠場,4,6,欠場,4,6,欠場,3,6,欠場,3,6,204.0,3,5,533.4
5,2,10.4,5,1,71.3,5,1,111.3,5,1,欠場,4,1,欠場,4,1,欠場
5,3,15.5,5,3,172.8,5,2,210.9,5,2,欠場,4,2,欠場,4,2,欠場
5,4,欠場,5,4,欠場,5,4,欠場,5,3,欠場,4,3,欠場,4,3,欠場
5,6,13.3,5,6,143.2,5,6,174.3,5,6,欠場,4,6,欠場,4,5,欠場
6,2,28.0,6,1,155.8,6,1,255.0,6,1,欠場,6,1,64.7,5,1,166.6
6,3,43.8,6,3,352.6,6,2,462.9,6,2,欠場,6,2,91.0,5,2,229.3
6,4,欠場,6,4,欠場,6,4,欠場,6,3,欠場,6,3,160.7,5,3,375.0
6,5,27.3,6,5,228.9,6,5,308.1,6,5,欠場,6,4,欠場,5,4,欠場
