1,梶山 涼斗,梶山 涼斗.1,2,筒井 美琴,筒井 美琴.1,3,品田 直樹,品田 直樹.1,4,今坂 晃広,今坂 晃広.1,5,松山 将吾,松山 将吾.1,6,宮本 裕之,宮本 裕之.1
2.0,3.0,58.6,1.0,3.0,344.4,1.0,2.0,197.9,1.0,2.0,413.7,1.0,2.0,84.8,1.0,2.0,1954.0
2.0,4.0,81.4,1.0,4.0,344.4,1.0,4.0,41.0,1.0,3.0,113.9,1.0,3.0,20.5,1.0,3.0,1086.0
2.0,5.0,35.7,1.0,5.0,276.2,1.0,5.0,20.5,1.0,5.0,67.2,1.0,4.0,32.6,1.0,4.0,1325.0
2.0,6.0,183.5,1.0,6.0,744.6,1.0,6.0,136.7,1.0,6.0,243.5,1.0,6.0,52.5,1.0,5.0,562.5
3.0,2.0,48.5,3.0,1.0,583.5,2.0,1.0,309.0,2.0,1.0,554.5,2.0,1.0,293.9,2.0,1.0,2606.0
3.0,4.0,16.9,3.0,4.0,859.2,2.0,4.0,528.3,2.0,3.0,1002.0,2.0,3.0,407.2,2.0,3.0,3127.0
3.0,5.0,7.4,3.0,5.0,579.2,2.0,5.0,300.7,2.0,5.0,596.8,2.0,4.0,566.6,2.0,4.0,4115.0
3.0,6.0,37.4,3.0,6.0,1421.0,2.0,6.0,744.6,2.0,6.0,888.5,2.0,6.0,630.5,2.0,5.0,2522.0
4.0,2.0,95.2,4.0,1.0,668.3,4.0,1.0,72.4,3.0,1.0,121.6,3.0,1.0,37.2,3.0,1.0,1396.0
4.0,3.0,26.3,4.0,3.0,942.0,4.0,2.0,383.2,3.0,2.0,737.6,3.0,2.0,226.6,3.0,2.0,2792.0
4.0,5.0,17.0,4.0,5.0,766.5,4.0,5.0,53.1,3.0,5.0,95.0,3.0,4.0,58.5,3.0,4.0,1954.0
4.0,6.0,67.1,4.0,6.0,1503.0,4.0,6.0,175.7,3.0,6.0,291.7,3.0,6.0,108.9,3.0,5.0,849.9
5.0,2.0,30.6,5.0,1.0,422.6,5.0,1.0,26.9,5.0,1.0,55.6,4.0,1.0,59.3,4.0,1.0,1261.0
5.0,3.0,8.2,5.0,3.0,468.2,5.0,2.0,188.8,5.0,2.0,370.5,4.0,2.0,319.1,4.0,2.0,3399.0
5.0,4.0,14.1,5.0,4.0,717.3,5.0,4.0,36.9,5.0,3.0,73.4,4.0,3.0,75.0,4.0,3.0,1954.0
5.0,6.0,29.6,5.0,6.0,909.2,5.0,6.0,84.9,5.0,6.0,104.5,4.0,6.0,97.4,4.0,5.0,942.0
6.0,2.0,339.9,6.0,1.0,1371.0,6.0,1.0,300.7,6.0,1.0,358.6,6.0,1.0,158.9,5.0,1.0,558.5
6.0,3.0,120.8,6.0,3.0,2234.0,6.0,2.0,814.5,6.0,2.0,679.9,6.0,2.0,521.2,5.0,2.0,2606.0
6.0,4.0,227.9,6.0,4.0,1954.0,6.0,4.0,457.2,6.0,3.0,482.6,6.0,3.0,205.2,5.0,3.0,774.1
6.0,5.0,95.3,6.0,5.0,1954.0,6.0,5.0,278.2,6.0,5.0,315.2,6.0,4.0,234.8,5.0,4.0,751.8
