1,小野 生奈,小野 生奈.1,2,白石 有美,白石 有美.1,3,川野 芽唯,川野 芽唯.1,4,稲生 夏季,稲生 夏季.1,5,深川　麻奈美,深川　麻奈美.1,6,仁科　さやか,仁科　さやか.1
2.0,3.0,60.7,1.0,3.0,376.1,1.0,2.0,64.1,1.0,2.0,510.8,1.0,2.0,362.6,1.0,2.0,3083.0
2.0,4.0,138.0,1.0,4.0,652.8,1.0,4.0,12.8,1.0,3.0,102.6,1.0,3.0,61.0,1.0,3.0,2408.0
2.0,5.0,131.2,1.0,5.0,678.5,1.0,5.0,9.2,1.0,5.0,133.6,1.0,4.0,142.0,1.0,4.0,4488.0
2.0,6.0,323.9,1.0,6.0,1347.0,1.0,6.0,104.4,1.0,6.0,548.5,1.0,6.0,368.4,1.0,5.0,3417.0
3.0,2.0,26.8,3.0,1.0,512.9,2.0,1.0,270.7,2.0,1.0,746.6,2.0,1.0,889.3,2.0,1.0,3850.0
3.0,4.0,4.9,3.0,4.0,1179.0,2.0,4.0,517.1,2.0,3.0,1253.0,2.0,3.0,1140.0,2.0,3.0,4894.0
3.0,5.0,3.5,3.0,5.0,1221.0,2.0,5.0,466.2,2.0,5.0,1033.0,2.0,4.0,1262.0,2.0,4.0,4925.0
3.0,6.0,55.0,3.0,6.0,2768.0,2.0,6.0,1139.0,2.0,6.0,1330.0,2.0,6.0,1649.0,2.0,5.0,5125.0
4.0,2.0,117.9,4.0,1.0,1125.0,4.0,1.0,34.3,3.0,1.0,116.2,3.0,1.0,74.2,3.0,1.0,2393.0
4.0,3.0,20.1,4.0,3.0,1607.0,4.0,2.0,245.5,3.0,2.0,732.2,3.0,2.0,583.0,3.0,2.0,5835.0
4.0,5.0,32.9,4.0,5.0,2022.0,4.0,5.0,39.7,3.0,5.0,146.9,3.0,4.0,159.2,3.0,4.0,3755.0
4.0,6.0,196.7,4.0,6.0,2487.0,4.0,6.0,236.1,3.0,6.0,587.1,3.0,6.0,513.6,3.0,5.0,3417.0
5.0,2.0,99.4,5.0,1.0,956.6,5.0,1.0,23.3,5.0,1.0,174.3,4.0,1.0,234.8,4.0,1.0,5497.0
5.0,3.0,10.6,5.0,3.0,1663.0,5.0,2.0,197.9,5.0,2.0,685.2,4.0,2.0,1020.0,4.0,2.0,4801.0
5.0,4.0,27.8,5.0,4.0,1906.0,5.0,4.0,42.6,5.0,3.0,186.9,4.0,3.0,225.3,4.0,3.0,5195.0
5.0,6.0,134.8,5.0,6.0,3096.0,5.0,6.0,189.9,5.0,6.0,537.6,4.0,6.0,727.3,4.0,5.0,4654.0
6.0,2.0,620.2,6.0,1.0,1915.0,6.0,1.0,518.5,6.0,1.0,1600.0,6.0,1.0,992.9,5.0,1.0,3718.0
6.0,3.0,324.4,6.0,3.0,3831.0,6.0,2.0,1366.0,6.0,2.0,2055.0,6.0,2.0,2393.0,5.0,2.0,5537.0
6.0,4.0,639.6,6.0,4.0,2719.0,6.0,4.0,948.2,6.0,3.0,1682.0,6.0,3.0,1032.0,5.0,3.0,3187.0
6.0,5.0,519.9,6.0,5.0,3736.0,6.0,5.0,698.5,6.0,5.0,1239.0,6.0,4.0,1211.0,5.0,4.0,4100.0
