1,中村 有裕,中村 有裕.1,2,中岡 正彦,中岡 正彦.1,3,花田 凱成,花田 凱成.1,4,木場　雄二郎,木場　雄二郎.1,5,前原 大道,前原 大道.1,6,岡本 慎治,岡本 慎治.1
2.0,3.0,23.0,1.0,3.0,44.4,1.0,2.0,261.2,1.0,2.0,124.2,1.0,2.0,41.7,1.0,2.0,1042.0
2.0,4.0,7.7,1.0,4.0,16.8,1.0,4.0,461.7,1.0,3.0,528.3,1.0,3.0,259.4,1.0,3.0,3617.0
2.0,5.0,5.0,1.0,5.0,8.9,1.0,5.0,340.1,1.0,5.0,79.7,1.0,4.0,97.9,1.0,4.0,1996.0
2.0,6.0,25.4,1.0,6.0,38.4,1.0,6.0,732.1,1.0,6.0,246.9,1.0,6.0,104.0,1.0,5.0,1156.0
3.0,2.0,57.9,3.0,1.0,168.7,2.0,1.0,373.1,2.0,1.0,167.2,2.0,1.0,55.7,2.0,1.0,1164.0
3.0,4.0,90.2,3.0,4.0,268.3,2.0,4.0,742.7,2.0,3.0,883.6,2.0,3.0,358.3,2.0,3.0,3014.0
3.0,5.0,70.3,3.0,5.0,196.8,2.0,5.0,488.8,2.0,5.0,152.0,2.0,4.0,163.1,2.0,4.0,1671.0
3.0,6.0,200.9,3.0,6.0,481.9,2.0,6.0,982.4,2.0,6.0,331.3,2.0,6.0,140.6,2.0,5.0,1075.0
4.0,2.0,22.9,4.0,1.0,75.6,4.0,1.0,976.2,3.0,1.0,1270.0,3.0,1.0,700.4,3.0,1.0,4959.0
4.0,3.0,91.5,4.0,3.0,244.8,4.0,2.0,1042.0,3.0,2.0,1250.0,3.0,2.0,748.1,3.0,2.0,3575.0
4.0,5.0,25.6,4.0,5.0,82.2,4.0,5.0,1038.0,3.0,5.0,1265.0,3.0,4.0,1423.0,3.0,4.0,5125.0
4.0,6.0,74.0,4.0,6.0,193.7,4.0,6.0,1372.0,3.0,6.0,1627.0,3.0,6.0,979.3,3.0,5.0,4730.0
5.0,2.0,11.0,5.0,1.0,26.0,5.0,1.0,720.1,5.0,1.0,113.4,4.0,1.0,170.5,4.0,1.0,2650.0
5.0,3.0,59.9,5.0,3.0,141.6,5.0,2.0,672.8,5.0,2.0,150.4,4.0,2.0,205.8,4.0,2.0,1819.0
5.0,4.0,26.0,5.0,4.0,69.8,5.0,4.0,1122.0,5.0,3.0,784.4,4.0,3.0,937.5,4.0,3.0,5491.0
5.0,6.0,36.5,5.0,6.0,82.8,5.0,6.0,1094.0,5.0,6.0,212.8,4.0,6.0,278.5,4.0,5.0,1560.0
6.0,2.0,137.2,6.0,1.0,260.3,6.0,1.0,2562.0,6.0,1.0,733.9,6.0,1.0,300.8,5.0,1.0,1336.0
6.0,3.0,414.4,6.0,3.0,782.4,6.0,2.0,2023.0,6.0,2.0,662.7,6.0,2.0,314.4,5.0,2.0,1220.0
6.0,4.0,267.6,6.0,4.0,500.0,6.0,4.0,2261.0,6.0,3.0,1653.0,6.0,3.0,1114.0,5.0,3.0,4155.0
6.0,5.0,162.4,6.0,5.0,263.5,6.0,5.0,1680.0,6.0,5.0,530.1,6.0,4.0,536.6,5.0,4.0,1593.0
