1,水口 由紀,水口 由紀.1,2,土屋　実沙希,土屋　実沙希.1,3,平高 奈菜,平高 奈菜.1,4,小池 礼乃,小池 礼乃.1,5,橋谷田　佳織,橋谷田　佳織.1,6,向井 美鈴,向井 美鈴.1
2.0,3.0,12.0,1.0,3.0,10.7,1.0,2.0,16.7,1.0,2.0,95.1,1.0,2.0,1812.0,1.0,2.0,414.6
2.0,4.0,31.9,1.0,4.0,28.3,1.0,4.0,28.2,1.0,3.0,86.0,1.0,3.0,1343.0,1.0,3.0,296.8
2.0,5.0,182.4,1.0,5.0,174.9,1.0,5.0,118.5,1.0,5.0,279.6,1.0,4.0,1951.0,1.0,4.0,647.2
2.0,6.0,56.5,1.0,6.0,50.2,1.0,6.0,32.5,1.0,6.0,133.4,1.0,6.0,2214.0,1.0,5.0,1594.0
3.0,2.0,11.3,3.0,1.0,15.1,2.0,1.0,19.1,2.0,1.0,109.0,2.0,1.0,2560.0,2.0,1.0,468.2
3.0,4.0,20.2,3.0,4.0,24.2,2.0,4.0,28.3,2.0,3.0,80.7,2.0,3.0,1862.0,2.0,3.0,297.3
3.0,5.0,107.6,3.0,5.0,145.0,2.0,5.0,143.6,2.0,5.0,389.0,2.0,4.0,3012.0,2.0,4.0,505.8
3.0,6.0,28.7,3.0,6.0,32.6,2.0,6.0,33.9,2.0,6.0,133.3,2.0,6.0,2382.0,2.0,5.0,1845.0
4.0,2.0,57.6,4.0,1.0,59.6,4.0,1.0,45.3,3.0,1.0,89.6,3.0,1.0,1452.0,3.0,1.0,291.4
4.0,3.0,48.2,4.0,3.0,44.6,4.0,2.0,40.0,3.0,2.0,75.4,3.0,2.0,2048.0,3.0,2.0,269.0
4.0,5.0,282.9,4.0,5.0,318.3,4.0,5.0,174.8,3.0,5.0,318.3,3.0,4.0,2354.0,3.0,4.0,371.1
4.0,6.0,102.9,4.0,6.0,91.4,4.0,6.0,52.0,3.0,6.0,101.7,3.0,6.0,2424.0,3.0,5.0,1230.0
5.0,2.0,543.3,5.0,1.0,658.7,5.0,1.0,402.0,5.0,1.0,505.8,4.0,1.0,2156.0,4.0,1.0,626.4
5.0,3.0,429.0,5.0,3.0,617.9,5.0,2.0,467.1,5.0,2.0,625.5,4.0,2.0,2731.0,4.0,2.0,530.7
5.0,4.0,715.0,5.0,4.0,1053.0,5.0,4.0,550.6,5.0,3.0,557.4,4.0,3.0,2468.0,4.0,3.0,468.2
5.0,6.0,831.0,5.0,6.0,883.0,5.0,6.0,425.4,5.0,6.0,444.3,4.0,6.0,2226.0,4.0,5.0,1370.0
6.0,2.0,154.9,6.0,1.0,146.5,6.0,1.0,72.8,6.0,1.0,174.0,6.0,1.0,3151.0,5.0,1.0,2825.0
6.0,3.0,113.6,6.0,3.0,104.8,6.0,2.0,68.0,6.0,2.0,168.6,6.0,2.0,2968.0,5.0,2.0,2845.0
6.0,4.0,228.0,6.0,4.0,169.7,6.0,4.0,100.6,6.0,3.0,145.8,6.0,3.0,2593.0,5.0,3.0,2396.0
6.0,5.0,682.8,6.0,5.0,659.7,6.0,5.0,300.1,6.0,5.0,367.4,6.0,4.0,2643.0,5.0,4.0,2251.0
