1,山崎 郡,山崎 郡.1,2,柳沢 一,柳沢 一.1,3,毒島 誠,毒島 誠.1,4,重成 一人,重成 一人.1,5,佐藤 翼,佐藤 翼.1,6,新開 航,新開 航.1
2.0,3.0,7.2,1.0,3.0,38.0,1.0,2.0,33.6,1.0,2.0,455.6,1.0,2.0,131.2,1.0,2.0,718.8
2.0,4.0,19.6,1.0,4.0,88.5,1.0,4.0,54.2,1.0,3.0,343.5,1.0,3.0,87.2,1.0,3.0,650.6
2.0,5.0,11.9,1.0,5.0,47.1,1.0,5.0,25.7,1.0,5.0,398.1,1.0,4.0,320.0,1.0,4.0,1238.0
2.0,6.0,33.1,1.0,6.0,118.1,1.0,6.0,59.7,1.0,6.0,587.5,1.0,6.0,191.1,1.0,5.0,1077.0
3.0,2.0,7.8,3.0,1.0,88.8,2.0,1.0,88.1,2.0,1.0,747.2,2.0,1.0,298.4,2.0,1.0,981.3
3.0,4.0,14.8,3.0,4.0,288.9,2.0,4.0,226.1,2.0,3.0,1028.0,2.0,3.0,377.8,2.0,3.0,1819.0
3.0,5.0,8.2,3.0,5.0,165.4,2.0,5.0,136.7,2.0,5.0,1139.0,2.0,4.0,892.4,2.0,4.0,2815.0
3.0,6.0,20.3,3.0,6.0,330.3,2.0,6.0,222.5,2.0,6.0,1248.0,2.0,6.0,554.5,2.0,5.0,2200.0
4.0,2.0,43.9,4.0,1.0,310.5,4.0,1.0,156.3,3.0,1.0,513.0,3.0,1.0,137.0,3.0,1.0,807.1
4.0,3.0,38.8,4.0,3.0,526.1,4.0,2.0,257.3,3.0,2.0,959.4,3.0,2.0,325.3,3.0,2.0,1468.0
4.0,5.0,60.6,4.0,5.0,576.8,4.0,5.0,190.4,3.0,5.0,770.3,3.0,4.0,617.5,3.0,4.0,1689.0
4.0,6.0,89.3,4.0,6.0,879.2,4.0,6.0,271.2,3.0,6.0,991.6,3.0,6.0,408.4,3.0,5.0,1194.0
5.0,2.0,20.4,5.0,1.0,151.3,5.0,1.0,62.1,5.0,1.0,561.7,4.0,1.0,780.5,4.0,1.0,1962.0
5.0,3.0,18.6,5.0,3.0,193.3,5.0,2.0,135.6,5.0,2.0,983.3,4.0,2.0,1222.0,4.0,2.0,3111.0
5.0,4.0,68.2,5.0,4.0,563.1,5.0,4.0,203.0,5.0,3.0,752.0,4.0,3.0,967.3,4.0,3.0,2672.0
5.0,6.0,53.4,5.0,6.0,553.8,5.0,6.0,159.6,5.0,6.0,871.1,4.0,6.0,1077.0,4.0,5.0,3032.0
6.0,2.0,110.2,6.0,1.0,491.6,6.0,1.0,238.2,6.0,1.0,1062.0,6.0,1.0,439.6,5.0,1.0,1328.0
6.0,3.0,86.8,6.0,3.0,1000.0,6.0,2.0,455.2,6.0,2.0,1677.0,6.0,2.0,688.5,5.0,2.0,1915.0
6.0,4.0,173.5,6.0,4.0,1455.0,6.0,4.0,433.5,6.0,3.0,1525.0,6.0,3.0,518.6,5.0,3.0,1170.0
6.0,5.0,123.2,6.0,5.0,1077.0,6.0,5.0,352.7,6.0,5.0,1561.0,6.0,4.0,909.6,5.0,4.0,2672.0
