1,中岡 健人,中岡 健人.1,2,谷口 健一,谷口 健一.1,3,木山 誠一,木山 誠一.1,4,嘉手苅　徹哉,嘉手苅　徹哉.1,5,井川 大作,井川 大作.1,6,桐本 康臣,桐本 康臣.1
2.0,3.0,15.3,1.0,3.0,53.5,1.0,2.0,53.5,1.0,2.0,335.2,1.0,2.0,117.4,1.0,2.0,40.2
2.0,4.0,70.5,1.0,4.0,215.1,1.0,4.0,132.7,1.0,3.0,328.2,1.0,3.0,109.5,1.0,3.0,56.5
2.0,5.0,22.9,1.0,5.0,63.1,1.0,5.0,40.7,1.0,5.0,371.4,1.0,4.0,445.1,1.0,4.0,222.5
2.0,6.0,12.5,1.0,6.0,41.3,1.0,6.0,35.2,1.0,6.0,298.7,1.0,6.0,75.4,1.0,5.0,62.6
3.0,2.0,16.7,3.0,1.0,104.7,2.0,1.0,97.7,2.0,1.0,424.5,2.0,1.0,185.7,2.0,1.0,77.7
3.0,4.0,45.2,3.0,4.0,414.9,2.0,4.0,350.1,2.0,3.0,587.9,2.0,3.0,349.0,2.0,3.0,169.6
3.0,5.0,15.3,3.0,5.0,168.6,2.0,5.0,141.5,2.0,5.0,642.9,2.0,4.0,893.9,2.0,4.0,463.9
3.0,6.0,12.6,3.0,6.0,128.5,2.0,6.0,116.7,2.0,6.0,552.5,2.0,6.0,254.5,2.0,5.0,162.8
4.0,2.0,114.0,4.0,1.0,385.7,4.0,1.0,252.1,3.0,1.0,441.5,3.0,1.0,149.1,3.0,1.0,105.8
4.0,3.0,91.3,4.0,3.0,473.9,4.0,2.0,354.6,3.0,2.0,587.9,3.0,2.0,326.2,3.0,2.0,206.6
4.0,5.0,129.3,4.0,5.0,569.6,4.0,5.0,251.6,3.0,5.0,555.3,3.0,4.0,839.3,3.0,4.0,563.8
4.0,6.0,86.5,4.0,6.0,499.7,4.0,6.0,234.4,3.0,6.0,511.3,3.0,6.0,124.2,3.0,5.0,122.8
5.0,2.0,35.9,5.0,1.0,144.8,5.0,1.0,72.6,5.0,1.0,541.6,4.0,1.0,758.2,4.0,1.0,552.5
5.0,3.0,33.6,5.0,3.0,237.4,5.0,2.0,153.5,5.0,2.0,879.6,4.0,2.0,1067.0,4.0,2.0,796.7
5.0,4.0,146.4,5.0,4.0,713.9,5.0,4.0,293.2,5.0,3.0,852.3,4.0,3.0,747.9,4.0,3.0,617.6
5.0,6.0,26.0,5.0,6.0,160.7,5.0,6.0,57.1,5.0,6.0,377.8,4.0,6.0,560.9,4.0,5.0,594.3
6.0,2.0,23.6,6.0,1.0,86.7,6.0,1.0,62.2,6.0,1.0,405.7,6.0,1.0,101.8,5.0,1.0,94.7
6.0,3.0,23.9,6.0,3.0,198.1,6.0,2.0,123.2,6.0,2.0,646.7,6.0,2.0,198.8,5.0,2.0,160.9
6.0,4.0,92.1,6.0,4.0,499.7,6.0,4.0,265.5,6.0,3.0,628.2,6.0,3.0,136.2,5.0,3.0,117.5
6.0,5.0,28.5,6.0,5.0,165.3,6.0,5.0,70.6,6.0,5.0,408.7,6.0,4.0,499.7,5.0,4.0,388.5
