1,海野　ゆかり,海野　ゆかり.1,2,宮武 英司,宮武 英司.1,3,江本 真治,江本 真治.1,4,眞鳥 康太,眞鳥 康太.1,5,平瀬 城啓,平瀬 城啓.1,6,羽田 妃希,羽田 妃希.1
2.0,3.0,4.3,1.0,3.0,31.8,1.0,2.0,35.1,1.0,2.0,55.2,1.0,2.0,672.3,1.0,2.0,2126.0
2.0,4.0,7.7,1.0,4.0,52.3,1.0,4.0,44.3,1.0,3.0,79.7,1.0,3.0,670.3,1.0,3.0,2282.0
2.0,5.0,36.4,1.0,5.0,147.3,1.0,5.0,109.5,1.0,5.0,99.1,1.0,4.0,510.8,1.0,4.0,2016.0
2.0,6.0,129.9,1.0,6.0,456.9,1.0,6.0,436.9,1.0,6.0,309.6,1.0,6.0,1257.0,1.0,5.0,3342.0
3.0,2.0,4.9,3.0,1.0,62.3,2.0,1.0,70.6,2.0,1.0,104.4,2.0,1.0,1042.0,2.0,1.0,3227.0
3.0,4.0,7.7,3.0,4.0,126.3,2.0,4.0,129.0,2.0,3.0,183.8,2.0,3.0,1534.0,2.0,3.0,4499.0
3.0,5.0,34.3,3.0,5.0,261.8,2.0,5.0,281.5,2.0,5.0,232.9,2.0,4.0,1224.0,2.0,4.0,3999.0
3.0,6.0,156.7,3.0,6.0,855.4,2.0,6.0,831.1,2.0,6.0,642.7,2.0,6.0,2999.0,2.0,5.0,5776.0
4.0,2.0,13.1,4.0,1.0,122.6,4.0,1.0,120.4,3.0,1.0,179.4,3.0,1.0,1166.0,3.0,1.0,3932.0
4.0,3.0,14.2,4.0,3.0,138.4,4.0,2.0,164.2,3.0,2.0,252.1,3.0,2.0,1591.0,3.0,2.0,4373.0
4.0,5.0,37.4,4.0,5.0,350.5,4.0,5.0,348.4,3.0,5.0,460.5,3.0,4.0,1752.0,3.0,4.0,4542.0
4.0,6.0,119.5,4.0,6.0,1111.0,4.0,6.0,941.4,3.0,6.0,995.5,3.0,6.0,3390.0,3.0,5.0,5570.0
5.0,2.0,95.5,5.0,1.0,426.1,5.0,1.0,434.8,5.0,1.0,158.4,4.0,1.0,537.2,4.0,1.0,2768.0
5.0,3.0,103.3,5.0,3.0,475.5,5.0,2.0,614.8,5.0,2.0,222.0,4.0,2.0,852.3,4.0,2.0,3713.0
5.0,4.0,105.6,5.0,4.0,748.6,5.0,4.0,590.0,5.0,3.0,322.2,4.0,3.0,1144.0,4.0,3.0,5142.0
5.0,6.0,342.2,5.0,6.0,1966.0,5.0,6.0,1671.0,5.0,6.0,496.7,4.0,6.0,1549.0,4.0,5.0,4726.0
6.0,2.0,485.3,6.0,1.0,1726.0,6.0,1.0,1619.0,6.0,1.0,806.7,6.0,1.0,3342.0,5.0,1.0,4542.0
6.0,3.0,453.4,6.0,3.0,2399.0,6.0,2.0,1695.0,6.0,2.0,1015.0,6.0,2.0,3835.0,5.0,2.0,4587.0
6.0,4.0,451.2,6.0,4.0,2585.0,6.0,4.0,1799.0,6.0,3.0,1360.0,6.0,3.0,3867.0,5.0,3.0,5849.0
6.0,5.0,639.2,6.0,5.0,3999.0,6.0,5.0,2449.0,6.0,5.0,1241.0,6.0,4.0,4033.0,5.0,4.0,5317.0
