1,中山 翔太,中山 翔太.1,2,浦野 海,浦野 海.1,3,加藤 優弥,加藤 優弥.1,4,高橋 竜矢,高橋 竜矢.1,5,上原　健次郎,上原　健次郎.1,6,小宮 涼雅,小宮 涼雅.1
2.0,3.0,16.7,1.0,3.0,99.9,1.0,2.0,135.1,1.0,2.0,25.3,1.0,2.0,125.7,1.0,2.0,1004.0
2.0,4.0,8.5,1.0,4.0,49.7,1.0,4.0,80.5,1.0,3.0,42.1,1.0,3.0,280.5,1.0,3.0,2390.0
2.0,5.0,19.5,1.0,5.0,92.3,1.0,5.0,146.7,1.0,5.0,19.7,1.0,4.0,87.7,1.0,4.0,1845.0
2.0,6.0,165.7,1.0,6.0,425.4,1.0,6.0,558.4,1.0,6.0,77.4,1.0,6.0,347.1,1.0,5.0,1997.0
3.0,2.0,23.5,3.0,1.0,258.7,2.0,1.0,299.3,2.0,1.0,65.8,2.0,1.0,281.0,2.0,1.0,2357.0
3.0,4.0,12.9,3.0,4.0,300.9,2.0,4.0,297.2,2.0,3.0,185.1,2.0,3.0,757.8,2.0,3.0,3947.0
3.0,5.0,29.3,3.0,5.0,478.1,2.0,5.0,417.0,2.0,5.0,86.9,2.0,4.0,311.4,2.0,4.0,3086.0
3.0,6.0,158.9,3.0,6.0,1489.0,2.0,6.0,1203.0,2.0,6.0,291.1,2.0,6.0,824.0,2.0,5.0,3536.0
4.0,2.0,7.9,4.0,1.0,93.9,4.0,1.0,125.4,3.0,1.0,115.1,3.0,1.0,542.3,3.0,1.0,2877.0
4.0,3.0,13.1,4.0,3.0,226.3,4.0,2.0,238.7,3.0,2.0,224.8,3.0,2.0,943.0,3.0,2.0,4352.0
4.0,5.0,9.4,4.0,5.0,156.5,4.0,5.0,203.0,3.0,5.0,176.8,3.0,4.0,692.8,3.0,4.0,3611.0
4.0,6.0,70.2,4.0,6.0,757.8,4.0,6.0,679.0,3.0,6.0,453.8,3.0,6.0,1529.0,3.0,5.0,4352.0
5.0,2.0,33.9,5.0,1.0,259.1,5.0,1.0,317.8,5.0,1.0,26.4,4.0,1.0,82.0,4.0,1.0,1886.0
5.0,3.0,50.1,5.0,3.0,497.8,5.0,2.0,479.5,5.0,2.0,45.8,4.0,2.0,143.1,4.0,2.0,2694.0
5.0,4.0,23.9,5.0,4.0,237.7,5.0,4.0,361.1,5.0,3.0,97.3,4.0,3.0,296.2,4.0,3.0,3690.0
5.0,6.0,170.7,5.0,6.0,1248.0,5.0,6.0,1178.0,5.0,6.0,76.5,4.0,6.0,273.7,4.0,5.0,2045.0
6.0,2.0,457.5,6.0,1.0,1116.0,6.0,1.0,1402.0,6.0,1.0,272.4,6.0,1.0,775.1,5.0,1.0,2357.0
6.0,3.0,494.9,6.0,3.0,2390.0,6.0,2.0,1929.0,6.0,2.0,468.9,6.0,2.0,1131.0,5.0,2.0,2782.0
6.0,4.0,342.2,6.0,4.0,1929.0,6.0,4.0,2204.0,6.0,3.0,761.2,6.0,3.0,1997.0,5.0,3.0,4243.0
6.0,5.0,470.2,6.0,5.0,1414.0,6.0,5.0,2782.0,6.0,5.0,303.6,6.0,4.0,943.0,5.0,4.0,2652.0
