1,篠原 飛翔,篠原 飛翔.1,2,生方 靖亜,生方 靖亜.1,3,岩下 巧斗,岩下 巧斗.1,4,荒木 颯斗,荒木 颯斗.1,5,一色 凌雅,一色 凌雅.1,6,小林 京平,小林 京平.1
2.0,3.0,19.1,1.0,3.0,85.6,1.0,2.0,136.1,1.0,2.0,24.1,1.0,2.0,85.8,1.0,2.0,543.0
2.0,4.0,8.8,1.0,4.0,40.5,1.0,4.0,107.4,1.0,3.0,54.6,1.0,3.0,130.3,1.0,3.0,836.9
2.0,5.0,15.9,1.0,5.0,70.3,1.0,5.0,155.6,1.0,5.0,20.8,1.0,4.0,59.6,1.0,4.0,573.6
2.0,6.0,49.3,1.0,6.0,146.0,1.0,6.0,303.8,1.0,6.0,52.2,1.0,6.0,173.6,1.0,5.0,694.5
3.0,2.0,25.7,3.0,1.0,218.1,2.0,1.0,249.0,2.0,1.0,56.3,2.0,1.0,231.5,2.0,1.0,903.5
3.0,4.0,27.5,3.0,4.0,306.6,2.0,4.0,324.1,2.0,3.0,201.7,2.0,3.0,523.6,2.0,3.0,1823.0
3.0,5.0,41.0,3.0,5.0,394.2,2.0,5.0,457.8,2.0,5.0,84.3,2.0,4.0,186.6,2.0,4.0,1245.0
3.0,6.0,119.4,3.0,6.0,785.4,2.0,6.0,689.8,2.0,6.0,143.6,2.0,6.0,365.9,2.0,5.0,1501.0
4.0,2.0,10.0,4.0,1.0,83.9,4.0,1.0,165.7,3.0,1.0,142.8,3.0,1.0,371.2,3.0,1.0,1201.0
4.0,3.0,20.3,4.0,3.0,276.7,4.0,2.0,296.8,3.0,2.0,247.2,3.0,2.0,729.3,3.0,2.0,1856.0
4.0,5.0,12.6,4.0,5.0,157.5,4.0,5.0,300.3,3.0,5.0,251.4,3.0,4.0,586.7,3.0,4.0,2042.0
4.0,6.0,45.2,4.0,6.0,293.3,4.0,6.0,500.5,3.0,6.0,486.2,3.0,6.0,880.1,3.0,5.0,1963.0
5.0,2.0,28.8,5.0,1.0,168.2,5.0,1.0,358.2,5.0,1.0,26.9,4.0,1.0,71.4,4.0,1.0,518.2
5.0,3.0,53.9,5.0,3.0,355.7,5.0,2.0,580.1,5.0,2.0,48.1,4.0,2.0,128.5,4.0,2.0,911.6
5.0,4.0,26.8,5.0,4.0,196.3,5.0,4.0,447.8,5.0,3.0,147.9,4.0,3.0,372.6,4.0,3.0,1260.0
5.0,6.0,87.4,5.0,6.0,421.9,5.0,6.0,724.1,5.0,6.0,48.0,4.0,6.0,126.3,4.0,5.0,830.1
6.0,2.0,110.6,6.0,1.0,564.1,6.0,1.0,767.6,6.0,1.0,100.0,6.0,1.0,457.8,5.0,1.0,1201.0
6.0,3.0,242.5,6.0,3.0,991.2,6.0,2.0,850.8,6.0,2.0,167.1,6.0,2.0,630.2,5.0,2.0,1730.0
6.0,4.0,135.4,6.0,4.0,745.2,6.0,4.0,936.7,6.0,3.0,438.2,6.0,3.0,1134.0,5.0,3.0,2083.0
6.0,5.0,167.3,6.0,5.0,954.2,6.0,5.0,1001.0,6.0,5.0,116.5,6.0,4.0,586.7,5.0,4.0,1201.0
