1,角 ひとみ,角 ひとみ.1,2,岩崎 芳美,岩崎 芳美.1,3,冨名腰　桃奈,冨名腰　桃奈.1,4,野田部　宏子,野田部　宏子.1,5,大橋　栄里佳,大橋　栄里佳.1,6,田村 美和,田村 美和.1
2.0,3.0,13.8,1.0,3.0,11.4,1.0,2.0,38.1,1.0,2.0,43.5,1.0,2.0,268.1,1.0,2.0,1940.0
2.0,4.0,13.0,1.0,4.0,13.6,1.0,4.0,52.7,1.0,3.0,84.6,1.0,3.0,446.8,1.0,3.0,2477.0
2.0,5.0,36.9,1.0,5.0,30.2,1.0,5.0,88.5,1.0,5.0,89.6,1.0,4.0,363.7,1.0,4.0,2453.0
2.0,6.0,150.2,1.0,6.0,118.8,1.0,6.0,323.9,1.0,6.0,255.4,1.0,6.0,753.8,1.0,5.0,3251.0
3.0,2.0,21.2,3.0,1.0,24.1,2.0,1.0,36.2,2.0,1.0,38.6,2.0,1.0,245.1,2.0,1.0,2167.0
3.0,4.0,29.8,3.0,4.0,24.3,2.0,4.0,36.2,2.0,3.0,45.5,2.0,3.0,351.4,2.0,3.0,2525.0
3.0,5.0,58.8,3.0,5.0,45.0,2.0,5.0,57.6,2.0,5.0,50.5,2.0,4.0,284.8,2.0,4.0,1871.0
3.0,6.0,268.9,3.0,6.0,166.1,2.0,6.0,211.2,2.0,6.0,168.6,2.0,6.0,716.5,2.0,5.0,3715.0
4.0,2.0,24.2,4.0,1.0,22.1,4.0,1.0,65.9,3.0,1.0,129.0,3.0,1.0,465.2,3.0,1.0,3292.0
4.0,3.0,42.0,4.0,3.0,24.7,4.0,2.0,43.0,3.0,2.0,65.8,3.0,2.0,428.4,3.0,2.0,2149.0
4.0,5.0,75.4,4.0,5.0,41.0,4.0,5.0,79.7,3.0,5.0,133.5,3.0,4.0,501.1,3.0,4.0,2709.0
4.0,6.0,343.1,4.0,6.0,178.2,4.0,6.0,305.2,3.0,6.0,428.4,3.0,6.0,1354.0,3.0,5.0,3096.0
5.0,2.0,113.9,5.0,1.0,94.7,5.0,1.0,169.4,5.0,1.0,87.3,4.0,1.0,337.7,4.0,1.0,3096.0
5.0,3.0,154.5,5.0,3.0,96.4,5.0,2.0,137.9,5.0,2.0,64.4,4.0,2.0,260.8,4.0,2.0,2242.0
5.0,4.0,182.6,5.0,4.0,91.4,5.0,4.0,148.1,5.0,3.0,140.5,4.0,3.0,436.3,4.0,3.0,3715.0
5.0,6.0,583.1,5.0,6.0,332.5,5.0,6.0,503.0,5.0,6.0,187.2,4.0,6.0,611.9,4.0,5.0,3769.0
6.0,2.0,758.2,6.0,1.0,609.1,6.0,1.0,893.7,6.0,1.0,417.4,6.0,1.0,1667.0,5.0,1.0,3612.0
6.0,3.0,762.7,6.0,3.0,560.5,6.0,2.0,769.5,6.0,2.0,394.6,6.0,2.0,1398.0,5.0,2.0,3769.0
6.0,4.0,1012.0,6.0,4.0,631.2,6.0,4.0,858.3,6.0,3.0,695.4,6.0,3.0,1615.0,5.0,3.0,2796.0
6.0,5.0,1182.0,6.0,5.0,743.1,6.0,5.0,919.0,6.0,5.0,460.3,6.0,4.0,1985.0,5.0,4.0,3292.0
