1,馬野 耀,馬野 耀.1,2,太田 潮,太田 潮.1,3,金子 順一,金子 順一.1,4,山一 鉄也,山一 鉄也.1,5,高山 敬悟,高山 敬悟.1,6,柴田 百恵,柴田 百恵.1
2.0,3.0,19.4,1.0,3.0,186.8,1.0,2.0,151.3,1.0,2.0,35.0,1.0,2.0,280.1,1.0,2.0,685.7
2.0,4.0,11.1,1.0,4.0,142.2,1.0,4.0,79.8,1.0,3.0,39.1,1.0,3.0,432.7,1.0,3.0,573.3
2.0,5.0,38.7,1.0,5.0,377.6,1.0,5.0,183.2,1.0,5.0,27.1,1.0,4.0,160.2,1.0,4.0,254.3
2.0,6.0,38.6,1.0,6.0,299.5,1.0,6.0,148.7,1.0,6.0,24.1,1.0,6.0,222.7,1.0,5.0,689.2
3.0,2.0,19.5,3.0,1.0,347.5,2.0,1.0,275.2,2.0,1.0,116.6,2.0,1.0,707.2,2.0,1.0,1153.0
3.0,4.0,9.2,3.0,4.0,657.9,2.0,4.0,385.8,2.0,3.0,302.2,2.0,3.0,1470.0,2.0,3.0,2071.0
3.0,5.0,40.4,3.0,5.0,1284.0,2.0,5.0,763.0,2.0,5.0,219.3,2.0,4.0,674.3,2.0,4.0,1305.0
3.0,6.0,32.4,3.0,6.0,1156.0,2.0,6.0,604.0,2.0,6.0,198.0,2.0,6.0,1085.0,2.0,5.0,2159.0
4.0,2.0,9.2,4.0,1.0,243.8,4.0,1.0,99.2,3.0,1.0,104.8,3.0,1.0,900.0,3.0,1.0,858.2
4.0,3.0,9.5,4.0,3.0,644.3,4.0,2.0,264.2,3.0,2.0,265.6,3.0,2.0,1604.0,3.0,2.0,2206.0
4.0,5.0,15.8,4.0,5.0,828.4,4.0,5.0,250.5,3.0,5.0,278.2,3.0,4.0,835.2,3.0,4.0,884.4
4.0,6.0,14.1,4.0,6.0,616.9,4.0,6.0,175.3,3.0,6.0,163.3,3.0,6.0,1643.0,3.0,5.0,2505.0
5.0,2.0,64.5,5.0,1.0,892.1,5.0,1.0,435.0,5.0,1.0,43.4,4.0,1.0,169.1,4.0,1.0,305.4
5.0,3.0,84.9,5.0,3.0,1663.0,5.0,2.0,735.4,5.0,2.0,100.3,4.0,2.0,330.5,4.0,2.0,952.9
5.0,4.0,45.7,5.0,4.0,1156.0,5.0,4.0,463.4,5.0,3.0,169.9,4.0,3.0,647.4,4.0,3.0,874.8
5.0,6.0,71.5,5.0,6.0,1720.0,5.0,6.0,605.8,5.0,6.0,54.6,4.0,6.0,226.1,4.0,5.0,679.9
6.0,2.0,82.5,6.0,1.0,854.6,6.0,1.0,522.4,6.0,1.0,55.5,6.0,1.0,566.9,5.0,1.0,1133.0
6.0,3.0,80.3,6.0,3.0,1419.0,6.0,2.0,1140.0,6.0,2.0,139.1,6.0,2.0,1019.0,5.0,2.0,2255.0
6.0,4.0,46.2,6.0,4.0,1149.0,6.0,4.0,498.0,6.0,3.0,194.9,6.0,3.0,1514.0,5.0,3.0,2332.0
6.0,5.0,120.2,6.0,5.0,1914.0,6.0,5.0,1241.0,6.0,5.0,85.7,6.0,4.0,467.6,5.0,4.0,892.1
