1,野末 智一,野末 智一.1,2,川崎 智稔,川崎 智稔.1,3,小林 文彦,小林 文彦.1,4,高倉 和士,高倉 和士.1,5,服部 達哉,服部 達哉.1,6,阿波 勝哉,阿波 勝哉.1
2.0,3.0,49.5,1.0,3.0,73.6,1.0,2.0,200.3,1.0,2.0,24.9,1.0,2.0,462.0,1.0,2.0,599.6
2.0,4.0,26.1,1.0,4.0,34.8,1.0,4.0,84.7,1.0,3.0,30.4,1.0,3.0,577.1,1.0,3.0,906.9
2.0,5.0,112.1,1.0,5.0,108.2,1.0,5.0,238.0,1.0,5.0,28.8,1.0,4.0,260.3,1.0,4.0,356.3
2.0,6.0,95.7,1.0,6.0,90.5,1.0,6.0,253.7,1.0,6.0,23.3,1.0,6.0,424.3,1.0,5.0,1056.0
3.0,2.0,59.9,3.0,1.0,136.4,2.0,1.0,246.5,2.0,1.0,32.9,2.0,1.0,487.6,2.0,1.0,668.9
3.0,4.0,27.6,3.0,4.0,56.7,2.0,4.0,110.0,2.0,3.0,43.9,2.0,3.0,605.7,2.0,3.0,927.0
3.0,5.0,97.3,3.0,5.0,156.2,2.0,5.0,277.6,2.0,5.0,32.7,2.0,4.0,226.8,2.0,4.0,279.9
3.0,6.0,112.0,3.0,6.0,137.5,2.0,6.0,263.7,2.0,6.0,26.2,2.0,6.0,383.0,2.0,5.0,1056.0
4.0,2.0,20.7,4.0,1.0,34.8,4.0,1.0,90.7,3.0,1.0,55.3,3.0,1.0,886.6,3.0,1.0,1405.0
4.0,3.0,20.0,4.0,3.0,37.9,4.0,2.0,101.7,3.0,2.0,66.5,3.0,2.0,940.6,3.0,2.0,1314.0
4.0,5.0,38.5,4.0,5.0,39.6,4.0,5.0,126.4,3.0,5.0,71.1,3.0,4.0,467.4,3.0,4.0,591.9
4.0,6.0,35.0,4.0,6.0,34.1,4.0,6.0,130.3,3.0,6.0,54.5,3.0,6.0,993.3,3.0,5.0,1848.0
5.0,2.0,218.0,5.0,1.0,236.5,5.0,1.0,385.3,5.0,1.0,29.0,4.0,1.0,175.2,4.0,1.0,300.1
5.0,3.0,199.2,5.0,3.0,300.2,5.0,2.0,600.0,5.0,2.0,30.9,4.0,2.0,162.2,4.0,2.0,241.0
5.0,4.0,120.4,5.0,4.0,116.3,5.0,4.0,274.8,5.0,3.0,55.8,4.0,3.0,264.5,4.0,3.0,375.2
5.0,6.0,207.2,5.0,6.0,211.5,5.0,6.0,643.5,5.0,6.0,19.2,4.0,6.0,136.3,4.0,5.0,363.3
6.0,2.0,273.7,6.0,1.0,265.6,6.0,1.0,604.8,6.0,1.0,49.2,6.0,1.0,763.9,5.0,1.0,1222.0
6.0,3.0,330.8,6.0,3.0,375.2,6.0,2.0,757.6,6.0,2.0,43.5,6.0,2.0,756.9,5.0,2.0,1240.0
6.0,4.0,157.4,6.0,4.0,119.5,6.0,4.0,408.9,6.0,3.0,73.6,6.0,3.0,1108.0,5.0,3.0,1552.0
6.0,5.0,356.3,6.0,5.0,370.4,6.0,5.0,1117.0,6.0,5.0,41.3,6.0,4.0,344.8,5.0,4.0,488.8
