1,森 智也,森 智也.1,2,野相 弘司,野相 弘司.1,3,白井 友晴,白井 友晴.1,4,藤山 雅弘,藤山 雅弘.1,5,坂口 周,坂口 周.1,6,谷村 啓司,谷村 啓司.1
2.0,3.0,16.3,1.0,3.0,73.6,1.0,2.0,67.8,1.0,2.0,143.4,1.0,2.0,119.5,1.0,2.0,2298.0
2.0,4.0,22.6,1.0,4.0,97.2,1.0,4.0,46.8,1.0,3.0,83.9,1.0,3.0,59.4,1.0,3.0,2165.0
2.0,5.0,19.0,1.0,5.0,100.3,1.0,5.0,31.4,1.0,5.0,60.5,1.0,4.0,77.8,1.0,4.0,1833.0
2.0,6.0,155.6,1.0,6.0,394.7,1.0,6.0,190.9,1.0,6.0,250.0,1.0,6.0,224.0,1.0,5.0,1275.0
3.0,2.0,14.5,3.0,1.0,148.0,2.0,1.0,140.8,2.0,1.0,293.8,2.0,1.0,270.6,2.0,1.0,2996.0
3.0,4.0,8.6,3.0,4.0,292.8,2.0,4.0,275.9,2.0,3.0,470.6,2.0,3.0,380.0,2.0,3.0,4247.0
3.0,5.0,7.0,3.0,5.0,228.5,2.0,5.0,154.7,2.0,5.0,308.7,2.0,4.0,466.7,2.0,4.0,3687.0
3.0,6.0,84.6,3.0,6.0,932.1,2.0,6.0,656.7,2.0,6.0,834.7,2.0,6.0,894.8,2.0,5.0,3165.0
4.0,2.0,26.7,4.0,1.0,271.0,4.0,1.0,97.9,3.0,1.0,148.4,3.0,1.0,92.8,3.0,1.0,2892.0
4.0,3.0,14.6,4.0,3.0,421.0,4.0,2.0,237.6,3.0,2.0,403.3,3.0,2.0,267.3,3.0,2.0,4534.0
4.0,5.0,15.8,4.0,5.0,421.0,4.0,5.0,82.2,3.0,5.0,131.5,3.0,4.0,151.2,3.0,4.0,2123.0
4.0,6.0,111.1,4.0,6.0,1224.0,4.0,6.0,468.0,3.0,6.0,563.9,3.0,6.0,538.6,3.0,5.0,2414.0
5.0,2.0,23.0,5.0,1.0,245.1,5.0,1.0,60.4,5.0,1.0,72.0,4.0,1.0,123.8,4.0,1.0,2046.0
5.0,3.0,12.6,5.0,3.0,318.0,5.0,2.0,147.6,5.0,2.0,165.3,4.0,2.0,309.5,4.0,2.0,3947.0
5.0,4.0,18.5,5.0,4.0,452.2,5.0,4.0,80.9,5.0,3.0,101.5,4.0,3.0,163.8,4.0,3.0,2379.0
5.0,6.0,83.1,5.0,6.0,995.7,5.0,6.0,279.4,5.0,6.0,190.4,4.0,6.0,352.1,4.0,5.0,1997.0
6.0,2.0,371.6,6.0,1.0,1669.0,6.0,1.0,904.5,6.0,1.0,665.8,6.0,1.0,661.8,5.0,1.0,1491.0
6.0,3.0,348.1,6.0,3.0,2021.0,6.0,2.0,1434.0,6.0,2.0,1122.0,6.0,2.0,1242.0,5.0,2.0,3195.0
6.0,4.0,296.7,6.0,4.0,2110.0,6.0,4.0,1004.0,6.0,3.0,969.8,6.0,3.0,880.7,5.0,3.0,2363.0
6.0,5.0,320.2,6.0,5.0,1939.0,6.0,5.0,804.7,6.0,5.0,576.5,6.0,4.0,869.3,5.0,4.0,2009.0
