1,今泉 友吾,今泉 友吾.1,2,澤 大介,澤 大介.1,3,岩津 徹郎,岩津 徹郎.1,4,桑島 和宏,桑島 和宏.1,5,高倉 和士,高倉 和士.1,6,土性 雅也,土性 雅也.1
2,3,欠場,1,3,欠場,1,2,欠場,1,2,欠場,1,2,欠場,1,2,欠場
2,4,欠場,1,4,欠場,1,4,欠場,1,3,欠場,1,3,欠場,1,3,欠場
2,5,欠場,1,5,欠場,1,5,欠場,1,5,欠場,1,4,欠場,1,4,欠場
2,6,欠場,1,6,欠場,1,6,欠場,1,6,欠場,1,6,欠場,1,5,欠場
3,2,欠場,3,1,欠場,2,1,欠場,2,1,欠場,2,1,欠場,2,1,欠場
3,4,欠場,3,4,22.7,2,4,60.6,2,3,120.8,2,3,13.1,2,3,470.1
3,5,欠場,3,5,9.3,2,5,26.7,2,5,49.4,2,4,16.8,2,4,440.8
3,6,欠場,3,6,51.2,2,6,97.6,2,6,134.8,2,6,22.8,2,5,272.8
4,2,欠場,4,1,欠場,4,1,欠場,3,1,欠場,3,1,欠場,3,1,欠場
4,3,欠場,4,3,30.0,4,2,132.0,3,2,193.4,3,2,25.7,3,2,594.0
4,5,欠場,4,5,12.0,4,5,83.1,3,5,119.4,3,4,46.6,3,4,598.7
4,6,欠場,4,6,52.8,4,6,215.9,3,6,293.0,3,6,48.0,3,5,359.2
5,2,欠場,5,1,欠場,5,1,欠場,5,1,欠場,4,1,欠場,4,1,欠場
5,3,欠場,5,3,7.3,5,2,31.5,5,2,46.6,4,2,33.4,4,2,552.0
5,4,欠場,5,4,8.6,5,4,53.3,5,3,77.4,4,3,53.7,4,3,667.4
5,6,欠場,5,6,21.8,5,6,72.9,5,6,81.6,4,6,55.8,4,5,362.2
6,2,欠場,6,1,欠場,6,1,欠場,6,1,欠場,6,1,欠場,5,1,欠場
6,3,欠場,6,3,123.0,6,2,284.1,6,2,294.7,6,2,34.9,5,2,222.4
6,4,欠場,6,4,135.2,6,4,317.8,6,3,368.9,6,3,45.8,5,3,247.6
6,5,欠場,6,5,82.1,6,5,196.9,6,5,188.8,6,4,57.1,5,4,249.6
