1,片岡 恵里,片岡 恵里.1,2,作間 章,作間 章.1,3,三原 司,三原 司.1,4,古場 輝義,古場 輝義.1,5,永井 彪也,永井 彪也.1,6,畔柳 俊吾,畔柳 俊吾.1
2.0,3.0,32.1,1.0,3.0,55.4,1.0,2.0,138.5,1.0,2.0,81.4,1.0,2.0,61.1,1.0,2.0,736.5
2.0,4.0,18.6,1.0,4.0,26.3,1.0,4.0,96.9,1.0,3.0,120.8,1.0,3.0,149.2,1.0,3.0,1271.0
2.0,5.0,15.7,1.0,5.0,21.3,1.0,5.0,100.1,1.0,5.0,65.4,1.0,4.0,74.2,1.0,4.0,797.9
2.0,6.0,67.3,1.0,6.0,107.1,1.0,6.0,225.8,1.0,6.0,150.5,1.0,6.0,157.1,1.0,5.0,997.4
3.0,2.0,40.5,3.0,1.0,122.9,2.0,1.0,205.7,2.0,1.0,90.9,2.0,1.0,70.0,2.0,1.0,1011.0
3.0,4.0,33.6,3.0,4.0,94.8,2.0,4.0,117.0,2.0,3.0,119.8,2.0,3.0,133.9,2.0,3.0,1317.0
3.0,5.0,37.2,3.0,5.0,89.8,2.0,5.0,113.3,2.0,5.0,44.8,2.0,4.0,54.7,2.0,4.0,671.1
3.0,6.0,91.1,3.0,6.0,248.9,2.0,6.0,279.4,2.0,6.0,147.0,2.0,6.0,100.3,2.0,5.0,768.0
4.0,2.0,26.1,4.0,1.0,53.4,4.0,1.0,116.8,3.0,1.0,159.0,3.0,1.0,201.4,3.0,1.0,1158.0
4.0,3.0,37.5,4.0,3.0,82.8,4.0,2.0,104.7,3.0,2.0,136.9,3.0,2.0,202.2,3.0,2.0,1293.0
4.0,5.0,24.1,4.0,5.0,28.1,4.0,5.0,79.2,3.0,5.0,98.5,3.0,4.0,186.5,3.0,4.0,1040.0
4.0,6.0,72.3,4.0,6.0,119.4,4.0,6.0,141.7,3.0,6.0,176.4,3.0,6.0,303.0,3.0,5.0,1354.0
5.0,2.0,25.2,5.0,1.0,40.8,5.0,1.0,150.8,5.0,1.0,67.5,4.0,1.0,86.7,4.0,1.0,806.8
5.0,3.0,53.2,5.0,3.0,81.3,5.0,2.0,134.2,5.0,2.0,40.8,4.0,2.0,55.2,4.0,2.0,563.2
5.0,4.0,35.2,5.0,4.0,30.5,5.0,4.0,99.5,5.0,3.0,101.7,4.0,3.0,149.9,4.0,3.0,963.9
5.0,6.0,89.4,5.0,6.0,100.7,5.0,6.0,196.4,5.0,6.0,73.8,4.0,6.0,86.6,4.0,5.0,516.6
6.0,2.0,236.2,6.0,1.0,397.8,6.0,1.0,613.7,6.0,1.0,272.5,6.0,1.0,265.4,5.0,1.0,897.6
6.0,3.0,347.7,6.0,3.0,572.2,6.0,2.0,574.5,6.0,2.0,261.1,6.0,2.0,215.9,5.0,2.0,711.0
6.0,4.0,267.4,6.0,4.0,337.9,6.0,4.0,310.8,6.0,3.0,296.1,6.0,3.0,364.5,5.0,3.0,789.1
6.0,5.0,216.3,6.0,5.0,274.6,6.0,5.0,437.8,6.0,5.0,165.8,6.0,4.0,182.2,5.0,4.0,520.3
