1,海野　ゆかり,海野　ゆかり.1,2,芝田 浩治,芝田 浩治.1,3,盛本 真輔,盛本 真輔.1,4,金子 貴志,金子 貴志.1,5,笠 雅雄,笠 雅雄.1,6,水原 慎,水原 慎.1
2.0,3.0,5.1,1.0,3.0,16.5,1.0,2.0,46.4,1.0,2.0,112.1,1.0,2.0,369.7,1.0,2.0,1479.0
2.0,4.0,6.5,1.0,4.0,21.9,1.0,4.0,66.0,1.0,3.0,183.7,1.0,3.0,497.0,1.0,3.0,2728.0
2.0,5.0,16.7,1.0,5.0,40.5,1.0,5.0,71.3,1.0,5.0,186.6,1.0,4.0,736.2,1.0,4.0,2349.0
2.0,6.0,45.1,1.0,6.0,82.4,1.0,6.0,206.6,1.0,6.0,323.0,1.0,6.0,794.5,1.0,5.0,2743.0
3.0,2.0,10.5,3.0,1.0,46.5,2.0,1.0,60.1,2.0,1.0,158.5,2.0,1.0,542.5,2.0,1.0,1972.0
3.0,4.0,18.8,3.0,4.0,66.6,2.0,4.0,67.7,2.0,3.0,258.0,2.0,3.0,608.4,2.0,3.0,3088.0
3.0,5.0,29.3,3.0,5.0,96.6,2.0,5.0,76.4,2.0,5.0,274.3,2.0,4.0,867.5,2.0,4.0,2976.0
3.0,6.0,80.0,3.0,6.0,190.8,2.0,6.0,198.4,2.0,6.0,467.6,2.0,6.0,1415.0,2.0,5.0,3960.0
4.0,2.0,20.0,4.0,1.0,75.1,4.0,1.0,79.8,3.0,1.0,188.4,3.0,1.0,652.1,3.0,1.0,2743.0
4.0,3.0,34.1,4.0,3.0,115.5,4.0,2.0,78.9,3.0,2.0,217.9,3.0,2.0,552.9,3.0,2.0,2455.0
4.0,5.0,41.8,4.0,5.0,161.4,4.0,5.0,85.7,3.0,5.0,206.3,3.0,4.0,917.8,3.0,4.0,2854.0
4.0,6.0,100.1,4.0,6.0,166.6,4.0,6.0,145.1,3.0,6.0,315.3,3.0,6.0,1049.0,3.0,5.0,2698.0
5.0,2.0,52.6,5.0,1.0,160.1,5.0,1.0,125.6,5.0,1.0,291.5,4.0,1.0,938.9,4.0,1.0,2822.0
5.0,3.0,73.4,5.0,3.0,197.0,5.0,2.0,115.1,5.0,2.0,343.6,4.0,2.0,911.0,4.0,2.0,2888.0
5.0,4.0,104.7,5.0,4.0,299.7,5.0,4.0,161.6,5.0,3.0,440.0,4.0,3.0,1136.0,4.0,3.0,3050.0
5.0,6.0,147.2,5.0,6.0,465.0,5.0,6.0,201.4,5.0,6.0,502.6,4.0,6.0,1510.0,4.0,5.0,4589.0
6.0,2.0,256.8,6.0,1.0,570.3,6.0,1.0,634.4,6.0,1.0,706.5,6.0,1.0,2020.0,5.0,1.0,3168.0
6.0,3.0,336.3,6.0,3.0,703.5,6.0,2.0,590.9,6.0,2.0,842.2,6.0,2.0,2518.0,5.0,2.0,4384.0
6.0,4.0,361.8,6.0,4.0,806.3,6.0,4.0,560.5,6.0,3.0,1076.0,6.0,3.0,1903.0,5.0,3.0,3532.0
6.0,5.0,342.4,6.0,5.0,799.7,6.0,5.0,404.8,6.0,5.0,794.5,6.0,4.0,2192.0,5.0,4.0,5010.0
