1,木村 光宏,木村 光宏.1,2,深尾 巴恵,深尾 巴恵.1,3,三苫 晃幸,三苫 晃幸.1,4,樋口　由加里,樋口　由加里.1,5,重野 哲之,重野 哲之.1,6,片橋 幸貴,片橋 幸貴.1
2.0,3.0,35.1,1.0,3.0,111.7,1.0,2.0,72.2,1.0,2.0,165.3,1.0,2.0,151.3,1.0,2.0,701.2
2.0,4.0,58.7,1.0,4.0,171.5,1.0,4.0,32.2,1.0,3.0,140.2,1.0,3.0,52.7,1.0,3.0,356.5
2.0,5.0,27.3,1.0,5.0,77.3,1.0,5.0,17.7,1.0,5.0,94.8,1.0,4.0,91.9,1.0,4.0,746.0
2.0,6.0,56.8,1.0,6.0,156.5,1.0,6.0,45.7,1.0,6.0,177.0,1.0,6.0,65.5,1.0,5.0,338.2
3.0,2.0,35.5,3.0,1.0,167.2,2.0,1.0,186.1,2.0,1.0,409.3,2.0,1.0,305.7,2.0,1.0,899.0
3.0,4.0,20.9,3.0,4.0,240.1,2.0,4.0,214.2,2.0,3.0,415.7,2.0,3.0,279.0,2.0,3.0,848.3
3.0,5.0,10.7,3.0,5.0,115.2,2.0,5.0,112.0,2.0,5.0,191.6,2.0,4.0,342.6,2.0,4.0,906.8
3.0,6.0,29.9,3.0,6.0,251.0,2.0,6.0,251.6,2.0,6.0,440.1,2.0,6.0,355.3,2.0,5.0,956.2
4.0,2.0,77.0,4.0,1.0,350.6,4.0,1.0,66.8,3.0,1.0,171.5,3.0,1.0,67.8,3.0,1.0,398.4
4.0,3.0,42.4,4.0,3.0,305.7,4.0,2.0,169.6,3.0,2.0,175.3,3.0,2.0,230.6,3.0,2.0,848.3
4.0,5.0,30.5,4.0,5.0,277.5,4.0,5.0,38.0,3.0,5.0,75.6,3.0,4.0,82.8,3.0,4.0,491.5
4.0,6.0,60.8,4.0,6.0,399.9,4.0,6.0,76.3,3.0,6.0,155.3,3.0,6.0,75.2,3.0,5.0,278.2
5.0,2.0,33.5,5.0,1.0,207.8,5.0,1.0,29.8,5.0,1.0,131.3,4.0,1.0,189.1,4.0,1.0,796.8
5.0,3.0,18.6,5.0,3.0,206.2,5.0,2.0,85.2,5.0,2.0,161.8,4.0,2.0,344.8,4.0,2.0,1021.0
5.0,4.0,35.5,5.0,4.0,318.7,5.0,4.0,37.1,5.0,3.0,110.2,4.0,3.0,122.4,4.0,3.0,489.2
5.0,6.0,29.4,5.0,6.0,291.3,5.0,6.0,31.6,5.0,6.0,111.3,4.0,6.0,135.2,4.0,5.0,348.3
6.0,2.0,139.5,6.0,1.0,436.4,6.0,1.0,125.8,6.0,1.0,386.7,6.0,1.0,122.7,5.0,1.0,340.4
6.0,3.0,83.4,6.0,3.0,409.3,6.0,2.0,302.2,6.0,2.0,482.5,6.0,2.0,313.0,5.0,2.0,922.7
6.0,4.0,122.3,6.0,4.0,665.7,6.0,4.0,125.0,6.0,3.0,311.2,6.0,3.0,83.3,5.0,3.0,244.0
6.0,5.0,61.6,6.0,5.0,427.6,6.0,5.0,86.6,6.0,5.0,208.2,6.0,4.0,124.6,5.0,4.0,313.0
