1,細川 裕子,細川 裕子.1,2,大橋　栄里佳,大橋　栄里佳.1,3,深川　麻奈美,深川　麻奈美.1,4,前田 紗希,前田 紗希.1,5,小野 桜,小野 桜.1,6,北村 寧々,北村 寧々.1
2.0,3.0,20.1,1.0,3.0,86.8,1.0,2.0,63.4,1.0,2.0,58.8,1.0,2.0,596.1,1.0,2.0,788.0
2.0,4.0,22.6,1.0,4.0,90.5,1.0,4.0,21.2,1.0,3.0,26.3,1.0,3.0,405.1,1.0,3.0,753.8
2.0,5.0,59.0,1.0,5.0,165.7,1.0,5.0,43.8,1.0,5.0,35.0,1.0,4.0,316.9,1.0,4.0,479.2
2.0,6.0,76.8,1.0,6.0,247.2,1.0,6.0,84.5,1.0,6.0,48.7,1.0,6.0,613.6,1.0,5.0,1154.0
3.0,2.0,15.5,3.0,1.0,198.2,2.0,1.0,186.2,2.0,1.0,169.1,2.0,1.0,1022.0,2.0,1.0,1108.0
3.0,4.0,5.8,3.0,4.0,392.2,2.0,4.0,287.1,2.0,3.0,312.9,2.0,3.0,1608.0,2.0,3.0,1916.0
3.0,5.0,16.0,3.0,5.0,766.0,2.0,5.0,495.3,2.0,5.0,345.9,2.0,4.0,1516.0,2.0,4.0,1392.0
3.0,6.0,33.2,3.0,6.0,1120.0,2.0,6.0,738.5,2.0,6.0,356.4,2.0,6.0,1925.0,2.0,5.0,2419.0
4.0,2.0,16.9,4.0,1.0,196.1,4.0,1.0,35.0,3.0,1.0,46.4,3.0,1.0,620.7,3.0,1.0,1136.0
4.0,3.0,7.3,4.0,3.0,383.2,4.0,2.0,162.2,3.0,2.0,206.5,3.0,2.0,1658.0,3.0,2.0,2091.0
4.0,5.0,15.0,4.0,5.0,675.4,4.0,5.0,81.6,3.0,5.0,108.7,3.0,4.0,691.3,3.0,4.0,1029.0
4.0,6.0,25.2,4.0,6.0,715.3,4.0,6.0,117.3,3.0,6.0,150.8,3.0,6.0,1685.0,3.0,5.0,2016.0
5.0,2.0,117.6,5.0,1.0,614.2,5.0,1.0,196.8,5.0,1.0,64.6,4.0,1.0,343.1,4.0,1.0,467.4
5.0,3.0,64.3,5.0,3.0,1410.0,5.0,2.0,533.2,5.0,2.0,192.3,4.0,2.0,889.0,4.0,2.0,991.9
5.0,4.0,67.4,5.0,4.0,1465.0,5.0,4.0,254.5,5.0,3.0,124.2,4.0,3.0,541.9,4.0,3.0,774.1
5.0,6.0,139.4,5.0,6.0,1886.0,5.0,6.0,482.6,5.0,6.0,103.6,4.0,6.0,527.8,4.0,5.0,806.5
6.0,2.0,206.9,6.0,1.0,762.6,6.0,1.0,381.5,6.0,1.0,104.5,6.0,1.0,1109.0,5.0,1.0,1839.0
6.0,3.0,151.9,6.0,3.0,1965.0,6.0,2.0,1071.0,6.0,2.0,278.5,6.0,2.0,2168.0,5.0,2.0,2869.0
6.0,4.0,126.3,6.0,4.0,1122.0,6.0,4.0,474.6,6.0,3.0,209.1,6.0,3.0,2000.0,5.0,3.0,2405.0
6.0,5.0,255.8,6.0,5.0,2410.0,6.0,5.0,877.0,6.0,5.0,166.2,6.0,4.0,1007.0,5.0,4.0,1264.0
