1,沖島 広和,沖島 広和.1,2,倉尾 大介,倉尾 大介.1,3,溝口　海義也,溝口　海義也.1,4,岩崎 正哉,岩崎 正哉.1,5,仲谷 颯仁,仲谷 颯仁.1,6,森 晋太郎,森 晋太郎.1
2.0,3.0,25.1,1.0,3.0,82.0,1.0,2.0,51.5,1.0,2.0,275.4,1.0,2.0,84.0,1.0,2.0,1238.0
2.0,4.0,49.4,1.0,4.0,135.2,1.0,4.0,26.3,1.0,3.0,131.2,1.0,3.0,34.5,1.0,3.0,1158.0
2.0,5.0,32.6,1.0,5.0,94.2,1.0,5.0,14.9,1.0,5.0,115.7,1.0,4.0,68.6,1.0,4.0,1647.0
2.0,6.0,153.2,1.0,6.0,294.6,1.0,6.0,88.0,1.0,6.0,404.0,1.0,6.0,102.0,1.0,5.0,1213.0
3.0,2.0,19.2,3.0,1.0,124.2,2.0,1.0,108.1,2.0,1.0,399.0,2.0,1.0,195.9,2.0,1.0,1255.0
3.0,4.0,12.0,3.0,4.0,205.2,2.0,4.0,167.2,2.0,3.0,603.6,2.0,3.0,170.3,2.0,3.0,1534.0
3.0,5.0,7.4,3.0,5.0,120.9,2.0,5.0,91.9,2.0,5.0,478.9,2.0,4.0,337.2,2.0,4.0,2100.0
3.0,6.0,58.4,3.0,6.0,341.0,2.0,6.0,263.3,2.0,6.0,986.7,2.0,6.0,373.7,2.0,5.0,2100.0
4.0,2.0,52.6,4.0,1.0,297.0,4.0,1.0,55.5,3.0,1.0,149.0,3.0,1.0,42.0,3.0,1.0,1392.0
4.0,3.0,26.1,4.0,3.0,329.5,4.0,2.0,162.0,3.0,2.0,436.9,3.0,2.0,116.7,3.0,2.0,1900.0
4.0,5.0,30.8,4.0,5.0,359.8,4.0,5.0,39.8,3.0,5.0,118.4,3.0,4.0,74.3,3.0,4.0,1735.0
4.0,6.0,140.4,4.0,6.0,756.1,4.0,6.0,172.6,3.0,6.0,414.2,3.0,6.0,118.2,3.0,5.0,1154.0
5.0,2.0,31.2,5.0,1.0,177.6,5.0,1.0,22.9,5.0,1.0,148.5,4.0,1.0,145.1,4.0,1.0,2347.0
5.0,3.0,12.4,5.0,3.0,152.1,5.0,2.0,64.7,5.0,2.0,392.1,4.0,2.0,368.3,4.0,2.0,2920.0
5.0,4.0,25.9,5.0,4.0,323.5,5.0,4.0,33.7,5.0,3.0,142.9,4.0,3.0,135.8,4.0,3.0,1880.0
5.0,6.0,71.5,5.0,6.0,399.9,5.0,6.0,77.3,5.0,6.0,343.3,4.0,6.0,316.1,4.0,5.0,2052.0
6.0,2.0,416.6,6.0,1.0,907.0,6.0,1.0,378.0,6.0,1.0,1166.0,6.0,1.0,251.6,5.0,1.0,1360.0
6.0,3.0,237.3,6.0,3.0,960.3,6.0,2.0,615.0,6.0,2.0,1718.0,6.0,2.0,419.1,5.0,2.0,1861.0
6.0,4.0,431.7,6.0,4.0,1502.0,6.0,4.0,455.2,6.0,3.0,1065.0,6.0,3.0,248.0,5.0,3.0,762.5
6.0,5.0,343.3,6.0,5.0,1062.0,6.0,5.0,329.8,6.0,5.0,853.1,6.0,4.0,389.9,5.0,4.0,1197.0
