1,渡辺 浩司,渡辺 浩司.1,2,竹上 真司,竹上 真司.1,3,大場 広孝,大場 広孝.1,4,岡本　翔太郎,岡本　翔太郎.1,5,幸野 史明,幸野 史明.1,6,山本 英志,山本 英志.1
2.0,3.0,10.1,1.0,3.0,186.8,1.0,2.0,158.8,1.0,2.0,114.5,1.0,2.0,429.8,1.0,2.0,124.9
2.0,4.0,14.4,1.0,4.0,229.5,1.0,4.0,123.5,1.0,3.0,154.0,1.0,3.0,393.5,1.0,3.0,111.6
2.0,5.0,26.7,1.0,5.0,315.5,1.0,5.0,182.7,1.0,5.0,75.3,1.0,4.0,282.1,1.0,4.0,144.4
2.0,6.0,16.5,1.0,6.0,206.2,1.0,6.0,125.2,1.0,6.0,71.7,1.0,6.0,284.3,1.0,5.0,204.1
3.0,2.0,9.7,3.0,1.0,456.8,2.0,1.0,424.8,2.0,1.0,337.6,2.0,1.0,1152.0,2.0,1.0,329.9
3.0,4.0,8.6,3.0,4.0,1190.0,2.0,4.0,787.6,2.0,3.0,1048.0,2.0,3.0,2930.0,2.0,3.0,743.5
3.0,5.0,14.4,3.0,5.0,1626.0,2.0,5.0,976.7,2.0,5.0,650.3,2.0,4.0,2112.0,2.0,4.0,936.4
3.0,6.0,12.0,3.0,6.0,1267.0,2.0,6.0,964.6,2.0,6.0,532.2,2.0,6.0,2048.0,2.0,5.0,1426.0
4.0,2.0,18.2,4.0,1.0,569.5,4.0,1.0,335.6,3.0,1.0,347.5,3.0,1.0,879.0,3.0,1.0,263.6
4.0,3.0,15.6,4.0,3.0,1656.0,4.0,2.0,983.7,3.0,2.0,1107.0,3.0,2.0,2962.0,3.0,2.0,795.6
4.0,5.0,18.9,4.0,5.0,1543.0,4.0,5.0,781.9,3.0,5.0,876.2,3.0,4.0,1967.0,3.0,4.0,787.6
4.0,6.0,16.3,4.0,6.0,1276.0,4.0,6.0,651.9,3.0,6.0,730.5,3.0,6.0,2145.0,3.0,5.0,1119.0
5.0,2.0,46.3,5.0,1.0,1187.0,5.0,1.0,569.5,5.0,1.0,118.4,4.0,1.0,339.5,4.0,1.0,289.9
5.0,3.0,40.2,5.0,3.0,2224.0,5.0,2.0,1461.0,5.0,2.0,354.6,4.0,2.0,1159.0,4.0,2.0,869.2
5.0,4.0,43.9,5.0,4.0,2570.0,5.0,4.0,1114.0,5.0,3.0,552.2,4.0,3.0,1457.0,4.0,3.0,894.9
5.0,6.0,43.8,5.0,6.0,2620.0,5.0,6.0,1247.0,5.0,6.0,139.6,4.0,6.0,515.1,4.0,5.0,625.7
6.0,2.0,31.2,6.0,1.0,486.6,6.0,1.0,292.0,6.0,1.0,116.9,6.0,1.0,520.0,5.0,1.0,523.5
6.0,3.0,29.0,6.0,3.0,1530.0,6.0,2.0,874.8,6.0,2.0,349.5,6.0,2.0,1566.0,5.0,2.0,1713.0
6.0,4.0,36.4,6.0,4.0,1270.0,6.0,4.0,718.0,6.0,3.0,458.0,6.0,3.0,1641.0,5.0,3.0,1453.0
6.0,5.0,52.9,6.0,5.0,2233.0,6.0,5.0,909.8,6.0,5.0,172.8,6.0,4.0,834.6,5.0,4.0,934.8
