1,西丸　侑太朗,西丸　侑太朗.1,2,上原　健次郎,上原　健次郎.1,3,中島 秀治,中島 秀治.1,4,中野 希一,中野 希一.1,5,佐藤 航,佐藤 航.1,6,水谷 理人,水谷 理人.1
2.0,3.0,12.7,1.0,3.0,121.7,1.0,2.0,47.7,1.0,2.0,173.0,1.0,2.0,512.3,1.0,2.0,205.1
2.0,4.0,19.3,1.0,4.0,171.7,1.0,4.0,25.9,1.0,3.0,110.1,1.0,3.0,305.8,1.0,3.0,149.6
2.0,5.0,43.3,1.0,5.0,304.3,1.0,5.0,42.5,1.0,5.0,140.3,1.0,4.0,439.6,1.0,4.0,190.4
2.0,6.0,29.5,1.0,6.0,212.5,1.0,6.0,34.1,1.0,6.0,93.5,1.0,6.0,413.0,1.0,5.0,408.1
3.0,2.0,9.7,3.0,1.0,285.6,2.0,1.0,183.6,2.0,1.0,397.0,2.0,1.0,1067.0,2.0,1.0,499.6
3.0,4.0,7.2,3.0,4.0,534.2,2.0,4.0,263.6,2.0,3.0,640.2,2.0,3.0,1639.0,2.0,3.0,831.8
3.0,5.0,17.6,3.0,5.0,918.2,2.0,5.0,357.2,2.0,5.0,807.1,2.0,4.0,1688.0,2.0,4.0,944.6
3.0,6.0,12.5,3.0,6.0,695.7,2.0,6.0,254.2,2.0,6.0,426.0,2.0,6.0,1459.0,2.0,5.0,1433.0
4.0,2.0,20.7,4.0,1.0,495.8,4.0,1.0,60.1,3.0,1.0,164.5,3.0,1.0,397.0,3.0,1.0,237.4
4.0,3.0,15.6,4.0,3.0,692.1,4.0,2.0,155.7,3.0,2.0,426.2,3.0,2.0,1152.0,3.0,2.0,556.5
4.0,5.0,39.7,4.0,5.0,1164.0,4.0,5.0,80.2,3.0,5.0,232.3,3.0,4.0,726.6,3.0,4.0,416.8
4.0,6.0,23.3,4.0,6.0,753.7,4.0,6.0,62.6,3.0,6.0,160.3,3.0,6.0,733.3,3.0,5.0,722.6
5.0,2.0,84.1,5.0,1.0,907.6,5.0,1.0,109.9,5.0,1.0,180.4,4.0,1.0,536.4,4.0,1.0,346.6
5.0,3.0,56.2,5.0,3.0,1300.0,5.0,2.0,291.4,5.0,2.0,403.5,4.0,2.0,959.6,4.0,2.0,751.6
5.0,4.0,77.8,5.0,4.0,1580.0,5.0,4.0,171.8,5.0,3.0,261.6,4.0,3.0,701.3,4.0,3.0,560.4
5.0,6.0,85.7,5.0,6.0,1417.0,5.0,6.0,147.3,5.0,6.0,174.2,4.0,6.0,560.4,4.0,5.0,967.9
6.0,2.0,50.4,6.0,1.0,631.5,6.0,1.0,80.3,6.0,1.0,123.4,6.0,1.0,734.0,5.0,1.0,852.5
6.0,3.0,36.5,6.0,3.0,1069.0,6.0,2.0,212.1,6.0,2.0,292.9,6.0,2.0,1239.0,5.0,2.0,1667.0
6.0,4.0,36.9,6.0,4.0,1073.0,6.0,4.0,123.3,6.0,3.0,203.0,6.0,3.0,936.8,5.0,3.0,1195.0
6.0,5.0,100.8,6.0,5.0,1796.0,6.0,5.0,170.6,6.0,5.0,217.3,6.0,4.0,868.5,5.0,4.0,1201.0
