1,桐本 康臣,桐本 康臣.1,2,寺嶋 雄,寺嶋 雄.1,3,木山 誠一,木山 誠一.1,4,川口 貴久,川口 貴久.1,5,森安 弘雅,森安 弘雅.1,6,出畑 孝成,出畑 孝成.1
2.0,3.0,10.3,1.0,3.0,49.7,1.0,2.0,74.5,1.0,2.0,55.1,1.0,2.0,220.0,1.0,2.0,1388.0
2.0,4.0,8.6,1.0,4.0,34.6,1.0,4.0,50.8,1.0,3.0,69.3,1.0,3.0,274.3,1.0,3.0,2163.0
2.0,5.0,15.9,1.0,5.0,63.9,1.0,5.0,72.7,1.0,5.0,50.9,1.0,4.0,200.9,1.0,4.0,2163.0
2.0,6.0,165.1,1.0,6.0,376.0,1.0,6.0,444.0,1.0,6.0,280.3,1.0,6.0,763.9,1.0,5.0,2842.0
3.0,2.0,10.0,3.0,1.0,124.9,2.0,1.0,157.5,2.0,1.0,94.3,2.0,1.0,451.4,2.0,1.0,2116.0
3.0,4.0,8.5,3.0,4.0,159.7,2.0,4.0,182.8,2.0,3.0,216.4,2.0,3.0,912.1,2.0,3.0,3942.0
3.0,5.0,14.5,3.0,5.0,246.2,2.0,5.0,256.3,2.0,5.0,144.6,2.0,4.0,521.2,2.0,4.0,3732.0
3.0,6.0,142.3,3.0,6.0,1038.0,2.0,6.0,873.0,2.0,6.0,735.1,2.0,6.0,2080.0,2.0,5.0,4485.0
4.0,2.0,9.5,4.0,1.0,91.4,4.0,1.0,89.5,3.0,1.0,128.7,3.0,1.0,502.4,3.0,1.0,3395.0
4.0,3.0,11.3,4.0,3.0,191.7,4.0,2.0,163.9,3.0,2.0,220.5,3.0,2.0,971.9,3.0,2.0,3418.0
4.0,5.0,17.9,4.0,5.0,169.9,4.0,5.0,116.9,3.0,5.0,168.1,3.0,4.0,651.0,3.0,4.0,3418.0
4.0,6.0,147.3,4.0,6.0,1005.0,4.0,6.0,554.3,3.0,6.0,737.4,3.0,6.0,2507.0,3.0,5.0,4612.0
5.0,2.0,31.6,5.0,1.0,236.0,5.0,1.0,213.7,5.0,1.0,69.3,4.0,1.0,260.4,4.0,1.0,2614.0
5.0,3.0,38.7,5.0,3.0,431.8,5.0,2.0,391.1,5.0,2.0,112.7,4.0,2.0,398.7,4.0,2.0,3819.0
5.0,4.0,37.2,5.0,4.0,272.2,5.0,4.0,237.7,5.0,3.0,149.6,4.0,3.0,539.0,4.0,3.0,3732.0
5.0,6.0,239.1,5.0,6.0,1932.0,5.0,6.0,1273.0,5.0,6.0,326.3,4.0,6.0,918.9,4.0,5.0,3648.0
6.0,2.0,433.8,6.0,1.0,1504.0,6.0,1.0,1597.0,6.0,1.0,693.4,6.0,1.0,1866.0,5.0,1.0,3154.0
6.0,3.0,506.1,6.0,3.0,2859.0,6.0,2.0,2107.0,6.0,2.0,1300.0,6.0,2.0,3492.0,5.0,2.0,4938.0
6.0,4.0,457.3,6.0,4.0,2671.0,6.0,4.0,1739.0,6.0,3.0,1552.0,6.0,3.0,3348.0,5.0,3.0,4793.0
6.0,5.0,446.8,6.0,5.0,2963.0,6.0,5.0,2573.0,6.0,5.0,834.3,6.0,4.0,2125.0,5.0,4.0,3594.0
