1,佐藤 大佑,佐藤 大佑.1,2,青木 蓮,青木 蓮.1,3,山田 哲也,山田 哲也.1,4,木下 翔太,木下 翔太.1,5,香月 大輝,香月 大輝.1,6,平岡 重典,平岡 重典.1
2.0,3.0,9.6,1.0,3.0,17.6,1.0,2.0,35.6,1.0,2.0,58.5,1.0,2.0,1569.0,1.0,2.0,934.1
2.0,4.0,9.6,1.0,4.0,15.2,1.0,4.0,22.4,1.0,3.0,51.6,1.0,3.0,1500.0,1.0,3.0,1304.0
2.0,5.0,220.6,1.0,5.0,212.0,1.0,5.0,269.4,1.0,5.0,348.9,1.0,4.0,1224.0,1.0,4.0,1127.0
2.0,6.0,85.7,1.0,6.0,91.2,1.0,6.0,111.6,1.0,6.0,147.5,1.0,6.0,2330.0,1.0,5.0,3429.0
3.0,2.0,11.4,3.0,1.0,27.7,2.0,1.0,49.1,2.0,1.0,72.8,2.0,1.0,2106.0,2.0,1.0,1017.0
3.0,4.0,8.8,3.0,4.0,24.5,2.0,4.0,35.7,2.0,3.0,75.7,2.0,3.0,1936.0,2.0,3.0,1326.0
3.0,5.0,130.1,3.0,5.0,206.6,2.0,5.0,296.0,2.0,5.0,385.9,2.0,4.0,1791.0,2.0,4.0,842.4
3.0,6.0,71.4,3.0,6.0,93.6,2.0,6.0,138.8,2.0,6.0,138.8,2.0,6.0,2527.0,2.0,5.0,3078.0
4.0,2.0,14.1,4.0,1.0,33.7,4.0,1.0,33.7,3.0,1.0,59.7,3.0,1.0,2330.0,3.0,1.0,1622.0
4.0,3.0,14.0,4.0,3.0,35.3,4.0,2.0,40.8,3.0,2.0,65.6,3.0,2.0,2162.0,3.0,2.0,1519.0
4.0,5.0,198.2,4.0,5.0,248.2,4.0,5.0,229.9,3.0,5.0,346.9,3.0,4.0,2034.0,3.0,4.0,1200.0
4.0,6.0,70.8,4.0,6.0,94.1,4.0,6.0,82.4,3.0,6.0,136.1,3.0,6.0,2609.0,3.0,5.0,3637.0
5.0,2.0,560.9,5.0,1.0,895.8,5.0,1.0,975.9,5.0,1.0,676.2,4.0,1.0,1283.0,4.0,1.0,1387.0
5.0,3.0,450.4,5.0,3.0,706.1,5.0,2.0,892.5,5.0,2.0,654.1,4.0,2.0,2017.0,4.0,2.0,1030.0
5.0,4.0,525.3,5.0,4.0,689.9,5.0,4.0,729.7,5.0,3.0,706.1,4.0,3.0,1395.0,4.0,3.0,1455.0
5.0,6.0,771.9,5.0,6.0,1048.0,5.0,6.0,1188.0,5.0,6.0,643.6,4.0,6.0,2182.0,4.0,5.0,4001.0
6.0,2.0,275.9,6.0,1.0,478.2,6.0,1.0,438.1,6.0,1.0,341.0,6.0,1.0,3288.0,5.0,1.0,4212.0
6.0,3.0,259.8,6.0,3.0,393.5,6.0,2.0,438.9,6.0,2.0,317.1,6.0,2.0,2638.0,5.0,2.0,3530.0
6.0,4.0,267.9,6.0,4.0,372.2,6.0,4.0,294.2,6.0,3.0,393.5,6.0,3.0,3429.0,5.0,3.0,4365.0
6.0,5.0,839.4,6.0,5.0,1137.0,6.0,5.0,1404.0,6.0,5.0,882.6,6.0,4.0,2964.0,5.0,4.0,4212.0
