1,井上 忠政,井上 忠政.1,2,赤羽 克也,赤羽 克也.1,3,河野 真也,河野 真也.1,4,森岡 まき,森岡 まき.1,5,芦澤 望,芦澤 望.1,6,関野 文,関野 文.1
2.0,3.0,4.2,1.0,3.0,30.3,1.0,2.0,102.1,1.0,2.0,248.7,1.0,2.0,192.5,1.0,2.0,543.8
2.0,4.0,10.1,1.0,4.0,45.7,1.0,4.0,192.4,1.0,3.0,392.4,1.0,3.0,278.2,1.0,3.0,952.6
2.0,5.0,7.2,1.0,5.0,43.6,1.0,5.0,158.5,1.0,5.0,345.0,1.0,4.0,469.1,1.0,4.0,1444.0
2.0,6.0,17.3,1.0,6.0,74.0,1.0,6.0,239.7,1.0,6.0,434.9,1.0,6.0,351.9,1.0,5.0,1369.0
3.0,2.0,8.0,3.0,1.0,106.0,2.0,1.0,172.4,2.0,1.0,426.5,2.0,1.0,383.8,2.0,1.0,794.3
3.0,4.0,18.6,3.0,4.0,290.7,2.0,4.0,454.5,2.0,3.0,885.3,2.0,3.0,730.3,2.0,3.0,1456.0
3.0,5.0,12.5,3.0,5.0,230.3,2.0,5.0,375.6,2.0,5.0,834.7,2.0,4.0,1295.0,2.0,4.0,2516.0
3.0,6.0,28.7,3.0,6.0,359.4,2.0,6.0,543.2,2.0,6.0,975.6,2.0,6.0,856.4,2.0,5.0,1912.0
4.0,2.0,33.0,4.0,1.0,223.1,4.0,1.0,568.5,3.0,1.0,779.0,3.0,1.0,671.6,3.0,1.0,1498.0
4.0,3.0,44.0,4.0,3.0,467.8,4.0,2.0,879.3,3.0,2.0,1168.0,3.0,2.0,1021.0,3.0,2.0,2200.0
4.0,5.0,52.7,4.0,5.0,493.7,4.0,5.0,977.4,3.0,5.0,1107.0,3.0,4.0,2218.0,3.0,4.0,4076.0
4.0,6.0,64.6,4.0,6.0,544.3,4.0,6.0,1153.0,3.0,6.0,1653.0,3.0,6.0,1884.0,3.0,5.0,3111.0
5.0,2.0,22.0,5.0,1.0,220.4,5.0,1.0,470.7,5.0,1.0,508.0,4.0,1.0,869.2,4.0,1.0,2337.0
5.0,3.0,27.5,5.0,3.0,444.9,5.0,2.0,610.0,5.0,2.0,740.6,4.0,2.0,1448.0,4.0,2.0,3226.0
5.0,4.0,60.1,5.0,4.0,717.4,5.0,4.0,1173.0,5.0,3.0,1017.0,4.0,3.0,2022.0,4.0,3.0,4419.0
5.0,6.0,52.0,5.0,6.0,507.6,5.0,6.0,840.0,5.0,6.0,807.8,4.0,6.0,1130.0,4.0,5.0,3075.0
6.0,2.0,64.1,6.0,1.0,370.0,6.0,1.0,800.4,6.0,1.0,927.4,6.0,1.0,956.1,5.0,1.0,1838.0
6.0,3.0,90.8,6.0,3.0,751.2,6.0,2.0,935.7,6.0,2.0,1358.0,6.0,2.0,1311.0,5.0,2.0,2827.0
6.0,4.0,122.2,6.0,4.0,919.3,6.0,4.0,1729.0,6.0,3.0,1864.0,6.0,3.0,1794.0,5.0,3.0,3553.0
6.0,5.0,111.1,6.0,5.0,745.9,6.0,5.0,1633.0,6.0,5.0,1413.0,6.0,4.0,1669.0,5.0,4.0,3677.0
