1,浜野 孝志,浜野 孝志.1,2,明石 正之,明石 正之.1,3,正木 聖賢,正木 聖賢.1,4,高山 秀雄,高山 秀雄.1,5,岩永 節也,岩永 節也.1,6,新田 泰章,新田 泰章.1
2.0,3.0,8.8,1.0,3.0,36.5,1.0,2.0,49.8,1.0,2.0,818.4,1.0,2.0,871.7,1.0,2.0,23.6
2.0,4.0,36.1,1.0,4.0,122.8,1.0,4.0,142.8,1.0,3.0,892.3,1.0,3.0,695.0,1.0,3.0,25.0
2.0,5.0,65.9,1.0,5.0,155.9,1.0,5.0,155.1,1.0,5.0,1063.0,1.0,4.0,1430.0,1.0,4.0,116.7
2.0,6.0,9.4,1.0,6.0,32.9,1.0,6.0,34.5,1.0,6.0,719.1,1.0,6.0,682.4,1.0,5.0,107.9
3.0,2.0,12.6,3.0,1.0,64.2,2.0,1.0,67.8,2.0,1.0,1149.0,2.0,1.0,1296.0,2.0,1.0,32.8
3.0,4.0,54.9,3.0,4.0,206.4,2.0,4.0,218.9,2.0,3.0,1165.0,2.0,3.0,1159.0,2.0,3.0,28.9
3.0,5.0,66.9,3.0,5.0,228.8,2.0,5.0,222.3,2.0,5.0,2398.0,2.0,4.0,2469.0,2.0,4.0,136.1
3.0,6.0,11.8,3.0,6.0,48.5,2.0,6.0,51.5,2.0,6.0,1077.0,2.0,6.0,943.0,2.0,5.0,121.7
4.0,2.0,124.9,4.0,1.0,376.5,4.0,1.0,376.8,3.0,1.0,1063.0,3.0,1.0,1309.0,3.0,1.0,37.1
4.0,3.0,149.4,4.0,3.0,485.9,4.0,2.0,408.4,3.0,2.0,1086.0,3.0,2.0,1608.0,3.0,2.0,35.4
4.0,5.0,300.0,4.0,5.0,833.2,4.0,5.0,587.7,3.0,5.0,1608.0,3.0,4.0,2357.0,3.0,4.0,141.1
4.0,6.0,118.4,4.0,6.0,324.6,4.0,6.0,242.2,3.0,6.0,821.7,3.0,6.0,930.4,3.0,5.0,120.4
5.0,2.0,192.1,5.0,1.0,509.1,5.0,1.0,428.2,5.0,1.0,990.3,4.0,1.0,2398.0,4.0,1.0,306.9
5.0,3.0,208.5,5.0,3.0,604.0,5.0,2.0,365.9,5.0,2.0,1957.0,4.0,2.0,2784.0,4.0,2.0,340.9
5.0,4.0,377.2,5.0,4.0,1165.0,5.0,4.0,705.7,5.0,3.0,1939.0,4.0,3.0,2694.0,4.0,3.0,333.8
5.0,6.0,163.3,5.0,6.0,353.7,5.0,6.0,235.1,5.0,6.0,1063.0,4.0,6.0,2267.0,4.0,5.0,479.7
6.0,2.0,15.2,6.0,1.0,53.9,6.0,1.0,44.4,6.0,1.0,787.3,6.0,1.0,829.9,5.0,1.0,259.6
6.0,3.0,16.6,6.0,3.0,54.9,6.0,2.0,45.9,6.0,2.0,877.2,6.0,2.0,928.3,5.0,2.0,262.7
6.0,4.0,64.1,6.0,4.0,201.8,6.0,4.0,152.1,6.0,3.0,829.9,6.0,3.0,788.8,5.0,3.0,279.8
6.0,5.0,84.8,6.0,5.0,219.4,6.0,5.0,136.8,6.0,5.0,1112.0,6.0,4.0,1707.0,5.0,4.0,495.1
