1,明石 正之,明石 正之.1,2,久田 敏之,久田 敏之.1,3,堂原 洋史,堂原 洋史.1,4,大田 直弥,大田 直弥.1,5,石田 政吾,石田 政吾.1,6,浜野 孝志,浜野 孝志.1
2.0,3.0,13.2,1.0,3.0,23.8,1.0,2.0,193.3,1.0,2.0,180.0,1.0,2.0,88.5,1.0,2.0,311.2
2.0,4.0,7.2,1.0,4.0,11.9,1.0,4.0,376.8,1.0,3.0,683.0,1.0,3.0,404.7,1.0,3.0,1096.0
2.0,5.0,6.5,1.0,5.0,9.4,1.0,5.0,268.0,1.0,5.0,295.6,1.0,4.0,198.8,1.0,4.0,930.8
2.0,6.0,14.0,1.0,6.0,16.8,1.0,6.0,475.9,1.0,6.0,378.7,1.0,6.0,179.3,1.0,5.0,607.1
3.0,2.0,37.7,3.0,1.0,77.0,2.0,1.0,263.9,2.0,1.0,186.5,2.0,1.0,102.1,2.0,1.0,341.1
3.0,4.0,87.4,3.0,4.0,172.7,2.0,4.0,418.5,2.0,3.0,613.4,2.0,3.0,424.5,2.0,3.0,1000.0
3.0,5.0,61.5,3.0,5.0,123.0,2.0,5.0,366.1,2.0,5.0,269.9,2.0,4.0,202.1,2.0,4.0,705.9
3.0,6.0,116.9,3.0,6.0,164.7,2.0,6.0,563.1,2.0,6.0,350.8,2.0,6.0,183.2,2.0,5.0,498.4
4.0,2.0,29.2,4.0,1.0,60.4,4.0,1.0,891.4,3.0,1.0,1255.0,3.0,1.0,752.7,3.0,1.0,1832.0
4.0,3.0,118.4,4.0,3.0,174.5,4.0,2.0,862.8,3.0,2.0,1239.0,3.0,2.0,795.3,3.0,2.0,1954.0
4.0,5.0,64.1,4.0,5.0,82.0,4.0,5.0,1065.0,3.0,5.0,1536.0,3.0,4.0,1497.0,3.0,4.0,2399.0
4.0,6.0,95.8,4.0,6.0,107.3,4.0,6.0,1189.0,3.0,6.0,1490.0,3.0,6.0,1224.0,3.0,5.0,2634.0
5.0,2.0,21.5,5.0,1.0,30.9,5.0,1.0,604.6,5.0,1.0,412.1,4.0,1.0,404.2,4.0,1.0,1612.0
5.0,3.0,91.0,5.0,3.0,134.5,5.0,2.0,565.2,5.0,2.0,373.5,4.0,2.0,361.1,4.0,2.0,1288.0
5.0,4.0,66.1,5.0,4.0,79.5,5.0,4.0,1224.0,5.0,3.0,1050.0,4.0,3.0,1460.0,4.0,3.0,2980.0
5.0,6.0,49.1,5.0,6.0,53.8,5.0,6.0,847.9,5.0,6.0,471.3,4.0,6.0,482.9,4.0,5.0,1788.0
6.0,2.0,64.5,6.0,1.0,74.7,6.0,1.0,1031.0,6.0,1.0,847.9,6.0,1.0,362.9,5.0,1.0,747.0
6.0,3.0,268.7,6.0,3.0,302.0,6.0,2.0,1224.0,6.0,2.0,709.3,6.0,2.0,314.9,5.0,2.0,528.8
6.0,4.0,183.5,6.0,4.0,189.8,6.0,4.0,2078.0,6.0,3.0,1715.0,6.0,3.0,1113.0,5.0,3.0,1832.0
6.0,5.0,116.3,6.0,5.0,105.6,6.0,5.0,1277.0,6.0,5.0,847.9,6.0,4.0,640.0,5.0,4.0,1460.0
