1,荻野 裕介,荻野 裕介.1,2,横田 貴満,横田 貴満.1,3,森 照夫,森 照夫.1,4,岩永 節也,岩永 節也.1,5,高木 圭大,高木 圭大.1,6,安河内 将,安河内 将.1
2.0,3.0,17.3,1.0,3.0,25.1,1.0,2.0,33.4,1.0,2.0,437.4,1.0,2.0,459.8,1.0,2.0,73.3
2.0,4.0,49.6,1.0,4.0,65.7,1.0,4.0,101.6,1.0,3.0,565.4,1.0,3.0,465.4,1.0,3.0,108.6
2.0,5.0,63.7,1.0,5.0,79.5,1.0,5.0,86.7,1.0,5.0,759.5,1.0,4.0,1130.0,1.0,4.0,259.1
2.0,6.0,15.1,1.0,6.0,18.5,1.0,6.0,27.6,1.0,6.0,418.2,1.0,6.0,388.4,1.0,5.0,235.9
3.0,2.0,22.2,3.0,1.0,39.0,2.0,1.0,38.0,2.0,1.0,512.2,2.0,1.0,474.1,2.0,1.0,66.6
3.0,4.0,65.4,3.0,4.0,76.8,2.0,4.0,82.2,2.0,3.0,517.5,2.0,3.0,373.2,2.0,3.0,47.6
3.0,5.0,56.3,3.0,5.0,46.5,2.0,5.0,57.3,2.0,5.0,730.4,2.0,4.0,948.2,2.0,4.0,158.0
3.0,6.0,24.1,3.0,6.0,17.4,2.0,6.0,23.7,2.0,6.0,328.3,2.0,6.0,288.5,2.0,5.0,131.2
4.0,2.0,119.0,4.0,1.0,210.2,4.0,1.0,179.6,3.0,1.0,610.6,3.0,1.0,503.8,3.0,1.0,126.1
4.0,3.0,138.6,4.0,3.0,184.8,4.0,2.0,163.1,3.0,2.0,519.2,3.0,2.0,419.4,3.0,2.0,64.0
4.0,5.0,226.8,4.0,5.0,304.7,4.0,5.0,241.5,3.0,5.0,748.3,3.0,4.0,1211.0,3.0,4.0,196.9
4.0,6.0,139.1,4.0,6.0,119.3,4.0,6.0,101.9,3.0,6.0,328.3,3.0,6.0,332.6,3.0,5.0,177.9
5.0,2.0,150.1,5.0,1.0,157.5,5.0,1.0,136.1,5.0,1.0,898.0,4.0,1.0,1339.0,4.0,1.0,438.6
5.0,3.0,141.2,5.0,3.0,132.8,5.0,2.0,131.8,5.0,2.0,877.3,4.0,2.0,1098.0,4.0,2.0,301.7
5.0,4.0,261.8,5.0,4.0,366.1,5.0,4.0,348.5,5.0,3.0,843.4,4.0,3.0,1413.0,4.0,3.0,275.0
5.0,6.0,162.9,5.0,6.0,84.2,5.0,6.0,82.3,5.0,6.0,690.7,4.0,6.0,1174.0,4.0,5.0,557.1
6.0,2.0,31.4,6.0,1.0,31.5,6.0,1.0,46.8,6.0,1.0,439.9,6.0,1.0,330.4,5.0,1.0,350.1
6.0,3.0,40.5,6.0,3.0,21.6,6.0,2.0,35.1,6.0,2.0,336.2,6.0,2.0,277.0,5.0,2.0,244.2
6.0,4.0,100.0,6.0,4.0,81.2,6.0,4.0,100.1,6.0,3.0,354.2,6.0,3.0,284.8,5.0,3.0,276.0
6.0,5.0,129.2,6.0,5.0,57.1,6.0,5.0,67.7,6.0,5.0,630.8,6.0,4.0,786.9,5.0,4.0,620.5
