1,山田 丈,山田 丈.1,2,守屋 大地,守屋 大地.1,3,小林 文彦,小林 文彦.1,4,山本 幸也,山本 幸也.1,5,今泉 友吾,今泉 友吾.1,6,西野 翔太,西野 翔太.1
2.0,3.0,30.3,1.0,3.0,98.9,1.0,2.0,98.7,1.0,2.0,1170.0,1.0,2.0,66.2,1.0,2.0,69.6
2.0,4.0,205.6,1.0,4.0,339.6,1.0,4.0,475.4,1.0,3.0,1202.0,1.0,3.0,51.5,1.0,3.0,49.0
2.0,5.0,27.1,1.0,5.0,53.4,1.0,5.0,42.7,1.0,5.0,953.9,1.0,4.0,260.5,1.0,4.0,356.7
2.0,6.0,35.3,1.0,6.0,84.2,1.0,6.0,54.3,1.0,6.0,1506.0,1.0,6.0,43.2,1.0,5.0,38.0
3.0,2.0,21.7,3.0,1.0,159.8,2.0,1.0,205.8,2.0,1.0,1267.0,2.0,1.0,90.6,2.0,1.0,131.6
3.0,4.0,142.5,3.0,4.0,606.1,2.0,4.0,699.5,2.0,3.0,1364.0,2.0,3.0,116.1,2.0,3.0,172.8
3.0,5.0,10.6,3.0,5.0,88.4,2.0,5.0,113.6,2.0,5.0,978.4,2.0,4.0,390.6,2.0,4.0,563.5
3.0,6.0,11.8,3.0,6.0,200.3,2.0,6.0,219.5,2.0,6.0,1247.0,2.0,6.0,93.2,2.0,5.0,116.2
4.0,2.0,314.3,4.0,1.0,524.6,4.0,1.0,984.7,3.0,1.0,1513.0,3.0,1.0,94.5,3.0,1.0,83.4
4.0,3.0,362.6,4.0,3.0,722.8,4.0,2.0,1114.0,3.0,2.0,1584.0,3.0,2.0,146.5,3.0,2.0,151.7
4.0,5.0,348.5,4.0,5.0,357.5,4.0,5.0,913.8,3.0,5.0,1499.0,3.0,4.0,674.7,3.0,4.0,475.4
4.0,6.0,439.1,4.0,6.0,637.9,4.0,6.0,1289.0,3.0,6.0,1878.0,3.0,6.0,96.1,3.0,5.0,76.1
5.0,2.0,28.3,5.0,1.0,59.0,5.0,1.0,76.6,5.0,1.0,942.1,4.0,1.0,696.3,4.0,1.0,916.5
5.0,3.0,16.9,5.0,3.0,66.1,5.0,2.0,114.2,5.0,2.0,1131.0,4.0,2.0,738.5,4.0,2.0,802.9
5.0,4.0,228.1,5.0,4.0,250.0,5.0,4.0,606.1,5.0,3.0,1207.0,4.0,3.0,942.1,4.0,3.0,1110.0
5.0,6.0,18.7,5.0,6.0,69.4,5.0,6.0,88.8,5.0,6.0,1114.0,4.0,6.0,755.0,4.0,5.0,778.2
6.0,2.0,23.3,6.0,1.0,122.7,6.0,1.0,91.3,6.0,1.0,1662.0,6.0,1.0,61.7,5.0,1.0,61.3
6.0,3.0,13.7,6.0,3.0,164.0,6.0,2.0,164.8,6.0,2.0,1700.0,6.0,2.0,110.8,5.0,2.0,109.5
6.0,4.0,212.6,6.0,4.0,569.8,6.0,4.0,665.8,6.0,3.0,2042.0,6.0,3.0,82.2,5.0,3.0,80.8
6.0,5.0,14.0,6.0,5.0,97.2,6.0,5.0,78.6,6.0,5.0,1306.0,6.0,4.0,511.4,5.0,4.0,514.0
