1,岡崎 恭裕,岡崎 恭裕.1,2,石川 真二,石川 真二.1,3,木下 大將,木下 大將.1,4,橋本 英一,橋本 英一.1,5,山口 隆史,山口 隆史.1,6,出畑 孝成,出畑 孝成.1
2.0,3.0,2.9,1.0,3.0,14.8,1.0,2.0,56.7,1.0,2.0,148.8,1.0,2.0,316.8,1.0,2.0,2348.0
2.0,4.0,7.8,1.0,4.0,31.9,1.0,4.0,101.5,1.0,3.0,272.5,1.0,3.0,493.1,1.0,3.0,3760.0
2.0,5.0,13.3,1.0,5.0,47.2,1.0,5.0,124.1,1.0,5.0,246.3,1.0,4.0,700.8,1.0,4.0,3304.0
2.0,6.0,144.0,1.0,6.0,223.4,1.0,6.0,389.6,1.0,6.0,818.7,1.0,6.0,1468.0,1.0,5.0,3351.0
3.0,2.0,5.2,3.0,1.0,45.2,2.0,1.0,93.8,2.0,1.0,196.3,2.0,1.0,568.9,2.0,1.0,3531.0
3.0,4.0,12.6,3.0,4.0,114.6,2.0,4.0,270.8,2.0,3.0,462.5,2.0,3.0,1065.0,2.0,3.0,4625.0
3.0,5.0,18.2,3.0,5.0,147.1,2.0,5.0,361.6,2.0,5.0,416.7,2.0,4.0,1531.0,2.0,4.0,5506.0
3.0,6.0,207.8,3.0,6.0,393.0,2.0,6.0,1333.0,2.0,6.0,1445.0,2.0,6.0,3257.0,2.0,5.0,5855.0
4.0,2.0,26.5,4.0,1.0,137.9,4.0,1.0,321.4,3.0,1.0,541.6,3.0,1.0,955.7,3.0,1.0,4973.0
4.0,3.0,36.3,4.0,3.0,244.0,4.0,2.0,431.9,3.0,2.0,668.4,3.0,2.0,1675.0,3.0,2.0,6250.0
4.0,5.0,68.6,4.0,5.0,307.1,4.0,5.0,599.1,3.0,5.0,955.7,3.0,4.0,2396.0,3.0,4.0,5256.0
4.0,6.0,324.8,4.0,6.0,1220.0,4.0,6.0,1663.0,3.0,6.0,2372.0,3.0,6.0,5139.0,3.0,5.0,6086.0
5.0,2.0,52.3,5.0,1.0,244.7,5.0,1.0,429.8,5.0,1.0,395.6,4.0,1.0,1044.0,4.0,1.0,3558.0
5.0,3.0,66.2,5.0,3.0,445.2,5.0,2.0,663.6,5.0,2.0,561.3,4.0,2.0,1423.0,4.0,2.0,5441.0
5.0,4.0,121.6,5.0,4.0,562.7,5.0,4.0,837.9,5.0,3.0,980.0,4.0,3.0,1951.0,4.0,3.0,6608.0
5.0,6.0,474.9,5.0,6.0,1911.0,5.0,6.0,1738.0,5.0,6.0,1333.0,4.0,6.0,2673.0,4.0,5.0,4534.0
6.0,2.0,494.7,6.0,1.0,1968.0,6.0,1.0,3125.0,6.0,1.0,1935.0,6.0,1.0,3585.0,5.0,1.0,5197.0
6.0,3.0,729.5,6.0,3.0,2689.0,6.0,2.0,3953.0,6.0,2.0,2689.0,6.0,2.0,4973.0,5.0,2.0,5930.0
6.0,4.0,796.1,6.0,4.0,2720.0,6.0,4.0,3642.0,6.0,3.0,2984.0,6.0,3.0,5441.0,5.0,3.0,5855.0
6.0,5.0,861.3,6.0,5.0,1531.0,6.0,5.0,4447.0,6.0,5.0,2658.0,6.0,4.0,4243.0,5.0,4.0,4363.0
