1,門間 雄大,門間 雄大.1,2,土井 歩夢,土井 歩夢.1,3,谷口 健一,谷口 健一.1,4,出畑 孝成,出畑 孝成.1,5,松田 竜馬,松田 竜馬.1,6,渡邊 哲也,渡邊 哲也.1
2.0,3.0,18.5,1.0,3.0,48.6,1.0,2.0,126.2,1.0,2.0,852.4,1.0,2.0,20.9,1.0,2.0,295.6
2.0,4.0,117.0,1.0,4.0,265.9,1.0,4.0,419.0,1.0,3.0,1028.0,1.0,3.0,33.4,1.0,3.0,452.5
2.0,5.0,10.1,1.0,5.0,19.9,1.0,5.0,61.5,1.0,5.0,699.2,1.0,4.0,141.4,1.0,4.0,662.0
2.0,6.0,31.9,1.0,6.0,71.3,1.0,6.0,177.7,1.0,6.0,707.1,1.0,6.0,27.2,1.0,5.0,203.0
3.0,2.0,25.4,3.0,1.0,118.6,2.0,1.0,200.7,2.0,1.0,864.2,2.0,1.0,32.4,2.0,1.0,396.3
3.0,4.0,122.2,3.0,4.0,665.5,2.0,4.0,595.4,2.0,3.0,1414.0,2.0,3.0,82.4,2.0,3.0,829.7
3.0,5.0,14.4,3.0,5.0,89.9,2.0,5.0,122.8,2.0,5.0,1037.0,2.0,4.0,286.1,2.0,4.0,1283.0
3.0,6.0,37.8,3.0,6.0,179.8,2.0,6.0,292.8,2.0,6.0,1131.0,2.0,6.0,62.6,2.0,5.0,420.4
4.0,2.0,277.1,4.0,1.0,641.5,4.0,1.0,895.3,3.0,1.0,1257.0,3.0,1.0,72.4,3.0,1.0,563.1
4.0,3.0,344.7,4.0,3.0,888.9,4.0,2.0,1131.0,3.0,2.0,1499.0,3.0,2.0,101.7,3.0,2.0,870.3
4.0,5.0,246.9,4.0,5.0,625.4,4.0,5.0,824.2,3.0,5.0,1310.0,3.0,4.0,344.7,3.0,4.0,1220.0
4.0,6.0,295.6,4.0,6.0,1011.0,4.0,6.0,979.9,3.0,6.0,1367.0,3.0,6.0,105.5,3.0,5.0,503.8
5.0,2.0,7.9,5.0,1.0,32.7,5.0,1.0,76.5,5.0,1.0,711.1,4.0,1.0,298.4,4.0,1.0,964.7
5.0,3.0,12.4,5.0,3.0,74.3,5.0,2.0,105.6,5.0,2.0,895.3,4.0,2.0,366.0,4.0,2.0,1310.0
5.0,4.0,80.4,5.0,4.0,338.2,5.0,4.0,503.8,5.0,3.0,1163.0,4.0,3.0,514.2,4.0,3.0,1499.0
5.0,6.0,15.9,5.0,6.0,76.6,5.0,6.0,128.5,5.0,6.0,876.4,4.0,6.0,321.5,4.0,5.0,895.3
6.0,2.0,58.1,6.0,1.0,180.6,6.0,1.0,305.7,6.0,1.0,1028.0,6.0,1.0,43.4,5.0,1.0,191.1
6.0,3.0,68.3,6.0,3.0,286.1,6.0,2.0,478.6,6.0,2.0,1752.0,6.0,2.0,56.2,5.0,2.0,301.3
6.0,4.0,231.3,6.0,4.0,870.3,6.0,4.0,1063.0,6.0,3.0,1464.0,6.0,3.0,75.8,5.0,3.0,374.8
6.0,5.0,47.8,6.0,5.0,157.3,6.0,5.0,232.1,6.0,5.0,1244.0,6.0,4.0,158.1,5.0,4.0,527.3
