1,坂本 雄紀,坂本 雄紀.1,2,藤原 孝斗,藤原 孝斗.1,3,畑田 汰一,畑田 汰一.1,4,安河内鈴之介,安河内鈴之介.1,5,坂井 滉哉,坂井 滉哉.1,6,登玉 隼百,登玉 隼百.1
2.0,3.0,14.3,1.0,3.0,50.4,1.0,2.0,24.8,1.0,2.0,223.6,1.0,2.0,313.6,1.0,2.0,442.1
2.0,4.0,34.8,1.0,4.0,117.5,1.0,4.0,18.6,1.0,3.0,126.0,1.0,3.0,224.3,1.0,3.0,206.9
2.0,5.0,57.2,1.0,5.0,117.5,1.0,5.0,28.8,1.0,5.0,266.1,1.0,4.0,447.5,1.0,4.0,649.5
2.0,6.0,58.1,1.0,6.0,113.0,1.0,6.0,18.1,1.0,6.0,211.7,1.0,6.0,301.3,1.0,5.0,714.0
3.0,2.0,9.9,3.0,1.0,55.0,2.0,1.0,47.8,2.0,1.0,319.1,2.0,1.0,459.9,2.0,1.0,752.0
3.0,4.0,11.4,3.0,4.0,83.3,2.0,4.0,67.0,2.0,3.0,247.3,2.0,3.0,298.3,2.0,3.0,512.5
3.0,5.0,20.1,3.0,5.0,69.9,2.0,5.0,59.5,2.0,5.0,398.4,2.0,4.0,660.0,2.0,4.0,1045.0
3.0,6.0,13.4,3.0,6.0,75.7,2.0,6.0,51.9,2.0,6.0,385.9,2.0,6.0,410.5,2.0,5.0,1057.0
4.0,2.0,56.1,4.0,1.0,249.8,4.0,1.0,39.1,3.0,1.0,112.6,3.0,1.0,254.8,3.0,1.0,222.1
4.0,3.0,33.5,4.0,3.0,168.3,4.0,2.0,82.9,3.0,2.0,174.6,3.0,2.0,285.6,3.0,2.0,416.1
4.0,5.0,107.4,4.0,5.0,257.0,4.0,5.0,59.8,3.0,5.0,175.7,3.0,4.0,421.3,3.0,4.0,474.1
4.0,6.0,93.8,4.0,6.0,249.3,4.0,6.0,49.1,3.0,6.0,141.5,3.0,6.0,289.4,3.0,5.0,545.3
5.0,2.0,122.3,5.0,1.0,229.8,5.0,1.0,85.6,5.0,1.0,398.4,4.0,1.0,719.6,4.0,1.0,882.2
5.0,3.0,73.1,5.0,3.0,166.6,5.0,2.0,105.7,5.0,2.0,469.3,4.0,2.0,731.0,4.0,2.0,1054.0
5.0,4.0,148.1,5.0,4.0,332.4,5.0,4.0,122.2,5.0,3.0,337.3,4.0,3.0,488.6,4.0,3.0,631.6
5.0,6.0,136.5,5.0,6.0,236.9,5.0,6.0,84.7,5.0,6.0,351.2,4.0,6.0,622.0,4.0,5.0,983.9
6.0,2.0,110.2,6.0,1.0,297.6,6.0,1.0,48.9,6.0,1.0,315.5,6.0,1.0,496.6,5.0,1.0,936.2
6.0,3.0,54.9,6.0,3.0,207.2,6.0,2.0,86.3,6.0,2.0,434.3,6.0,2.0,549.4,5.0,2.0,1060.0
6.0,4.0,167.2,6.0,4.0,430.7,6.0,4.0,86.0,6.0,3.0,269.4,6.0,3.0,386.7,5.0,3.0,688.5
6.0,5.0,174.0,6.0,5.0,339.5,6.0,5.0,93.0,6.0,5.0,383.4,6.0,4.0,697.7,5.0,4.0,1045.0
