1,小林 遼太,小林 遼太.1,2,吉田 翔悟,吉田 翔悟.1,3,竹井 奈美,竹井 奈美.1,4,小澤 学,小澤 学.1,5,中尾 彩香,中尾 彩香.1,6,加藤 雅之,加藤 雅之.1
2.0,3.0,5.8,1.0,3.0,13.5,1.0,2.0,31.5,1.0,2.0,113.4,1.0,2.0,178.6,1.0,2.0,618.1
2.0,4.0,11.3,1.0,4.0,21.9,1.0,4.0,62.6,1.0,3.0,236.2,1.0,3.0,259.9,1.0,3.0,1059.0
2.0,5.0,14.9,1.0,5.0,25.9,1.0,5.0,65.1,1.0,5.0,210.7,1.0,4.0,386.3,1.0,4.0,1101.0
2.0,6.0,39.3,1.0,6.0,58.9,1.0,6.0,139.9,1.0,6.0,240.3,1.0,6.0,342.3,1.0,5.0,890.1
3.0,2.0,8.7,3.0,1.0,24.0,2.0,1.0,42.2,2.0,1.0,144.3,2.0,1.0,225.7,2.0,1.0,746.7
3.0,4.0,27.0,3.0,4.0,55.1,2.0,4.0,77.6,2.0,3.0,250.0,2.0,3.0,307.3,2.0,3.0,1090.0
3.0,5.0,29.5,3.0,5.0,50.9,2.0,5.0,79.6,2.0,5.0,282.4,2.0,4.0,450.4,2.0,4.0,1002.0
3.0,6.0,70.9,3.0,6.0,144.3,2.0,6.0,166.8,2.0,6.0,289.7,2.0,6.0,363.6,2.0,5.0,1112.0
4.0,2.0,30.9,4.0,1.0,64.8,4.0,1.0,158.0,3.0,1.0,416.7,3.0,1.0,295.1,3.0,1.0,1567.0
4.0,3.0,51.8,4.0,3.0,111.7,4.0,2.0,143.3,3.0,2.0,364.8,3.0,2.0,373.3,3.0,2.0,1356.0
4.0,5.0,86.5,4.0,5.0,152.4,4.0,5.0,187.6,3.0,5.0,469.5,3.0,4.0,717.8,3.0,4.0,1918.0
4.0,6.0,114.5,4.0,6.0,179.1,4.0,6.0,286.0,3.0,6.0,621.6,3.0,6.0,762.1,3.0,5.0,2270.0
5.0,2.0,47.6,5.0,1.0,88.1,5.0,1.0,169.3,5.0,1.0,328.2,4.0,1.0,643.1,4.0,1.0,1483.0
5.0,3.0,77.4,5.0,3.0,121.6,5.0,2.0,157.3,5.0,2.0,329.2,4.0,2.0,573.5,4.0,2.0,967.5
5.0,4.0,142.6,5.0,4.0,213.9,5.0,4.0,285.3,5.0,3.0,473.4,4.0,3.0,824.2,4.0,3.0,1854.0
5.0,6.0,161.2,5.0,6.0,297.5,5.0,6.0,423.0,5.0,6.0,326.3,4.0,6.0,573.5,4.0,5.0,1159.0
6.0,2.0,188.9,6.0,1.0,213.1,6.0,1.0,467.5,6.0,1.0,439.8,6.0,1.0,494.5,5.0,1.0,1196.0
6.0,3.0,241.8,6.0,3.0,326.3,6.0,2.0,370.9,6.0,2.0,403.1,6.0,2.0,492.3,5.0,2.0,1069.0
6.0,4.0,344.4,6.0,4.0,339.2,6.0,4.0,691.1,6.0,3.0,646.9,6.0,3.0,830.3,5.0,3.0,1612.0
6.0,5.0,259.9,6.0,5.0,394.5,6.0,5.0,732.0,6.0,5.0,382.3,6.0,4.0,666.3,5.0,4.0,1069.0
