1,井上 大輔,井上 大輔.1,2,三好 勇人,三好 勇人.1,3,桐本 康臣,桐本 康臣.1,4,川上 清人,川上 清人.1,5,香月 大輝,香月 大輝.1,6,鈴木 峻佑,鈴木 峻佑.1
2.0,3.0,4.5,1.0,3.0,12.1,1.0,2.0,16.5,1.0,2.0,356.9,1.0,2.0,592.9,1.0,2.0,184.2
2.0,4.0,21.3,1.0,4.0,50.7,1.0,4.0,40.6,1.0,3.0,347.4,1.0,3.0,772.5,1.0,3.0,209.7
2.0,5.0,54.4,1.0,5.0,120.4,1.0,5.0,112.2,1.0,5.0,833.6,1.0,4.0,1359.0,1.0,4.0,457.9
2.0,6.0,15.1,1.0,6.0,30.3,1.0,6.0,34.3,1.0,6.0,376.2,1.0,6.0,868.8,1.0,5.0,624.2
3.0,2.0,5.5,3.0,1.0,23.1,2.0,1.0,29.6,2.0,1.0,498.2,2.0,1.0,802.7,2.0,1.0,239.9
3.0,4.0,19.3,3.0,4.0,84.0,2.0,4.0,88.6,2.0,3.0,608.6,2.0,3.0,1117.0,2.0,3.0,330.6
3.0,5.0,64.7,3.0,5.0,191.6,2.0,5.0,230.3,2.0,5.0,1300.0,2.0,4.0,1733.0,2.0,4.0,833.6
3.0,6.0,15.7,3.0,6.0,67.8,2.0,6.0,74.8,2.0,6.0,696.6,2.0,6.0,1296.0,2.0,5.0,846.2
4.0,2.0,69.6,4.0,1.0,230.1,4.0,1.0,149.0,3.0,1.0,430.1,3.0,1.0,1002.0,3.0,1.0,315.6
4.0,3.0,68.6,4.0,3.0,287.7,4.0,2.0,192.7,3.0,2.0,564.5,3.0,2.0,1189.0,3.0,2.0,382.4
4.0,5.0,305.5,4.0,5.0,842.6,4.0,5.0,585.7,3.0,5.0,1373.0,3.0,4.0,1797.0,3.0,4.0,778.7
4.0,6.0,118.0,4.0,6.0,335.7,4.0,6.0,222.5,3.0,6.0,621.2,3.0,6.0,1806.0,3.0,5.0,1207.0
5.0,2.0,259.9,5.0,1.0,502.7,5.0,1.0,516.0,5.0,1.0,1423.0,4.0,1.0,1990.0,4.0,1.0,633.3
5.0,3.0,283.9,5.0,3.0,694.1,5.0,2.0,605.7,5.0,2.0,1960.0,4.0,2.0,2566.0,4.0,2.0,922.3
5.0,4.0,577.9,5.0,4.0,1398.0,5.0,4.0,975.3,5.0,3.0,2143.0,4.0,3.0,2533.0,4.0,3.0,933.3
5.0,6.0,413.7,5.0,6.0,886.6,5.0,6.0,831.8,5.0,6.0,1632.0,4.0,6.0,2131.0,4.0,5.0,1429.0
6.0,2.0,49.1,6.0,1.0,116.8,6.0,1.0,116.2,6.0,1.0,321.0,6.0,1.0,1354.0,5.0,1.0,1080.0
6.0,3.0,56.3,6.0,3.0,169.0,6.0,2.0,159.4,6.0,2.0,653.4,6.0,2.0,1632.0,5.0,2.0,1134.0
6.0,4.0,148.5,6.0,4.0,356.6,6.0,4.0,270.3,6.0,3.0,652.3,6.0,3.0,1931.0,5.0,3.0,1554.0
6.0,5.0,279.6,6.0,5.0,526.4,6.0,5.0,561.3,6.0,5.0,1207.0,6.0,4.0,2469.0,5.0,4.0,1970.0
