1,江夏 満,江夏 満.1,2,岩永 節也,岩永 節也.1,3,山口 修路,山口 修路.1,4,堂原 洋史,堂原 洋史.1,5,山根 大樹,山根 大樹.1,6,森 弘行,森 弘行.1
2.0,3.0,7.1,1.0,3.0,153.5,1.0,2.0,88.5,1.0,2.0,245.3,1.0,2.0,568.4,1.0,2.0,846.8
2.0,4.0,16.2,1.0,4.0,241.2,1.0,4.0,73.6,1.0,3.0,206.6,1.0,3.0,375.1,1.0,3.0,707.5
2.0,5.0,26.9,1.0,5.0,423.4,1.0,5.0,94.6,1.0,5.0,234.0,1.0,4.0,488.8,1.0,4.0,974.9
2.0,6.0,30.2,1.0,6.0,449.5,1.0,6.0,123.5,1.0,6.0,243.5,1.0,6.0,581.2,1.0,5.0,1538.0
3.0,2.0,5.8,3.0,1.0,291.1,2.0,1.0,251.9,2.0,1.0,469.0,2.0,1.0,880.2,2.0,1.0,1346.0
3.0,4.0,5.3,3.0,4.0,751.9,2.0,4.0,430.5,2.0,3.0,989.2,2.0,3.0,1894.0,2.0,3.0,1927.0
3.0,5.0,10.6,3.0,5.0,899.1,2.0,5.0,629.2,2.0,5.0,862.1,2.0,4.0,1961.0,2.0,4.0,2235.0
3.0,6.0,13.0,3.0,6.0,1242.0,2.0,6.0,808.1,2.0,6.0,1064.0,2.0,6.0,2312.0,2.0,5.0,3287.0
4.0,2.0,19.1,4.0,1.0,609.7,4.0,1.0,209.0,3.0,1.0,354.5,3.0,1.0,653.7,3.0,1.0,1074.0
4.0,3.0,12.8,4.0,3.0,1078.0,4.0,2.0,508.1,3.0,2.0,929.0,3.0,2.0,1643.0,3.0,2.0,2297.0
4.0,5.0,27.4,4.0,5.0,1421.0,4.0,5.0,429.9,3.0,5.0,798.5,3.0,4.0,1464.0,3.0,4.0,2430.0
4.0,6.0,24.8,4.0,6.0,1320.0,4.0,6.0,496.1,3.0,6.0,855.5,3.0,6.0,1996.0,3.0,5.0,2866.0
5.0,2.0,48.2,5.0,1.0,1237.0,5.0,1.0,357.9,5.0,1.0,389.0,4.0,1.0,765.6,4.0,1.0,1477.0
5.0,3.0,31.7,5.0,3.0,1927.0,5.0,2.0,955.4,5.0,2.0,1041.0,4.0,2.0,1652.0,4.0,2.0,2502.0
5.0,4.0,53.3,5.0,4.0,2070.0,5.0,4.0,703.0,5.0,3.0,913.8,4.0,3.0,1445.0,4.0,3.0,2057.0
5.0,6.0,57.7,5.0,6.0,2484.0,5.0,6.0,836.3,5.0,6.0,629.2,4.0,6.0,1299.0,4.0,5.0,2484.0
6.0,2.0,69.0,6.0,1.0,1106.0,6.0,1.0,558.0,6.0,1.0,533.1,6.0,1.0,1035.0,5.0,1.0,1737.0
6.0,3.0,44.6,6.0,3.0,1863.0,6.0,2.0,1242.0,6.0,2.0,1242.0,6.0,2.0,2465.0,5.0,2.0,3224.0
6.0,4.0,66.0,6.0,4.0,2281.0,6.0,4.0,1176.0,6.0,3.0,1085.0,6.0,3.0,2020.0,5.0,3.0,2994.0
6.0,5.0,92.3,6.0,5.0,3353.0,6.0,5.0,1427.0,6.0,5.0,952.7,6.0,4.0,2032.0,5.0,4.0,2866.0
