1,石川 真二,石川 真二.1,2,尾上 雅也,尾上 雅也.1,3,前出 達吉,前出 達吉.1,4,乙藤 智史,乙藤 智史.1,5,青木 蓮,青木 蓮.1,6,津留　浩一郎,津留　浩一郎.1
2.0,3.0,20.5,1.0,3.0,23.7,1.0,2.0,178.0,1.0,2.0,130.9,1.0,2.0,78.4,1.0,2.0,408.2
2.0,4.0,11.3,1.0,4.0,13.7,1.0,4.0,228.3,1.0,3.0,280.5,1.0,3.0,141.4,1.0,3.0,658.4
2.0,5.0,12.0,1.0,5.0,12.8,1.0,5.0,232.9,1.0,5.0,140.5,1.0,4.0,98.6,1.0,4.0,558.6
2.0,6.0,53.8,1.0,6.0,49.4,1.0,6.0,470.0,1.0,6.0,158.5,1.0,6.0,141.9,1.0,5.0,561.8
3.0,2.0,45.8,3.0,1.0,61.1,2.0,1.0,165.5,2.0,1.0,114.3,2.0,1.0,79.2,2.0,1.0,383.6
3.0,4.0,74.9,3.0,4.0,51.9,2.0,4.0,134.0,2.0,3.0,193.5,2.0,3.0,125.4,2.0,3.0,591.2
3.0,5.0,71.9,3.0,5.0,40.1,2.0,5.0,115.1,2.0,5.0,84.0,2.0,4.0,80.5,2.0,4.0,302.6
3.0,6.0,146.6,3.0,6.0,90.2,2.0,6.0,209.4,2.0,6.0,101.7,2.0,6.0,104.0,2.0,5.0,329.2
4.0,2.0,39.4,4.0,1.0,35.2,4.0,1.0,379.9,3.0,1.0,559.4,3.0,1.0,256.2,3.0,1.0,1359.0
4.0,3.0,94.0,4.0,3.0,55.9,4.0,2.0,316.5,3.0,2.0,421.8,3.0,2.0,241.5,3.0,2.0,1213.0
4.0,5.0,59.6,4.0,5.0,25.3,4.0,5.0,408.6,3.0,5.0,542.4,3.0,4.0,257.0,3.0,4.0,1346.0
4.0,6.0,124.2,4.0,6.0,52.0,4.0,6.0,643.3,3.0,6.0,637.1,3.0,6.0,379.5,3.0,5.0,1609.0
5.0,2.0,34.4,5.0,1.0,29.1,5.0,1.0,326.7,5.0,1.0,152.3,4.0,1.0,133.6,4.0,1.0,559.4
5.0,3.0,85.7,5.0,3.0,39.2,5.0,2.0,220.8,5.0,2.0,102.3,4.0,2.0,96.9,4.0,2.0,330.5
5.0,4.0,70.0,5.0,4.0,25.9,5.0,4.0,330.8,5.0,3.0,360.1,4.0,3.0,226.9,4.0,3.0,828.5
5.0,6.0,134.9,5.0,6.0,42.2,5.0,6.0,531.5,5.0,6.0,145.4,4.0,6.0,129.9,4.0,5.0,509.5
6.0,2.0,193.5,6.0,1.0,139.7,6.0,1.0,1136.0,6.0,1.0,218.6,6.0,1.0,279.1,5.0,1.0,756.9
6.0,3.0,312.7,6.0,3.0,193.1,6.0,2.0,679.9,6.0,2.0,136.5,6.0,2.0,205.7,5.0,2.0,434.3
6.0,4.0,275.7,6.0,4.0,106.3,6.0,4.0,1136.0,6.0,3.0,439.1,6.0,3.0,426.8,5.0,3.0,1046.0
6.0,5.0,297.2,6.0,5.0,97.5,6.0,5.0,1195.0,6.0,5.0,219.9,6.0,4.0,241.6,5.0,4.0,633.0
