1,田中 堅,田中 堅.1,2,池上 隆行,池上 隆行.1,3,永田 啓二,永田 啓二.1,4,坂東 満,坂東 満.1,5,杢野 誓良,杢野 誓良.1,6,池田 雄一,池田 雄一.1
2.0,3.0,57.2,1.0,3.0,172.2,1.0,2.0,34.0,1.0,2.0,597.5,1.0,2.0,436.8,1.0,2.0,570.2
2.0,4.0,122.3,1.0,4.0,376.6,1.0,4.0,23.3,1.0,3.0,260.8,1.0,3.0,137.2,1.0,3.0,135.0
2.0,5.0,153.9,1.0,5.0,325.5,1.0,5.0,11.8,1.0,5.0,452.6,1.0,4.0,471.9,1.0,4.0,723.9
2.0,6.0,126.6,1.0,6.0,337.7,1.0,6.0,10.4,1.0,6.0,418.3,1.0,6.0,261.7,1.0,5.0,356.1
3.0,2.0,30.4,3.0,1.0,209.9,2.0,1.0,90.6,2.0,1.0,811.9,2.0,1.0,546.4,2.0,1.0,707.9
3.0,4.0,28.3,3.0,4.0,426.4,2.0,4.0,144.0,2.0,3.0,865.7,2.0,3.0,682.7,2.0,3.0,575.9
3.0,5.0,14.9,3.0,5.0,389.9,2.0,5.0,100.9,2.0,5.0,1092.0,2.0,4.0,1368.0,2.0,4.0,1118.0
3.0,6.0,13.0,3.0,6.0,296.6,2.0,6.0,84.3,2.0,6.0,977.6,2.0,6.0,787.4,2.0,5.0,1255.0
4.0,2.0,169.0,4.0,1.0,633.0,4.0,1.0,39.3,3.0,1.0,202.5,3.0,1.0,106.5,3.0,1.0,95.6
4.0,3.0,91.9,4.0,3.0,627.5,4.0,2.0,115.1,3.0,2.0,540.2,3.0,2.0,386.8,3.0,2.0,392.1
4.0,5.0,166.9,4.0,5.0,870.9,4.0,5.0,29.7,3.0,5.0,164.9,3.0,4.0,199.5,3.0,4.0,200.8
4.0,6.0,144.4,4.0,6.0,889.8,4.0,6.0,25.4,3.0,6.0,143.5,3.0,6.0,77.1,3.0,5.0,111.1
5.0,2.0,213.8,5.0,1.0,645.8,5.0,1.0,21.1,5.0,1.0,630.3,4.0,1.0,598.7,4.0,1.0,1072.0
5.0,3.0,51.2,5.0,3.0,679.4,5.0,2.0,78.4,5.0,2.0,1136.0,4.0,2.0,1349.0,4.0,2.0,1277.0
5.0,4.0,206.9,5.0,4.0,1052.0,5.0,4.0,28.5,5.0,3.0,415.9,4.0,3.0,454.0,4.0,3.0,490.4
5.0,6.0,90.2,5.0,6.0,912.4,5.0,6.0,13.3,5.0,6.0,496.4,4.0,6.0,595.0,4.0,5.0,1092.0
6.0,2.0,175.8,6.0,1.0,720.3,6.0,1.0,16.9,6.0,1.0,554.8,6.0,1.0,284.8,5.0,1.0,428.9
6.0,3.0,48.8,6.0,3.0,638.7,6.0,2.0,58.6,6.0,2.0,948.5,6.0,2.0,802.8,5.0,2.0,1022.0
6.0,4.0,197.4,6.0,4.0,1072.0,6.0,4.0,28.5,6.0,3.0,346.2,6.0,3.0,131.0,5.0,3.0,172.8
6.0,5.0,106.0,6.0,5.0,1030.0,6.0,5.0,14.7,6.0,5.0,618.1,6.0,4.0,557.0,5.0,4.0,800.6
