1,稗田 聖也,稗田 聖也.1,2,荒井 輝年,荒井 輝年.1,3,森 照夫,森 照夫.1,4,山下 和彦,山下 和彦.1,5,宇留田　翔平,宇留田　翔平.1,6,國弘 翔平,國弘 翔平.1
2.0,3.0,8.6,1.0,3.0,25.6,1.0,2.0,95.8,1.0,2.0,61.2,1.0,2.0,204.8,1.0,2.0,1907.0
2.0,4.0,4.8,1.0,4.0,11.5,1.0,4.0,92.5,1.0,3.0,155.0,1.0,3.0,357.2,1.0,3.0,3393.0
2.0,5.0,12.5,1.0,5.0,30.3,1.0,5.0,132.1,1.0,5.0,109.4,1.0,4.0,283.3,1.0,4.0,2516.0
2.0,6.0,54.3,1.0,6.0,94.4,1.0,6.0,293.9,1.0,6.0,233.4,1.0,6.0,611.8,1.0,5.0,3944.0
3.0,2.0,17.3,3.0,1.0,89.8,2.0,1.0,170.0,2.0,1.0,77.7,2.0,1.0,264.3,2.0,1.0,2055.0
3.0,4.0,20.0,3.0,4.0,120.0,2.0,4.0,147.7,2.0,3.0,206.9,2.0,3.0,829.1,2.0,3.0,4422.0
3.0,5.0,31.6,3.0,5.0,202.9,2.0,5.0,223.8,2.0,5.0,119.2,2.0,4.0,404.8,2.0,4.0,1016.0
3.0,6.0,97.6,3.0,6.0,437.5,2.0,6.0,603.0,2.0,6.0,245.6,2.0,6.0,879.1,2.0,5.0,3354.0
4.0,2.0,13.2,4.0,1.0,38.4,4.0,1.0,201.5,3.0,1.0,286.9,3.0,1.0,841.1,3.0,1.0,3998.0
4.0,3.0,26.9,4.0,3.0,93.7,4.0,2.0,184.6,3.0,2.0,287.5,3.0,2.0,1002.0,3.0,2.0,4784.0
4.0,5.0,25.5,4.0,5.0,78.2,4.0,5.0,221.6,3.0,5.0,343.7,3.0,4.0,1053.0,3.0,4.0,2779.0
4.0,6.0,78.6,4.0,6.0,162.8,4.0,6.0,556.9,3.0,6.0,737.0,3.0,6.0,1835.0,3.0,5.0,5120.0
5.0,2.0,28.6,5.0,1.0,106.2,5.0,1.0,361.6,5.0,1.0,178.2,4.0,1.0,422.3,4.0,1.0,2494.0
5.0,3.0,52.2,5.0,3.0,257.8,5.0,2.0,393.3,5.0,2.0,158.1,4.0,2.0,401.4,4.0,2.0,1020.0
5.0,4.0,44.6,5.0,4.0,133.8,5.0,4.0,326.8,5.0,3.0,402.0,4.0,3.0,972.8,4.0,3.0,3891.0
5.0,6.0,126.1,5.0,6.0,333.1,5.0,6.0,841.1,5.0,6.0,301.8,4.0,6.0,698.2,4.0,5.0,3040.0
6.0,2.0,302.4,6.0,1.0,441.5,6.0,1.0,1236.0,6.0,1.0,633.1,6.0,1.0,1444.0,5.0,1.0,4632.0
6.0,3.0,425.4,6.0,3.0,1149.0,6.0,2.0,1727.0,6.0,2.0,506.7,6.0,2.0,1621.0,5.0,2.0,3891.0
6.0,4.0,357.6,6.0,4.0,572.2,6.0,4.0,1409.0,6.0,3.0,1061.0,6.0,3.0,2516.0,5.0,3.0,4560.0
6.0,5.0,324.2,6.0,5.0,841.1,6.0,5.0,1801.0,6.0,5.0,703.2,6.0,4.0,1696.0,5.0,4.0,3474.0
